Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Nathan MacKinnon,C,29,97,EXACT,Playmaker,X-Factor,Canada,30,94,95,88,96,95,83,88,80,80,82,92,84,97,94,94,98,91,93,90,96,92,92,90,94,92,84,,82,91,70,92,"2,150"
2,Cale Makar,D,8,95,EXACT,Offensive D-man,X-Factor,Canada,27,94,95,92,95,95,79,94,55,82,86,93,89,96,95,93,95,94,88,92,94,93,93,91,95,91,82,,84,90,65,87,"2,133"
3,Martin Necas,C,88,92,MED,Playmaker,X-Factor,Czechia,27,91,93,87,93,92,78,83,68,80,80,88,83,92,88,89,95,89,83,83,95,90,93,88,90,88,82,,83,88,70,85,"2,069"
4,Devon Toews,D,7,89,MED,2 Way D-Man,X-Factor,Canada,32,87,86,85,90,87,79,91,55,80,88,88,87,90,88,87,88,87,83,90,88,89,91,88,90,87,82,,82,90,70,85,"2,046"
5,Nazem Kadri,C,91,87,HIGH,2 Way Forward,X-Factor,Canada,35,91,93,88,90,91,83,87,82,80,81,87,81,92,88,89,90,90,85,89,89,90,90,88,93,88,84,,83,89,75,88,"2,090"
6,Brock Nelson,C,11,86,LOW,Power Forward,,United States,34,88,89,87,89,88,85,87,80,83,88,87,85,89,88,87,89,88,82,85,90,90,91,89,91,88,85,,82,89,80,89,"2,086"
7,Mackenzie Blackwood,G,39,86,MED,Hybrid,X-Factor,Canada,29,20,,,80,,,,,,,30,,,91,54,,87,,89,93,,,,,,35,88,,89,,,617
8,Artturi Lehkonen,L,62,85,MED,,,Finland,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9,Brent Burns,D,84,85,MED,2 Way D-Man,Seeing Eye,Canada,41,86,83,83,90,89,79,86,55,87,88,85,80,90,85,87,85,85,91,87,85,87,82,92,83,92,87,,90,85,80,91,"2,044"
10,Gabriel Landeskog,L,92,85,MED,Power Forward,X-Factor,Sweden,33,87,87,87,87,87,84,85,79,85,86,85,80,85,90,87,85,85,90,88,85,87,87,87,87,87,82,,89,70,80,89,"2,047"
11,Josh Manson,D,42,85,LOW,Defensive D-man,X-Factor,United States,34,83,84,82,84,83,78,88,55,83,85,83,80,85,85,85,85,83,88,81,86,85,82,87,83,87,86,,91,80,85,89,"2,001"
12,Jaden Schwartz,C,,84,LOW,Sniper,,Canada,34,89,88,92,87,88,80,87,67,80,84,85,83,88,83,85,85,86,84,85,84,87,87,88,86,88,80,,83,86,65,85,"2,019"
13,Nicolas Roy,C,10,83,MED,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Brett Kulak,D,27,82,MED,,,Canada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Logan O’Connor,R,25,81,MED,,,United States,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Scott Wedgewood,G,41,81,HIGH,Hybrid,,Canada,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Gavin Brindley,C,54,80,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Alex Barre-Boulet,C,27,79,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Fedor Svechkov,C,,79,MED,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Sam Malinski,D,70,79,MED,2 Way D-Man,,United States,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Zachary L’Heureux,L,,79,MED,,,Canada,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Nick Blankenburg,D,37,78,MED,,,United States,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Parker Kelly,C,17,78,MED,,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Zakhar Bardakov,C,93,78,MED,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Fabian Lysell,R,23,77,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Vinnie Hinostroza,C,,77,MED,,,United States,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,T.J. Tynan,C,9,76,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Noah Juulsen,D,,75,MED,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Danil Gushchin,L,75,74,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Adam Beckman,L,,73,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Taylor Makar,L,16,73,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Alex Gagne,D,45,68,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
1,Magnus Chrona,G,,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
