Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Dylan Larkin,C,71,89,MED,Playmaker,X-Factor,United States,30,91,92,88,91,92,85,88,85,81,87,86,82,88,89,89,92,90,85,90,90,89,88,89,91,89,82,,82,89,70,86,2094
2,Lucas Raymond,L,23,89,MED,Playmaker,X-Factor,Sweden,24,91,91,88,92,91,78,85,63,81,81,88,86,92,87,89,90,89,87,88,89,90,91,88,91,89,82,,82,89,75,83,2068
3,Alex DeBrincat,R,93,88,MED,Sniper,X-Factor,United States,28,88,89,86,90,88,78,83,66,80,81,87,84,91,87,87,90,88,83,84,88,90,92,88,92,89,81,,82,88,67,85,2041
4,Moritz Seider,D,53,88,MED,2 Way D-Man,X-Factor,Germany,25,88,89,86,87,90,80,89,55,91,84,85,82,89,85,87,89,87,84,89,87,91,89,93,92,91,87,,92,91,75,90,2076
5,Patrick Kane,R,88,86,MED,Playmaker,X-Factor,United States,37,90,91,85,91,94,75,80,63,79,77,87,86,88,86,85,89,86,82,82,87,88,87,88,91,87,78,,80,85,65,80,2009
6,Cam Talbot,G,39,85,LOW,Hybrid,,Canada,39,21,,,84,,,,,,,29,,,86,52,,86,,88,87,,,,,,35,86,,88,,,605
7,Justin Faulk,D,72,85,MED,Offensive D-man,,United States,34,88,89,85,90,88,77,87,55,83,82,86,83,88,86,86,88,86,86,82,87,88,87,91,85,90,83,,84,87,75,87,2031
8,David Perron,L,57,84,MED,2 Way Forward,,Canada,38,86,85,85,86,86,80,86,65,80,88,85,80,86,90,86,85,85,88,85,85,87,85,88,85,88,81,,85,75,75,88,2014
9,John Gibson,G,36,84,MED,Hybrid,,United States,33,21,,,84,,,,,,,28,,,85,50,,84,,85,83,,,,,,34,84,,85,,,590
10,Andrew Copp,C,18,83,MED,,,United States,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,J.T. Compher,L,37,83,MED,,,United States,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,Marco Kasper,C,92,83,MED,2 Way Forward,,Austria,22,84,84,82,85,84,82,85,74,86,82,84,82,88,83,84,85,83,85,81,86,87,86,87,88,86,81,,88,84,68,85,2007
13,Simon Edvinsson,D,77,83,MED,2 Way D-Man,,Sweden,23,85,85,83,84,86,78,86,55,85,86,83,80,85,83,85,86,86,90,80,84,85,84,86,85,85,81,,85,83,72,85,1989
14,Viktor Arvidsson,L,,83,MED,Sniper,,Sweden,33,88,89,89,86,87,78,82,65,80,85,84,84,87,80,87,89,89,84,85,89,88,87,88,86,89,75,,80,70,65,84,1999
15,Jacob Bernard-Docker,D,25,82,LOW,,,Canada,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Mason Appleton,C,22,82,MED,,,United States,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Michael Rasmussen,C,27,82,MED,,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Emmitt Finnie,C,58,81,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,James van Riemsdyk,L,21,81,HIGH,,,United States,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Ben Chiarot,D,8,80,MED,,,Canada,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Keegan Kolesar,R,,80,MED,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Daniil Tarasov,G,,79,MED,Hybrid,,Russia,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Jacob Bryson,D,,79,MED,,,Canada,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Travis Hamonic,D,52,78,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Albert Johansson,D,20,76,LOW,,,Sweden,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Austin Watson,L,24,75,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Ronnie Attard,D,,75,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Carter Mazur,L,34,74,MED,,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Wilmer Skoog,C,,74,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Eduards Tralmaks,R,14,69,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Cameron Butler,R,,68,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Michal Postava,G,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
