Rank,Player,Position,Number,OVR,POT
1,Dylan Larkin,C,71,89,MED
2,Lucas Raymond,L,23,89,MED
3,Alex DeBrincat,R,93,88,MED
4,Moritz Seider,D,53,88,MED
5,Patrick Kane,R,88,86,MED
6,Cam Talbot,G,39,85,LOW
7,Justin Faulk,D,72,85,MED
8,David Perron,L,57,84,MED
9,John Gibson,G,36,84,MED
10,Andrew Copp,C,18,83,MED
11,J.T. Compher,L,37,83,MED
12,Marco Kasper,C,92,83,MED
13,Simon Edvinsson,D,77,83,MED
14,Viktor Arvidsson,L,,83,MED
15,Jacob Bernard-Docker,D,25,82,LOW
16,Mason Appleton,C,22,82,MED
17,Michael Rasmussen,C,27,82,MED
18,Emmitt Finnie,C,58,81,MED
19,James van Riemsdyk,L,21,81,HIGH
20,Ben Chiarot,D,8,80,MED
21,Keegan Kolesar,R,,80,MED
22,Daniil Tarasov,G,,79,MED
23,Jacob Bryson,D,,79,MED
24,Travis Hamonic,D,52,78,MED
25,Albert Johansson,D,20,76,LOW
26,Austin Watson,L,24,75,EXACT
27,Ronnie Attard,D,,75,MED
28,Carter Mazur,L,34,74,MED
29,Wilmer Skoog,C,,74,MED
30,Eduards Tralmaks,R,14,69,EXACT
31,Cameron Butler,R,,68,MED
32,Michal Postava,G,35,,
