Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,William Nylander,R,88,93,EXACT,Playmaker,X-Factor,Canada,30,92,93,88,93,93,78,83,68,80,80,89,85,94,89,90,93,91,88,88,91,91,91,89,94,88,81,,82,90,65,85,2081
2,Auston Matthews,C,34,92,EXACT,Sniper,X-Factor,United States,28,92,93,90,92,94,88,92,83,89,88,90,86,94,90,90,91,92,87,88,90,94,93,92,94,95,82,,83,87,65,91,2139
3,John Tavares,C,91,88,HIGH,Sniper,X-Factor,Canada,35,89,90,88,88,89,84,86,85,83,82,87,82,90,89,88,86,90,91,87,87,89,87,89,90,89,83,,85,87,70,88,2078
4,Matthew Knies,L,23,87,MED,Power Forward,X-Factor,United States,23,85,84,84,85,85,78,86,62,82,81,84,81,89,83,86,85,86,91,83,85,89,88,90,87,90,87,,89,86,80,92,2034
5,Morgan Rielly,D,44,87,MED,2 Way D-Man,X-Factor,Canada,32,89,88,87,93,89,78,88,55,84,84,90,87,93,89,86,89,86,84,84,89,89,86,89,92,88,82,,81,88,70,89,2052
6,Sergei Bobrovsky,G,,87,HIGH,Hybrid,X-Factor,Russia,37,22,,,89,,,,,,,31,,,92,53,,87,,91,85,,,,,,35,82,,92,,,618
7,Anthony Stolarz,G,41,85,LOW,Hybrid,,United States,32,22,,,88,,,,,,,30,,,90,52,,88,,84,90,,,,,,34,85,,84,,,609
8,Chris Tanev,D,8,85,LOW,Defensive D-man,X-Factor,Canada,36,84,83,83,84,85,82,94,55,93,84,85,86,83,85,85,84,82,87,88,83,85,81,88,83,88,82,,80,84,75,89,2007
9,Jake McCabe,D,22,85,MED,Defensive D-man,,United States,32,83,83,82,84,84,79,90,55,87,84,83,81,84,83,86,84,82,88,85,89,86,86,87,83,87,82,,89,84,65,89,1995
10,Nicholas Paul,L,,85,MED,Power Forward,,Canada,31,87,88,85,86,87,82,87,78,81,83,85,85,87,82,86,84,87,90,83,84,87,84,88,87,88,84,,84,85,77,90,2040
11,Darren Raddysh,D,43,84,LOW,2 Way D-Man,X-Factor,Canada,30,86,87,84,88,86,75,86,55,79,81,88,86,89,88,84,86,83,85,82,86,89,89,93,85,89,82,,82,82,75,89,2015
12,Jack Roslovic,C,,84,MED,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Oliver Ekman-Larsson,D,95,84,MED,,,Sweden,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Calle Jarnkrok,C,19,82,MED,,,Sweden,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Colton Sissons,C,,82,LOW,,,Canada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Max Domi,C,11,82,MED,Playmaker,,Canada,31,88,88,87,88,87,81,83,75,80,85,79,70,87,80,87,88,88,85,85,88,87,88,87,87,87,85,,85,85,85,85,2033
17,Dakota Joshua,C,81,81,LOW,,,United States,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Teddy Blueger,C,,81,MED,,,Latvia,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Brandon Duhaime,R,,80,MED,,,United States,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Emil Andrae,D,,80,MED,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Steven Lorentz,C,18,79,MED,,,Canada,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Troy Stecher,D,28,79,MED,,,Canada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Bo Groulx,C,29,78,MED,,,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Zack MacEwen,R,,78,MED,,,Canada,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Vinni Lettieri,C,95,76,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Philippe Myers,D,51,75,MED,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Cole McWard,D,4,73,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Ryan Tverberg,C,77,72,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Henrik Rybinski,R,58,69,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Samuel Hlavaj,G,,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
