Team,Year,Round,Status,PickValue,TradeDetails
Anaheim Ducks,2027,1,Own,14.49,
Anaheim Ducks,2027,2,Acquired from Blues,5.71,Dec 14 2024 The St. Louis Blues acquired Cam Fowler and a 4th round pick from the Anaheim Ducks for a 2nd round pick and Jeremie Biakabutuka
Anaheim Ducks,2027,2,Acquired from Red Wings,5.71,"Jun 28 2025 The Detroit Red Wings acquired John Gibson from the Anaheim Ducks for Petr Mrazek, a 2027 2nd round pick, and a 2026 4th round pick"
Anaheim Ducks,2027,2,Own,5.71,
Anaheim Ducks,2027,3,Traded Away,2.05,Mar 5 2026 | Traded Away The Anaheim Ducks acquire John Carlson from the Washington Capitals for a conditional 2026 1st round pick and a 2027 3rd round pick.
Anaheim Ducks,2027,4,Traded Away,0.98,Dec 14 2024 | Traded Away The St. Louis Blues acquired Cam Fowler and a 4th round pick from the Anaheim Ducks for a 2nd round pick and Jeremie Biakabutuka
Anaheim Ducks,2027,5,Own,0.54,
Anaheim Ducks,2027,6,Own,0.29,
Anaheim Ducks,2027,7,Acquired from Flames,0.14,Mar 6 2026 The Calgary Flames acquire Ryan Strome from the Anaheim Ducks for a 2027 7th round pick.
Anaheim Ducks,2027,7,Own,0.14,
Anaheim Ducks,2028,1,Own,14.49,
Anaheim Ducks,2028,2,Own,5.71,
Anaheim Ducks,2028,3,Own,2.05,
Anaheim Ducks,2028,4,Own,0.98,
Anaheim Ducks,2028,5,Own,0.54,
Anaheim Ducks,2028,6,Own,0.29,
Anaheim Ducks,2028,7,Own,0.14,
Anaheim Ducks,2029,1,Own,14.49,
Anaheim Ducks,2029,2,Own,5.71,
Anaheim Ducks,2029,3,Own,2.05,
Anaheim Ducks,2029,4,Own,0.98,
Anaheim Ducks,2029,5,Own,0.54,
Anaheim Ducks,2029,6,Own,0.29,
Anaheim Ducks,2029,7,Own,0.14,
Anaheim Ducks,2030,1,Own,14.49,
Anaheim Ducks,2030,2,Own,5.71,
Anaheim Ducks,2030,3,Own,2.05,
Anaheim Ducks,2030,4,Own,0.98,
Anaheim Ducks,2030,5,Own,0.54,
Anaheim Ducks,2030,6,Own,0.29,
Anaheim Ducks,2030,7,Own,0.14,
Anaheim Ducks,2031,1,Own,14.49,
Anaheim Ducks,2031,2,Own,5.71,
Anaheim Ducks,2031,3,Own,2.05,
Anaheim Ducks,2031,4,Own,0.98,
Anaheim Ducks,2031,5,Own,0.54,
Anaheim Ducks,2031,6,Own,0.29,
Anaheim Ducks,2031,7,Own,0.14,
Boston Bruins,2027,1,Acquired from Maple Leafs,68.02,"Mar 7 2025 The Toronto Maple Leafs acquired Brandon Carlo from the Boston Bruins for Fraser Minten, a 2026 1st round pick and a 2025 4th round pick"
Boston Bruins,2027,1,Own,14.49,
Boston Bruins,2027,2,Traded Away,5.71,Jul 1 2026 | Traded Away The Boston Bruins acquire William Borgen from the New York Rangers for a 2027 2nd round pick and a conditional 2028 3rd round pick
Boston Bruins,2027,3,Traded Away,2.05,Mar 8 2024 | Traded Away The Boston Bruins acquired Andrew Peeke from the Columbus Blue Jackets for a 2027 3rd round pick and Jakub Zboril
Boston Bruins,2027,4,Acquired from Jets,0.98,"Jun 27 2026 The Pittsburgh Penguins acquire a 2026 4th round pick (DET, #111) from the Boston Bruins for a 2027 4th round pick (WPG) and a 2026 6th round pick (NAS, #170)"
Boston Bruins,2027,4,Own,0.98,
Boston Bruins,2027,5,Traded Away,0.54,Jul 1 2025 | Traded Away The Boston Bruins acquired Viktor Arvidsson from the Edmonton Oilers for a 2027 5th round pick
Boston Bruins,2027,6,Own,0.29,
Boston Bruins,2027,7,Own,0.14,
Boston Bruins,2028,1,Own,14.49,
Boston Bruins,2028,2,Own,5.71,
Boston Bruins,2028,3,Traded Away,2.05,Jul 1 2026 | Traded Away The Boston Bruins acquire William Borgen from the New York Rangers for a 2027 2nd round pick and a conditional 2028 3rd round pick
Boston Bruins,2028,4,Acquired from Rangers,0.98,Jul 1 2026 The New York Rangers acquire Joonas Korpisalo from the Boston Bruins for Kalle Väisänen and a 2028 4th round pick
Boston Bruins,2028,4,Own,0.98,
Boston Bruins,2028,5,Own,0.54,
Boston Bruins,2028,6,Own,0.29,
Boston Bruins,2028,7,Own,0.14,
Boston Bruins,2029,1,Own,14.49,
Boston Bruins,2029,2,Own,5.71,
Boston Bruins,2029,3,Own,2.05,
Boston Bruins,2029,4,Own,0.98,
Boston Bruins,2029,5,Own,0.54,
Boston Bruins,2029,6,Own,0.29,
Boston Bruins,2029,7,Own,0.14,
Boston Bruins,2030,1,Own,14.49,
Boston Bruins,2030,2,Own,5.71,
Boston Bruins,2030,3,Own,2.05,
Boston Bruins,2030,4,Own,0.98,
Boston Bruins,2030,5,Own,0.54,
Boston Bruins,2030,6,Own,0.29,
Boston Bruins,2030,7,Own,0.14,
Boston Bruins,2031,1,Own,14.49,
Boston Bruins,2031,2,Own,5.71,
Boston Bruins,2031,3,Own,2.05,
Boston Bruins,2031,4,Own,0.98,
Boston Bruins,2031,5,Own,0.54,
Boston Bruins,2031,6,Own,0.29,
Boston Bruins,2031,7,Own,0.14,
Buffalo Sabres,2027,1,Own,14.49,
Buffalo Sabres,2027,2,Traded Away,5.71,"Mar 5 2026 | Traded Away The Buffalo Sabres acquire Logan Stanley and Luke Schenn (50% retained) from the Winnipeg Jets for Jacob Bryson, Isak Rosén, a 2027 2nd round pick and a conditional 2026 4th round pick."
Buffalo Sabres,2027,3,Acquired from Sharks,2.05,Jun 24 2026 The Buffalo Sabres acquire a 2027 3rd round pick (SJS) and David Kampf from the Washington Capitals for Alex Tuch
Buffalo Sabres,2027,3,Own,2.05,
Buffalo Sabres,2027,4,Own,0.98,
Buffalo Sabres,2027,5,Own,0.54,
Buffalo Sabres,2027,6,Own,0.29,
