Team,Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Anaheim Ducks,Leo Carlsson,C,"$18,000,000",5,UFA
Anaheim Ducks,Mikael Granlund,"C,LW","$7,000,000",2,UFA
Anaheim Ducks,Troy Terry,RW,"$7,000,000",4,UFA
Anaheim Ducks,Chris Kreider,LW,"$6,500,000",1,UFA
Anaheim Ducks,Alex Killorn,"RW,LW","$6,250,000",1,UFA
Anaheim Ducks,Frank Vatrano,LW,"$4,571,189",2,UFA
Anaheim Ducks,A.J. Greer,"LW,RW","$4,250,000",4,UFA
Anaheim Ducks,Ryan Poehling,C,"$3,750,000",4,UFA
Anaheim Ducks,Jeff Malott,LW,"$1,850,000",3,UFA
Anaheim Ducks,Beckett Sennecke,RW,"$953,750",2,RFA
Anaheim Ducks,Nathan Gaucher,"C,RW","$886,666",1,RFA
Anaheim Ducks,Nikita Nesterenko,"C,LW","$837,500",1,UFA-Group6 then UFA
Anaheim Ducks,Tim Washe,,"$812,500",1,RFA then UFA
Anaheim Ducks,Cutter Gauthier,"LW,RW",,5,Unsigned RFA
Anaheim Ducks,Jackson LaCombe,LD,"$9,000,000",8,UFA
Anaheim Ducks,Pavel Mintyukov,LD,"$7,200,000",5,UFA
Anaheim Ducks,Nick Jensen,RD,"$2,250,000",2,UFA
Anaheim Ducks,Ian Moore,"LD,RD","$1,150,000",2,RFA then UFA
Anaheim Ducks,Drew Helleson,RD,"$1,100,000",1,RFA then UFA
Anaheim Ducks,Tyson Hinds,LD,"$900,000",2,RFA then UFA
Anaheim Ducks,Tristan Luneau,RD,"$865,000",1,RFA
Anaheim Ducks,Lukas Dostal,G,"$6,500,000",4,UFA
Anaheim Ducks,Ville Husso,G,"$2,200,000",1,UFA
Anaheim Ducks,Laurent Brossoit,G,"$1,100,000",1,UFA
Anaheim Ducks,Roger McQueen,F,"$1,075,000",3,RFA
Anaheim Ducks,Marcus Nordmark,,"$1,075,000",3,RFA
Anaheim Ducks,Nikita Klepov,,"$1,075,000",3,RFA
Anaheim Ducks,Cruz Lucius,RW,"$1,050,000",2,RFA
Anaheim Ducks,Ethan Procyszyn,C,"$1,040,000",3,RFA
Anaheim Ducks,Herman Träff,"LW,RW","$990,000",3,RFA
Anaheim Ducks,Lucas Pettersson,C,"$962,700",3,RFA
Anaheim Ducks,Yegor Sidorov,"RW,LW","$940,000",1,RFA
Anaheim Ducks,Coulson Pitre,"RW,C","$933,334",1,RFA
Anaheim Ducks,Nico Myatovic,"LW,C","$896,667",1,RFA
Anaheim Ducks,Anton Wahlberg,"C,LW","$893,333",2,RFA
Anaheim Ducks,Judd Caulfield,"RW,LW","$875,000",2,UFA
Anaheim Ducks,James Hamblin,"LW,C","$875,000",2,UFA
Anaheim Ducks,Sam Colangelo,"RW,C","$850,000",1,UFA-Group6 then UFA
Anaheim Ducks,Sean Farrell,"C,LW","$850,000",1,UFA-Group6 then UFA
Anaheim Ducks,Konnor Smith,D,"$955,000",2,RFA
Anaheim Ducks,Stian Solberg,LD,"$941,667",3,RFA
Anaheim Ducks,Jett Woo,D,"$875,000",2,UFA
Anaheim Ducks,Corey Schueneman,D,"$875,000",2,UFA
Anaheim Ducks,Noah Warren,D,"$865,000",1,RFA
Anaheim Ducks,Travis Mitchell,D,"$850,000",1,UFA
Anaheim Ducks,Tomas Suchanek,G,"$945,000",1,RFA then UFA
Anaheim Ducks,Damian Clara,G,"$934,166",2,RFA
Anaheim Ducks,Calle Clang,G,,3,Unsigned RFA/UFA
Anaheim Ducks,Vyacheslav Buteyets,G,,3,Unsigned RFA/UFA
Boston Bruins,David Pastrnak,"RW,LW","$11,250,000",5,UFA
Boston Bruins,Elias Lindholm,"C,RW","$7,750,000",5,UFA
Boston Bruins,John-Jason Peterka,LW,"$7,700,000",4,UFA
Boston Bruins,Casey Mittelstadt,"C,LW","$5,750,000",1,UFA
Boston Bruins,Morgan Geekie,"C,RW","$5,500,000",5,UFA
Boston Bruins,Pavel Zacha,"C,LW","$4,750,000",1,UFA
Boston Bruins,Tanner Jeannot,"LW,RW","$3,400,000",4,UFA
Boston Bruins,Sean Kuraly,"C,LW","$1,850,000",1,UFA
Boston Bruins,Alex Steeves,"C,LW","$1,625,000",2,UFA
Boston Bruins,Mark Kastelic,"C,RW","$1,566,667",2,UFA
Boston Bruins,Michael Eyssimont,"LW,RW","$1,450,000",1,UFA
Boston Bruins,James Hagens,"C,LW","$986,250",2,RFA
Boston Bruins,Marat Khusnutdinov,"LW,RW","$925,000",1,RFA then UFA
Boston Bruins,Fraser Minten,"C,LW","$7,200,000",8,UFA
Boston Bruins,Charlie McAvoy,RD,"$9,500,000",4,UFA
Boston Bruins,Hampus Lindholm,LD,"$6,500,000",4,UFA
Boston Bruins,Nikita Zadorov,LD,"$5,000,000",4,UFA
Boston Bruins,William Borgen,"RD,LD","$4,100,000",4,UFA
Boston Bruins,Mason Lohrei,LD,"$3,200,000",1,RFA then UFA
Boston Bruins,Henri Jokiharju,RD,"$3,000,000",2,UFA
Boston Bruins,Connor Clifton,RD,"$2,250,000",2,UFA
Boston Bruins,Jeremy Swayman,G,"$8,250,000",6,UFA
Boston Bruins,Michael Dipietro,G,"$812,500",1,UFA
Boston Bruins,Attilio Biasca,,"$980,000",2,RFA then UFA
Boston Bruins,Dans Locmelis,C,"$960,000",2,RFA
Boston Bruins,Lukas Reichel,"C,LW","$950,000",1,RFA then UFA
Boston Bruins,Kalle Väisänen,LW,"$938,333",1,RFA then UFA
Boston Bruins,Brendan Gaunce,"C,LW","$875,000",2,UFA
Boston Bruins,Brian Halonen,"LW,RW","$875,000",2,UFA
