Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Mikael Granlund,C,64,87,Low,Playmaker,X-Factor,Finland,34,90,91,87,91,91,83,87,75,85,85,86,84,88,86,87,87,87,88,87,86,87,85,87,89,87,81,,83,89,65,85,2055
2,Troy Terry,R,19,86,Med,Sniper,X-Factor,United States,28,89,91,86,89,90,77,84,64,80,80,87,85,87,88,88,91,89,88,84,89,87,85,87,89,87,81,,81,88,70,85,2037
3,Beckett Sennecke,R,45,85,High,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,Jackson LaCombe,D,2,85,Med,2 Way D-Man,,United States,25,88,89,87,88,89,78,86,55,83,88,83,84,84,80,88,89,88,90,85,88,88,87,88,87,88,80,,81,86,67,87,2024
5,Lukas Dostal,G,1,85,Med,Hybrid,,Czechia,26,20,,,81,,,,,,,29,,,86,51,,83,,88,85,,,,,,35,88,,88,,,599
6,Chris Kreider,L,20,84,Med,Power Forward,X-Factor,United States,35,86,82,94,83,83,78,84,67,81,80,83,83,86,81,85,82,82,87,88,84,88,85,90,88,90,85,,84,84,80,91,2019
7,Cutter Gauthier,L,61,84,Med,Power Forward,,Canada,22,85,85,84,84,85,82,87,68,87,84,85,83,89,84,87,89,85,85,82,92,87,87,87,87,86,83,,83,83,80,87,2033
8,Frank Vatrano,R,77,84,Med,Sniper,,United States,32,87,87,87,86,86,79,85,65,80,85,82,80,86,80,86,87,87,85,85,87,87,88,87,87,87,81,,85,85,70,85,2012
9,Leo Carlsson,C,91,84,Med,Playmaker,X-Factor,Sweden,21,87,88,85,87,89,80,84,73,80,82,86,85,89,83,85,87,86,82,82,90,86,85,85,86,86,80,,82,84,65,87,2012
10,Petr Mrazek,G,34,84,Med,Hybrid,,Czechia,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,Ville Husso,G,33,84,Med,Hybrid,,Finland,31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,87,1,1,1,1,111
12,Nick Jensen,D,,83,High,,,United States,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Alex Killorn,L,17,82,High,,,Canada,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Laurent Brossoit,G,,82,High,Hybrid,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Pavel Mintyukov,D,98,82,Med,2 Way D-Man,,Russia,22,86,85,82,89,88,80,86,60,88,87,82,80,86,80,87,87,87,87,87,87,84,81,87,82,86,82,,86,85,70,87,2010
16,Ryan Poehling,C,25,80,Med,,,United States,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,A.J. Greer,L,10,79,Med,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Sam Colangelo,R,12,79,Med,Power Forward,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Noah Philp,C,,78,Exact,,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
