Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Mikael Granlund,C,64,87,Low,Playmaker,X-Factor,Finland,34,90,91,87,91,91,83,87,75,85,85,86,84,88,86,87,87,87,88,87,86,87,85,87,89,87,81,,83,89,65,85,2055,Site,,,,,,,,,,,,4,EXACT
2,Troy Terry,R,19,86,Med,Sniper,X-Factor,United States,28,89,91,86,89,90,77,84,64,80,80,87,85,87,88,88,91,89,88,84,89,87,85,87,89,87,81,,81,88,70,85,2037,Site,,,,,,,,,,,,4,MED
3,Beckett Sennecke,R,45,85,High,,,Canada,20,87,87,86,87,87,80,86,71,81,84,85,84,88,84,86,87,86,86,85,87,88,87,88,88,88,82,,84,85,71,87,2034,Interpolated (estimated from OVR),,,,,,,,,,,,5,HIGH
4,Jackson LaCombe,D,2,85,Med,2 Way D-Man,,United States,25,88,89,87,88,89,78,86,55,83,88,83,84,84,80,88,89,88,90,85,88,88,87,88,87,88,80,,81,86,67,87,2024,Site,,,,,,,,,,,,4.5,HIGH
5,Lukas Dostal,G,1,85,Med,Hybrid,,Czechia,26,,,,81,,,,,,,,,,,,,83,,88,85,,,,,,,,,88,,,1350,Goalie: site OVR + estimated attribute profile,82,83,86,91,87,86,82,84,78,85,81,4,HIGH
6,Chris Kreider,L,20,84,Med,Power Forward,X-Factor,United States,35,86,82,94,83,83,78,84,67,81,80,83,83,86,81,85,82,82,87,88,84,88,85,90,88,90,85,,84,84,80,91,2019,Site,,,,,,,,,,,,3.5,EXACT
7,Cutter Gauthier,L,61,84,Med,Power Forward,,Canada,22,85,85,84,84,85,82,87,68,87,84,85,83,89,84,87,89,85,85,82,92,87,87,87,87,86,83,,83,83,80,87,2033,Site,,,,,,,,,,,,4.5,HIGH
8,Frank Vatrano,R,77,84,Med,Sniper,,United States,32,87,87,87,86,86,79,85,65,80,85,82,80,86,80,86,87,87,85,85,87,87,88,87,87,87,81,,85,85,70,85,2012,Site,,,,,,,,,,,,3.5,EXACT
9,Leo Carlsson,C,91,84,Med,Playmaker,X-Factor,Sweden,21,87,88,85,87,89,80,84,73,80,82,86,85,89,83,85,87,86,82,82,90,86,85,85,86,86,80,,82,84,65,87,2012,Site,,,,,,,,,,,,5,HIGH
10,Petr Mrazek,G,34,84,Med,Hybrid,,Czechia,34,,,,85,,,,,,,,,,,,,86,,87,87,,,,,,,,,86,,,1363,Goalie: site OVR + estimated attribute profile,86,83,86,87,86,77,83,91,81,86,86,3.5,EXACT
11,Ville Husso,G,33,84,Med,Hybrid,,Finland,31,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,1,,,922,Goalie: site OVR + estimated attribute profile,80,85,79,84,89,78,85,82,85,84,86,3,EXACT
12,Nick Jensen,D,,83,High,,,United States,35,83,83,81,84,84,78,87,56,85,85,83,82,84,82,84,84,83,85,83,84,86,83,88,83,88,83,,86,84,74,87,1985,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
13,Alex Killorn,L,17,82,High,,,Canada,36,85,85,84,85,85,80,84,70,81,83,83,83,85,81,85,86,85,84,84,86,86,85,87,86,87,82,,84,84,72,86,2002,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
14,Laurent Brossoit,G,,82,High,Hybrid,,Canada,33,,,,84,,,,,,,,,,,,,85,,85,86,,,,,,,,,85,,,1342,Goalie: site OVR + estimated attribute profile,81,83,85,79,86,78,88,85,82,85,85,3,EXACT
15,Pavel Mintyukov,D,98,82,Med,2 Way D-Man,,Russia,22,86,85,82,89,88,80,86,60,88,87,82,80,86,80,87,87,87,87,87,87,84,81,87,82,86,82,,86,85,70,87,2010,Site,,,,,,,,,,,,4,HIGH
