Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Leo Carlsson,C,"$18,000,000",5,UFA
Mikael Granlund,"C,LW","$7,000,000",2,UFA
Troy Terry,RW,"$7,000,000",4,UFA
Chris Kreider,LW,"$6,500,000",1,UFA
Alex Killorn,"RW,LW","$6,250,000",1,UFA
Frank Vatrano,LW,"$4,571,189",2,UFA
A.J. Greer,"LW,RW","$4,250,000",4,UFA
Ryan Poehling,C,"$3,750,000",4,UFA
Jeff Malott,LW,"$1,850,000",3,UFA
Beckett Sennecke,RW,"$953,750",2,RFA
Nathan Gaucher,"C,RW","$886,666",1,RFA
Nikita Nesterenko,"C,LW","$837,500",1,UFA-Group6 then UFA
Tim Washe,,"$812,500",1,RFA then UFA
Cutter Gauthier,"LW,RW",,5,Unsigned RFA
Jackson LaCombe,LD,"$9,000,000",8,UFA
Pavel Mintyukov,LD,"$7,200,000",5,UFA
Nick Jensen,RD,"$2,250,000",2,UFA
Ian Moore,"LD,RD","$1,150,000",2,RFA then UFA
Drew Helleson,RD,"$1,100,000",1,RFA then UFA
Tyson Hinds,LD,"$900,000",2,RFA then UFA
Tristan Luneau,RD,"$865,000",1,RFA
Lukas Dostal,G,"$6,500,000",4,UFA
Ville Husso,G,"$2,200,000",1,UFA
Laurent Brossoit,G,"$1,100,000",1,UFA
Roger McQueen,F,"$1,075,000",3,RFA
Marcus Nordmark,,"$1,075,000",3,RFA
Nikita Klepov,,"$1,075,000",3,RFA
Cruz Lucius,RW,"$1,050,000",2,RFA
Ethan Procyszyn,C,"$1,040,000",3,RFA
Herman Träff,"LW,RW","$990,000",3,RFA
Lucas Pettersson,C,"$962,700",3,RFA
Yegor Sidorov,"RW,LW","$940,000",1,RFA
Coulson Pitre,"RW,C","$933,334",1,RFA
Nico Myatovic,"LW,C","$896,667",1,RFA
Anton Wahlberg,"C,LW","$893,333",2,RFA
Judd Caulfield,"RW,LW","$875,000",2,UFA
James Hamblin,"LW,C","$875,000",2,UFA
Sam Colangelo,"RW,C","$850,000",1,UFA-Group6 then UFA
Sean Farrell,"C,LW","$850,000",1,UFA-Group6 then UFA
Konnor Smith,D,"$955,000",2,RFA
Stian Solberg,LD,"$941,667",3,RFA
Jett Woo,D,"$875,000",2,UFA
Corey Schueneman,D,"$875,000",2,UFA
Noah Warren,D,"$865,000",1,RFA
Travis Mitchell,D,"$850,000",1,UFA
Tomas Suchanek,G,"$945,000",1,RFA then UFA
Damian Clara,G,"$934,166",2,RFA
Calle Clang,G,,3,Unsigned RFA/UFA
Vyacheslav Buteyets,G,,3,Unsigned RFA/UFA
