Year,Round,Status,PickValue,TradeDetails
2027,1,Acquired from Maple Leafs,68.02,"Mar 7 2025 The Toronto Maple Leafs acquired Brandon Carlo from the Boston Bruins for Fraser Minten, a 2026 1st round pick and a 2025 4th round pick"
2027,1,Own,14.49,
2027,2,Traded Away,5.71,Jul 1 2026 | Traded Away The Boston Bruins acquire William Borgen from the New York Rangers for a 2027 2nd round pick and a conditional 2028 3rd round pick
2027,3,Traded Away,2.05,Mar 8 2024 | Traded Away The Boston Bruins acquired Andrew Peeke from the Columbus Blue Jackets for a 2027 3rd round pick and Jakub Zboril
2027,4,Acquired from Jets,0.98,"Jun 27 2026 The Pittsburgh Penguins acquire a 2026 4th round pick (DET, #111) from the Boston Bruins for a 2027 4th round pick (WPG) and a 2026 6th round pick (NAS, #170)"
2027,4,Own,0.98,
2027,5,Traded Away,0.54,Jul 1 2025 | Traded Away The Boston Bruins acquired Viktor Arvidsson from the Edmonton Oilers for a 2027 5th round pick
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,3,Traded Away,2.05,Jul 1 2026 | Traded Away The Boston Bruins acquire William Borgen from the New York Rangers for a 2027 2nd round pick and a conditional 2028 3rd round pick
2028,4,Acquired from Rangers,0.98,Jul 1 2026 The New York Rangers acquire Joonas Korpisalo from the Boston Bruins for Kalle Väisänen and a 2028 4th round pick
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
