Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,David Pastrnak,R,88,95,EXACT,Sniper,X-Factor,Czechia,30,92,95,88,94,90,77,84,64,80,80,90,82,97,90,90,94,91,92,84,91,94,94,93,95,95,81,,83,90,65,85,2096,Site,,,,,,,,,,,,5,EXACT
2,Charlie McAvoy,D,73,89,MED,2 Way D-Man,X-Factor,United States,28,90,91,87,90,90,78,90,55,82,86,87,80,91,90,88,89,86,90,88,87,89,90,89,88,88,84,,86,85,75,89,2062,Site,,,,,,,,,,,,4.5,HIGH
3,Hampus Lindholm,D,27,86,MED,2 Way D-Man,X-Factor,Sweden,32,87,87,86,86,88,79,89,55,83,87,86,83,88,87,86,86,84,87,85,86,86,84,87,85,87,80,,83,80,70,87,2010,Site,,,,,,,,,,,,4,EXACT
4,JJ Peterka,R,77,86,MED,Sniper,X-Factor,Germany,24,87,87,84,88,87,77,84,63,79,83,85,82,88,85,87,90,87,85,84,89,89,90,87,90,87,82,,82,86,75,85,2027,Site,,,,,,,,,,,,4.5,HIGH
5,Jeremy Swayman,G,1,85,MED,Hybrid,X-Factor,United States,27,,,,86,,,,,,,,,,,,,84,,91,83,,,,,,,,,91,,,1392,Goalie: site OVR + estimated attribute profile,89,89,87,86,88,86,87,86,87,86,86,4,HIGH
6,Nikita Zadorov,D,91,85,MED,2 Way D-Man,X-Factor,Russia,31,83,85,82,82,83,77,87,55,82,82,82,79,84,83,87,88,85,90,86,88,87,86,89,84,88,90,,93,86,88,91,2026,Site,,,,,,,,,,,,3.5,EXACT
7,Casey Mittelstadt,C,11,84,LOW,Playmaker,X-Factor,United States,27,88,91,85,88,88,81,84,77,80,82,85,83,86,85,86,85,87,90,82,84,87,85,88,86,87,80,,82,87,65,85,2022,Site,,,,,,,,,,,,3.5,LOW
8,Elias Lindholm,C,28,84,MED,2 Way Forward,X-Factor,Sweden,31,84,84,83,86,84,86,87,85,87,84,87,87,88,85,84,82,84,83,90,83,87,87,87,87,87,81,,87,88,65,85,2035,Site,,,,,,,,,,,,4,EXACT
9,Mason Lohrei,D,6,84,MED,2 Way D-Man,,United States,25,88,90,87,87,89,77,87,55,82,83,86,85,86,86,87,87,87,90,82,88,86,84,87,87,87,83,,81,83,80,87,2027,Site,,,,,,,,,,,,4.5,HIGH
10,Pavel Zacha,C,18,84,LOW,Power Forward,X-Factor,Czechia,29,87,86,85,88,87,83,88,77,81,87,86,87,88,84,85,85,86,85,86,85,88,90,89,84,88,84,,84,89,75,89,2053,Site,,,,,,,,,,,,4,LOW
