Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
David Pastrnak,"RW,LW","$11,250,000",5,UFA
Elias Lindholm,"C,RW","$7,750,000",5,UFA
John-Jason Peterka,LW,"$7,700,000",4,UFA
Casey Mittelstadt,"C,LW","$5,750,000",1,UFA
Morgan Geekie,"C,RW","$5,500,000",5,UFA
Pavel Zacha,"C,LW","$4,750,000",1,UFA
Tanner Jeannot,"LW,RW","$3,400,000",4,UFA
Sean Kuraly,"C,LW","$1,850,000",1,UFA
Alex Steeves,"C,LW","$1,625,000",2,UFA
Mark Kastelic,"C,RW","$1,566,667",2,UFA
Michael Eyssimont,"LW,RW","$1,450,000",1,UFA
James Hagens,"C,LW","$986,250",2,RFA
Marat Khusnutdinov,"LW,RW","$925,000",1,RFA then UFA
Fraser Minten,"C,LW","$7,200,000",8,UFA
Charlie McAvoy,RD,"$9,500,000",4,UFA
Hampus Lindholm,LD,"$6,500,000",4,UFA
Nikita Zadorov,LD,"$5,000,000",4,UFA
William Borgen,"RD,LD","$4,100,000",4,UFA
Mason Lohrei,LD,"$3,200,000",1,RFA then UFA
Henri Jokiharju,RD,"$3,000,000",2,UFA
Connor Clifton,RD,"$2,250,000",2,UFA
Jeremy Swayman,G,"$8,250,000",6,UFA
Michael Dipietro,G,"$812,500",1,UFA
Attilio Biasca,,"$980,000",2,RFA then UFA
Dans Locmelis,C,"$960,000",2,RFA
Lukas Reichel,"C,LW","$950,000",1,RFA then UFA
Kalle Väisänen,LW,"$938,333",1,RFA then UFA
Brendan Gaunce,"C,LW","$875,000",2,UFA
Brian Halonen,"LW,RW","$875,000",2,UFA
Riley Duran,"C,RW","$850,000",1,RFA then UFA
Navrin Mutter,"LW,C","$850,000",1,UFA-Group6 then UFA
Ivan Ivan,"C,LW","$850,000",1,RFA then UFA
Matthew Poitras,"C,RW",,5,Unsigned RFA
Loke Johansson,D,"$928,334",3,RFA
Jonathan Aspirot,LD,"$887,500",2,UFA
Frédéric Brunet,LD,"$875,000",2,RFA
Jordan Harris,LD,"$850,000",1,RFA then UFA
Maxence Guenette,D,"$850,000",1,UFA-Group6 then UFA
Billy Sweezey,D,"$850,000",1,UFA
Max Lundgren,G,"$952,500",1,RFA then UFA
Jiri Patera,G,"$850,000",1,UFA
Simon Zajicek,G,"$850,000",1,RFA then UFA
Luke Cavallin,G,"$850,000",1,RFA then UFA
