Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Traded Away,5.71,"Mar 5 2026 | Traded Away The Buffalo Sabres acquire Logan Stanley and Luke Schenn (50% retained) from the Winnipeg Jets for Jacob Bryson, Isak Rosén, a 2027 2nd round pick and a conditional 2026 4th round pick."
2027,3,Acquired from Sharks,2.05,Jun 24 2026 The Buffalo Sabres acquire a 2027 3rd round pick (SJS) and David Kampf from the Washington Capitals for Alex Tuch
2027,3,Own,2.05,
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,3,Acquired from Oilers,2.05,Jul 1 2026 The Edmonton Oilers acquire Devon Levi and a 2028 7th round pick from the Buffalo Sabres for a 2028 3rd round pick
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Traded Away,0.14,Jul 1 2026 | Traded Away The Edmonton Oilers acquire Devon Levi and a 2028 7th round pick from the Buffalo Sabres for a 2028 3rd round pick
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
