Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Rasmus Dahlin,D,26,93,HIGH,2 Way D-Man,X-Factor,Sweden,26,93,92,91,94,94,78,91,55,81,85,89,80,95,92,92,94,92,94,90,90,92,94,89,94,89,83,,86,89,70,88,2109,Site,,,,,,,,,,,,5,HIGH
2,Tage Thompson,C,72,89,MED,Power Forward,X-Factor,United States,28,90,92,87,90,92,80,85,74,80,81,88,83,93,88,90,93,90,90,89,90,93,92,95,92,93,84,,83,87,75,91,2105,Site,,,,,,,,,,,,4.5,HIGH
3,Owen Power,D,25,86,MED,2 Way D-Man,X-Factor,Canada,23,90,91,87,89,91,76,87,55,81,82,89,88,91,89,89,92,89,92,83,90,88,85,88,90,88,83,,81,88,75,89,2061,Site,,,,,,,,,,,,4.5,HIGH
4,Josh Norris,C,9,85,MED,2 Way Forward,X-Factor,United States,27,85,84,84,86,86,84,88,79,85,84,85,82,88,85,87,91,83,81,88,92,87,86,88,84,88,80,,82,81,70,87,2032,Site,,,,,,,,,,,,4,MED
5,Ryan McLeod,C,71,84,LOW,2 Way Forward,X-Factor,Canada,26,87,88,86,86,87,84,87,81,80,88,84,86,86,81,86,89,84,84,88,87,85,82,87,84,87,81,,82,85,70,87,2032,Site,,,,,,,,,,,,3.5,LOW
6,Ukko-Pekka Luukkonen,G,1,84,MED,Hybrid,,Finland,27,,,,82,,,,,,,,,,,,,85,,90,85,,,,,,,,,90,,,1351,Goalie: site OVR + estimated attribute profile,81,82,84,82,86,83,86,87,80,86,82,4,HIGH
7,Alex Lyon,G,34,83,HIGH,Hybrid,,United States,33,,,,84,,,,,,,,,,,,,85,,86,86,,,,,,,,,86,,,1325,Goalie: site OVR + estimated attribute profile,84,79,83,86,80,76,83,81,78,81,87,3,EXACT
8,Jason Zucker,L,17,83,MED,2 Way Forward,,United States,34,84,83,83,87,84,78,85,66,79,80,84,80,88,85,84,85,83,84,83,86,88,87,89,86,88,81,,84,83,70,88,1996,Site,,,,,,,,,,,,3.5,EXACT
9,Justin Danforth,R,15,82,MED,,,Canada,33,85,85,84,85,85,80,84,70,81,83,83,83,85,81,85,86,85,84,84,86,86,85,87,86,87,82,,84,84,72,86,2002,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
10,Mattias Samuelsson,D,23,82,MED,,,United States,26,82,82,80,83,83,78,87,56,86,85,82,81,83,81,83,84,82,84,82,84,85,82,88,82,87,83,,86,83,75,87,1973,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
11,Olen Zellweger,D,,82,MED,Offensive D-man,,Canada,22,82,82,80,83,83,78,87,56,86,85,82,81,83,81,83,84,82,84,82,84,85,82,88,82,87,83,,86,83,75,87,1973,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
12,Zach Benson,L,6,82,MED,,,Canada,21,85,85,84,85,85,80,84,70,81,83,83,83,85,81,85,86,85,84,84,86,86,85,87,86,87,82,,84,84,72,86,2002,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
13,Jack Quinn,R,22,81,MED,,,Canada,24,84,85,84,84,85,80,84,70,81,83,83,83,85,80,84,85,84,84,84,85,86,84,87,85,87,81,,84,83,72,86,1994,Interpolated (estimated from OVR),,,,,,,,,,,,4,MED
14,Peyton Krebs,C,19,81,MED,,,Canada,25,84,85,84,84,85,80,84,70,81,83,83,83,85,80,84,85,84,84,84,85,86,84,87,85,87,81,,84,83,72,86,1994,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
15,Tanner Pearson,L,70,81,LOW,,,Canada,34,84,85,84,84,85,80,84,70,81,83,83,83,85,80,84,85,84,84,84,85,86,84,87,85,87,81,,84,83,72,86,1994,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
16,Beck Malenstyn,L,29,80,MED,,,Canada,28,84,84,83,83,84,79,83,70,81,83,82,83,84,79,84,85,84,84,84,85,86,84,87,84,87,82,,85,83,73,86,1988,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
17,Conor Timmins,D,21,80,LOW,,,Canada,27,80,80,78,81,81,78,86,56,86,84,80,80,81,79,82,82,81,83,81,82,84,80,88,80,87,83,,87,82,75,87,1947,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,LOW
18,Jiri Kulich,C,20,80,MED,,,Czechia,22,84,84,83,83,84,79,83,70,81,83,82,83,84,79,84,85,84,84,84,85,86,84,87,84,87,82,,85,83,73,86,1988,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
