Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Joshua Norris,C,"$7,950,000",4,UFA
Zach Benson,"LW,C","$7,500,000",7,UFA
Tage Thompson,"C,RW","$7,142,857",4,UFA
Josh Doan,"RW,C","$6,950,000",7,UFA
Ryan McLeod,C,"$5,000,000",3,UFA
Jason Zucker,"LW,RW","$4,750,000",1,UFA
Peyton Krebs,"C,LW","$4,500,000",4,UFA
Jack Quinn,"RW,LW","$3,375,000",1,RFA then UFA
Beck Malenstyn,"LW,RW","$2,916,667",6,UFA
Justin Danforth,"RW,C","$1,800,000",1,UFA
Sam Carrick,"C,RW","$1,000,000",1,UFA
Noah Östlund,"C,LW","$886,666",1,RFA
Tyson Kozak,"C,LW","$875,000",2,RFA then UFA
Rasmus Dahlin,"LD,RD","$11,000,000",6,UFA
Owen Power,"LD,RD","$8,350,000",5,UFA
Mattias Samuelsson,"LD,RD","$4,285,714",4,UFA
Olen Zellweger,LD,"$3,100,000",3,RFA
Conor Timmins,RD,"$2,200,000",1,UFA
Louis Crevier,RD,"$900,000",1,RFA then UFA
Zach Metsa,"RD,LD","$850,000",2,UFA
Ukko-Pekka Luukkonen,G,"$4,750,000",3,UFA
Alex Lyon,G,"$1,500,000",1,UFA
Colten Ellis,G,"$850,000",1,UFA-Group6 then UFA
Jake Richard,RW,"$1,013,750",2,RFA
Konsta Helenius,"C,RW","$953,750",2,RFA
Riley Fiddler-Schultz,,"$940,000",1,RFA then UFA
Zac Funk,"RW,LW","$905,000",1,RFA
Jiri Kulich,"C,LW","$886,666",1,RFA
Trevor Kuntar,"C,LW","$875,000",2,UFA
Mason Geertsen,"LW,D","$850,000",1,UFA
Conor Sheary,"LW,RW","$850,000",1,UFA
Carson Meyer,"RW,LW","$850,000",1,UFA
Aidan McDonough,LW,"$850,000",1,UFA
Jason Polin,RW,"$850,000",1,UFA
Maxim Strbak,D,"$1,028,333",3,RFA
Gavin McCarthy,D,"$1,007,500",3,RFA
Radim Mrtka,D,"$974,167",3,RFA
Vsevolod Komarov,RD,"$910,000",1,RFA
Ryan Johnson,LD,"$875,000",2,RFA then UFA
Dennis Gilbert,LD,"$850,000",1,UFA
Jack Rathbone,D,"$850,000",1,UFA
Topias Leinonen,G,"$961,667",2,RFA
Scott Ratzlaff,G,"$935,000",2,RFA
Matt Villalta,G,"$850,000",1,UFA
