Year,Round,Status,PickValue,TradeDetails
2027,1,Own,68.02,
2027,2,Own,5.71,
2027,2,Acquired from Avalanche,5.71,"Mar 6 2026 The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
2027,3,Own,2.05,
2027,3,Acquired from Wild,2.05,"Jul 2 2026 The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
2027,4,Traded Away,0.98,"Mar 6 2026 | Traded Away The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Traded Away,0.14,Mar 6 2026 | Traded Away The Calgary Flames acquire Ryan Strome from the Anaheim Ducks for a 2027 7th round pick.
2028,1,Own,68.02,
2028,2,Own,5.71,
2028,2,Acquired from Golden Knights,5.71,"Jan 18 2026 The Vegas Golden Knights acquired Rasmus Andersson from the Calgary Flames for Zach Whitecloud, Abram Wiebe, a 2027 1st round pick, and a conditional 2028 2nd round pick"
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,4,Acquired from Wild,0.98,"Jul 2 2026 The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Traded Away,0.14,"Jan 30 2025 | Traded Away The Calgary Flames acquired Joel Farabee and Morgan Frost from the Philadelphia Flyers for Andrei Kuzmenko, Jakob Pelletier, a 2025 2nd round pick, and 2028 7th round pick"
2029,1,Own,68.02,
2029,2,Own,5.71,
2029,2,Acquired from Wild,5.71,"Jul 2 2026 The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,68.02,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,68.02,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
