Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Dustin Wolf,G,32,87,MED,Hybrid,X-Factor,United States,25,22,,,88,,,,,,,31,,,92,53,,89,,87,89,,,,,,35,87,,87,,,619
2,Jonathan Huberdeau,L,10,86,MED,Playmaker,X-Factor,Canada,33,88,88,85,91,88,79,84,65,84,81,87,83,90,88,86,86,86,84,90,85,88,85,89,88,88,81,,83,89,65,87,2032
3,Jake Middleton,D,5,84,LOW,Defensive D-man,X-Factor,Canada,30,83,82,81,83,85,80,91,55,89,84,85,84,86,84,85,84,84,85,85,85,87,84,88,87,88,85,,82,83,86,89,2014
4,Kevin Bahl,D,7,84,HIGH,Defensive D-man,,Canada,26,82,82,81,82,83,79,89,55,83,88,81,82,81,81,85,83,82,90,86,82,85,82,88,83,88,86,,86,85,85,89,1996
5,Matt Coronato,R,27,84,MED,Sniper,,United States,23,86,86,84,85,87,78,84,67,80,79,85,83,88,84,86,88,86,83,87,86,87,84,87,88,87,79,,82,84,65,84,1998
6,Maxim Tsyplakov,R,,84,--,Playmaker,,Russia,27,87,88,85,86,87,78,84,65,81,82,83,80,87,82,86,88,86,90,81,85,86,84,87,85,87,82,,89,83,70,86,2008
7,Mikael Backlund,C,11,84,MED,2 Way Forward,X-Factor,Sweden,37,87,87,86,87,88,85,87,83,83,88,85,83,87,85,86,87,85,82,90,85,88,87,88,87,88,82,,83,88,70,85,2049
8,Ryan Strome,C,22,84,MED,Playmaker,,Canada,33,88,89,87,88,87,81,86,76,75,85,84,80,87,85,87,88,88,85,85,88,87,87,88,87,87,80,,85,85,65,85,2028
9,Morgan Frost,C,16,83,MED,Playmaker,X-Factor,Canada,27,88,88,86,86,90,84,84,79,84,87,84,83,84,85,86,88,87,84,83,87,86,83,87,85,87,80,,82,85,67,84,2025
10,Yegor Sharangovich,C,17,83,MED,2 Way Forward,,Belarus,28,88,88,87,88,88,81,87,70,80,87,84,85,88,80,87,88,88,88,85,88,88,87,88,88,87,83,,85,85,75,88,2048
11,Connor Zary,C,47,82,MED,,,Canada,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,Simon Nemec,D,,82,MED,2 Way D-Man,,Slovakia,22,82,82,81,83,83,77,88,50,84,86,84,80,87,85,85,87,87,84,80,87,85,82,87,83,87,79,,77,85,70,85,1970
13,Zach Whitecloud,D,28,82,MED,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Jake Bean,D,24,81,MED,,,Canada,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Joel Farabee,L,86,81,MED,2 Way Forward,,United States,26,88,89,88,87,88,81,86,70,80,87,83,80,88,80,87,88,89,85,85,88,88,87,88,87,88,83,,85,85,75,85,2038
16,Martin Pospisil,C,76,80,LOW,2 Way Forward,,Slovakia,26,82,82,81,83,82,79,84,68,80,83,81,80,82,80,85,83,82,84,87,90,86,84,88,84,87,83,,93,82,70,87,1986
17,Adam Klapka,R,43,79,MED,,,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Brayden Pachal,D,94,78,MED,,,Canada,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Joel Hanley,D,44,78,LOW,,,Canada,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Samuel Honzek,L,29,78,MED,,,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Yan Kuznetsov,D,37,77,MED,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Zayne Parekh,D,19,77,MED,,,Canada,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Matvei Gridin,R,92,76,MED,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Hunter Brzustewicz,D,48,75,MED,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Michael Benning,D,,75,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Abram Wiebe,D,52,74,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Tyson Gross,C,39,74,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Sam Morton,C,45,73,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Devin Cooley,G,1,72,MED,Hybrid,,United States,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Ben Jones,C,64,70,MED,,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
