Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Dustin Wolf,G,32,87,MED,Hybrid,X-Factor,United States,25,,,,88,,,,,,,,,,,,,89,,87,89,,,,,,,,,87,,,1403,Goalie: site OVR + estimated attribute profile,82,87,86,85,83,85,88,99,83,93,92,4.5,HIGH
2,Jonathan Huberdeau,L,10,86,MED,Playmaker,X-Factor,Canada,33,88,88,85,91,88,79,84,65,84,81,87,83,90,88,86,86,86,84,90,85,88,85,89,88,88,81,,83,89,65,87,2032,Site,,,,,,,,,,,,4,EXACT
3,Jake Middleton,D,5,84,LOW,Defensive D-man,X-Factor,Canada,30,83,82,81,83,85,80,91,55,89,84,85,84,86,84,85,84,84,85,85,85,87,84,88,87,88,85,,82,83,86,89,2014,Site,,,,,,,,,,,,3.5,EXACT
4,Kevin Bahl,D,7,84,HIGH,Defensive D-man,,Canada,26,82,82,81,82,83,79,89,55,83,88,81,82,81,81,85,83,82,90,86,82,85,82,88,83,88,86,,86,85,85,89,1996,Site,,,,,,,,,,,,4,HIGH
5,Matt Coronato,R,27,84,MED,Sniper,,United States,23,86,86,84,85,87,78,84,67,80,79,85,83,88,84,86,88,86,83,87,86,87,84,87,88,87,79,,82,84,65,84,1998,Site,,,,,,,,,,,,4.5,HIGH
6,Maxim Tsyplakov,R,,84,--,Playmaker,,Russia,27,87,88,85,86,87,78,84,65,81,82,83,80,87,82,86,88,86,90,81,85,86,84,87,85,87,82,,89,83,70,86,2008,Site,,,,,,,,,,,,4,MED
7,Mikael Backlund,C,11,84,MED,2 Way Forward,X-Factor,Sweden,37,87,87,86,87,88,85,87,83,83,88,85,83,87,85,86,87,85,82,90,85,88,87,88,87,88,82,,83,88,70,85,2049,Site,,,,,,,,,,,,3.5,EXACT
8,Ryan Strome,C,22,84,MED,Playmaker,,Canada,33,88,89,87,88,87,81,86,76,75,85,84,80,87,85,87,88,88,85,85,88,87,87,88,87,87,80,,85,85,65,85,2028,Site,,,,,,,,,,,,3.5,EXACT
9,Morgan Frost,C,16,83,MED,Playmaker,X-Factor,Canada,27,88,88,86,86,90,84,84,79,84,87,84,83,84,85,86,88,87,84,83,87,86,83,87,85,87,80,,82,85,67,84,2025,Site,,,,,,,,,,,,4,MED
10,Yegor Sharangovich,C,17,83,MED,2 Way Forward,,Belarus,28,88,88,87,88,88,81,87,70,80,87,84,85,88,80,87,88,88,88,85,88,88,87,88,88,87,83,,85,85,75,88,2048,Site,,,,,,,,,,,,4,MED
11,Connor Zary,C,47,82,MED,,,Canada,24,85,85,84,85,85,80,84,70,81,83,83,83,85,81,85,86,85,84,84,86,86,85,87,86,87,82,,84,84,72,86,2002,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
12,Simon Nemec,D,,82,MED,2 Way D-Man,,Slovakia,22,82,82,81,83,83,77,88,50,84,86,84,80,87,85,85,87,87,84,80,87,85,82,87,83,87,79,,77,85,70,85,1970,Site,,,,,,,,,,,,4.5,HIGH
13,Zach Whitecloud,D,28,82,MED,,,Canada,29,82,82,80,83,83,78,87,56,86,85,82,81,83,81,83,84,82,84,82,84,85,82,88,82,87,83,,86,83,75,87,1973,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
14,Jake Bean,D,24,81,MED,,,Canada,28,81,81,79,82,82,78,87,56,86,84,81,81,82,80,83,83,82,84,82,83,84,81,88,81,87,82,,86,82,75,87,1961,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
15,Joel Farabee,L,86,81,MED,2 Way Forward,,United States,26,88,89,88,87,88,81,86,70,80,87,83,80,88,80,87,88,89,85,85,88,88,87,88,87,88,83,,85,85,75,85,2038,Site,,,,,,,,,,,,4,MED
16,Martin Pospisil,C,76,80,LOW,2 Way Forward,,Slovakia,26,82,82,81,83,82,79,84,68,80,83,81,80,82,80,85,83,82,84,87,90,86,84,88,84,87,83,,93,82,70,87,1986,Site,,,,,,,,,,,,3.5,LOW
17,Adam Klapka,R,43,79,MED,,,Czechia,25,83,83,83,82,83,79,83,69,80,83,81,83,83,78,84,84,83,83,84,85,85,83,87,84,86,82,,85,82,73,86,1975,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
18,Brayden Pachal,D,94,78,MED,,,Canada,26,78,78,76,79,80,78,85,56,87,84,79,80,79,77,81,81,79,82,80,81,82,78,87,78,87,83,,88,81,76,87,1926,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
19,Joel Hanley,D,44,78,LOW,,,Canada,35,78,78,76,79,80,78,85,56,87,84,79,80,79,77,81,81,79,82,80,81,82,78,87,78,87,83,,88,81,76,87,1926,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
20,Samuel Honzek,L,29,78,MED,,,Slovakia,21,82,82,82,81,82,79,83,69,80,83,81,83,82,77,83,84,83,83,83,84,85,83,87,83,86,82,,85,82,73,86,1966,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
21,Yan Kuznetsov,D,37,77,MED,,,Russia,24,77,77,75,78,79,78,85,56,87,84,77,79,77,76,80,80,78,82,79,80,82,77,87,77,86,83,,88,80,76,87,1910,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
22,Zayne Parekh,D,19,77,MED,,,Canada,20,77,77,75,78,79,78,85,56,87,84,77,79,77,76,80,80,78,82,79,80,82,77,87,77,86,83,,88,80,76,87,1910,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,HIGH
23,Matvei Gridin,R,92,76,MED,,,Russia,20,81,81,81,80,81,78,82,69,80,82,79,83,80,75,83,83,82,82,83,84,84,82,86,82,86,81,,85,81,74,85,1949,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
24,Hunter Brzustewicz,D,48,75,MED,,,United States,21,75,75,73,76,77,78,84,57,88,83,76,78,75,75,79,78,77,81,78,79,80,75,86,75,86,83,,89,79,77,87,1888,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
25,Michael Benning,D,,75,EXACT,,,,24,75,75,73,76,77,78,84,57,88,83,76,78,75,75,79,78,77,81,78,79,80,75,86,75,86,83,,89,79,77,87,1888,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
26,Abram Wiebe,D,52,74,MED,,,Canada,22,74,75,72,75,76,78,84,57,88,83,76,78,75,75,78,78,76,80,77,78,80,74,86,74,86,83,,89,79,77,87,1879,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
27,Tyson Gross,C,39,74,MED,,,Canada,23,80,80,80,78,80,78,81,68,79,82,78,83,78,73,82,82,81,82,83,83,83,80,86,80,85,81,,85,80,75,85,1929,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
28,Sam Morton,C,45,73,LOW,,,,27,79,79,80,77,79,78,81,68,79,82,77,83,77,72,82,81,81,81,82,83,83,80,86,80,85,81,,85,80,75,85,1921,Interpolated (estimated from OVR),,,,,,,,,,,,3,LOW
29,Devin Cooley,G,1,72,MED,Hybrid,,United States,29,,,,82,,,,,,,,,,,,,78,,78,79,,,,,,,,,77,,,1188,Goalie: site OVR + estimated attribute profile,73,71,74,78,72,71,68,69,74,70,74,3,MED
30,Ben Jones,C,64,70,MED,,,Canada,27,77,77,78,75,77,77,79,67,79,82,76,83,75,70,81,80,79,80,82,82,81,78,85,78,84,81,,86,78,76,85,1895,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
