Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Jonathan Huberdeau,LW,"$10,500,000",5,UFA
Matt Coronato,"RW,LW","$6,500,000",6,UFA
Yegor Sharangovich,"C,LW","$5,750,000",4,UFA
Ryan Strome,C,"$5,000,000",1,UFA
Joel Farabee,"LW,RW","$5,000,000",2,UFA
Morgan Frost,C,"$4,375,000",1,UFA
Connor Zary,"C,LW","$3,775,000",2,RFA then UFA
Mikael Backlund,C,"$3,250,000",2,UFA
Martin Pospisil,"C,LW","$2,500,000",3,UFA
Maxim Tsyplakov,"LW,RW","$2,250,000",1,UFA
Adam Klapka,"RW,LW","$1,250,000",1,RFA then UFA
Matvei Gridin,"RW,LW","$953,750",2,RFA
Samuel Honzek,"LW,C","$909,166",2,RFA
Alexander Nylander,"W,C",,0,Unsigned UFA
Brennan Othmann,LW,,4,Unsigned RFA/UFA
Simon Nemec,RD,"$7,250,000",5,UFA
Kevin Bahl,LD,"$5,350,000",5,UFA
Jacob Middleton,LD,"$4,350,000",3,UFA
Zach Whitecloud,RD,"$2,750,000",2,UFA
Joel Hanley,LD,"$1,750,000",1,UFA
Brayden Pachal,RD,"$1,187,500",1,UFA
Zayne Parekh,RD,"$953,750",2,RFA
Yan Kuznetsov,LD,"$812,500",1,UFA-Group6 then UFA
Dustin Wolf,G,"$7,500,000",7,UFA
Devin Cooley,G,"$1,350,000",2,UFA
Jonathan Castagna,C,"$1,075,000",3,RFA
Theo Stockselius,,"$1,015,833",3,RFA
Tyson Gross,,"$975,000",1,RFA then UFA
Andrew Basha,LW,"$932,500",3,RFA
Aydar Suniev,LW,"$923,333",1,RFA
Dryden Hunt,"LW,RW","$850,000",1,UFA
Ben Jones,C,"$850,000",1,UFA
Rory Kerins,"C,LW","$850,000",1,UFA-Group6 then UFA
William Strömgren,"LW,RW","$850,000",1,RFA then UFA
Sam Morton,"C,LW","$850,000",1,UFA
Axel Hurtig,D,"$990,000",3,RFA
Abram Wiebe,D,"$950,000",1,RFA
Hunter Brzustewicz,RD,"$950,000",1,RFA
Andreas Englund,D,"$900,000",1,UFA
Michael Benning,RD,"$850,000",1,UFA-Group6 then UFA
Jake Livingstone,D,"$850,000",1,UFA
Nikita Okhotyuk,D,,2,Unsigned RFA/UFA
Kirill Zarubin,G,"$1,007,500",3,RFA
Arseni Sergeyev,G,"$941,250",1,RFA then UFA
