Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Jaccob Slavin,D,74,90,MED,2 Way D-Man,X-Factor,United States,32,83,83,82,83,83,82,94,55,84,93,85,90,83,83,86,84,85,82,88,93,87,86,88,87,87,83,,81,88,75,87,2024
2,Sebastian Aho,C,20,90,MED,2 Way Forward,X-Factor,Finland,29,91,91,88,93,90,85,90,83,81,85,88,82,94,89,87,91,89,85,83,89,90,92,89,91,88,81,,83,90,65,85,2086
3,Nikolaj Ehlers,L,27,88,MED,Playmaker,X-Factor,Denmark,30,90,91,88,90,90,78,85,63,81,83,88,85,91,88,87,91,88,83,84,90,89,90,88,90,88,78,,82,83,63,84,2039
4,Seth Jarvis,C,24,88,MED,Sniper,X-Factor,Canada,24,88,88,86,90,88,80,86,68,85,81,89,87,92,88,89,88,88,88,86,93,89,90,88,89,88,80,,85,87,65,82,2056
5,Andrei Svechnikov,R,37,87,MED,Sniper,X-Factor,Russia,26,89,90,86,90,88,76,83,62,79,80,85,80,91,85,87,86,87,88,86,87,90,88,91,89,92,84,,87,84,75,88,2042
6,Shayne Gostisbehere,D,4,87,MED,Offensive D-man,X-Factor,United States,33,90,90,87,92,90,76,86,55,80,84,88,81,93,90,85,86,87,82,84,85,89,90,89,89,88,80,,82,83,70,85,2028
7,K’Andre Miller,D,19,86,MED,2 Way D-Man,X-Factor,United States,26,86,86,85,85,86,79,88,55,81,90,84,84,84,85,86,89,86,83,84,90,87,85,88,87,88,84,,87,87,75,88,2026
8,Logan Stankoven,C,22,85,MED,Sniper,X-Factor,Canada,23,87,88,87,87,86,80,85,70,80,83,86,85,88,86,85,87,87,85,82,86,86,83,87,88,87,78,,83,82,65,83,2010
9,Pyotr Kochetkov,G,52,85,MED,Hybrid,,Russia,27,21,,,84,,,,,,,27,,,80,53,,90,,85,90,,,,,,35,88,,85,,,602
10,Alexander Nikishin,D,21,84,LOW,,,Russia,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,Taylor Hall,L,71,84,MED,Sniper,,Canada,34,87,89,85,87,86,78,83,66,80,82,85,81,87,86,85,88,86,83,82,88,88,86,90,87,90,80,,83,81,70,87,2013
12,Jesperi Kotkaniemi,C,82,83,LOW,,,Finland,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Jordan Martinook,L,48,83,MED,,,Canada,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Jordan Staal,C,11,83,HIGH,,,Canada,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Sean Walker,D,26,83,LOW,2 Way D-Man,,Canada,31,83,85,79,85,84,79,87,55,87,87,81,80,84,80,87,88,86,86,85,88,84,80,88,80,87,82,,85,85,70,86,1987
16,Eric Robinson,L,50,82,MED,2 Way Forward,,United States,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Jalen Chatfield,D,5,81,MED,,,United States,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Jackson Blake,R,53,80,MED,Playmaker,,United States,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,William Carrier,L,28,80,HIGH,,,Canada,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Mark Jankowski,C,77,79,MED,,,Canada,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Nicolas Deslauriers,L,44,78,MED,,,Canada,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Mike Reilly,D,6,77,MED,,,United States,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Felix Unger Sorum,R,36,72,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Kyle Masters,D,,67,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Amir Miftakhov,G,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Brandon Bussi,G,32,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Charlie Cerrato,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
