Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Jaccob Slavin,D,74,90,MED,2 Way D-Man,X-Factor,United States,32,83,83,82,83,83,82,94,55,84,93,85,90,83,83,86,84,85,82,88,93,87,86,88,87,87,83,,81,88,75,87,2024,Site,,,,,,,,,,,,4.5,EXACT
2,Sebastian Aho,C,20,90,MED,2 Way Forward,X-Factor,Finland,29,91,91,88,93,90,85,90,83,81,85,88,82,94,89,87,91,89,85,83,89,90,92,89,91,88,81,,83,90,65,85,2086,Site,,,,,,,,,,,,5,HIGH
3,Nikolaj Ehlers,L,27,88,MED,Playmaker,X-Factor,Denmark,30,90,91,88,90,90,78,85,63,81,83,88,85,91,88,87,91,88,83,84,90,89,90,88,90,88,78,,82,83,63,84,2039,Site,,,,,,,,,,,,4.5,EXACT
4,Seth Jarvis,C,24,88,MED,Sniper,X-Factor,Canada,24,88,88,86,90,88,80,86,68,85,81,89,87,92,88,89,88,88,88,86,93,89,90,88,89,88,80,,85,87,65,82,2056,Site,,,,,,,,,,,,4.5,HIGH
5,Andrei Svechnikov,R,37,87,MED,Sniper,X-Factor,Russia,26,89,90,86,90,88,76,83,62,79,80,85,80,91,85,87,86,87,88,86,87,90,88,91,89,92,84,,87,84,75,88,2042,Site,,,,,,,,,,,,4.5,HIGH
6,Shayne Gostisbehere,D,4,87,MED,Offensive D-man,X-Factor,United States,33,90,90,87,92,90,76,86,55,80,84,88,81,93,90,85,86,87,82,84,85,89,90,89,89,88,80,,82,83,70,85,2028,Site,,,,,,,,,,,,4,EXACT
7,K’Andre Miller,D,19,86,MED,2 Way D-Man,X-Factor,United States,26,86,86,85,85,86,79,88,55,81,90,84,84,84,85,86,89,86,83,84,90,87,85,88,87,88,84,,87,87,75,88,2026,Site,,,,,,,,,,,,4,HIGH
8,Logan Stankoven,C,22,85,MED,Sniper,X-Factor,Canada,23,87,88,87,87,86,80,85,70,80,83,86,85,88,86,85,87,87,85,82,86,86,83,87,88,87,78,,83,82,65,83,2010,Site,,,,,,,,,,,,4.5,HIGH
9,Pyotr Kochetkov,G,52,85,MED,Hybrid,,Russia,27,,,,84,,,,,,,,,,,,,90,,85,90,,,,,,,,,85,,,1365,Goalie: site OVR + estimated attribute profile,82,81,86,84,88,82,82,87,79,90,90,4,MED
10,Alexander Nikishin,D,21,84,LOW,,,Russia,24,84,84,82,84,85,78,88,56,85,85,83,82,85,83,85,85,84,85,84,85,86,84,89,84,88,82,,85,84,74,87,1997,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,LOW
11,Taylor Hall,L,71,84,MED,Sniper,,Canada,34,87,89,85,87,86,78,83,66,80,82,85,81,87,86,85,88,86,83,82,88,88,86,90,87,90,80,,83,81,70,87,2013,Site,,,,,,,,,,,,3.5,EXACT
12,Jesperi Kotkaniemi,C,82,83,LOW,,,Finland,26,86,86,85,86,86,80,85,70,81,83,84,83,86,82,85,86,85,85,84,86,87,86,88,86,87,82,,84,84,72,86,2012,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,LOW
13,Jordan Martinook,L,48,83,MED,,,Canada,34,86,86,85,86,86,80,85,70,81,83,84,83,86,82,85,86,85,85,84,86,87,86,88,86,87,82,,84,84,72,86,2012,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
