Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Sebastian Aho,C,"$9,750,000",6,UFA
Nikolaj Ehlers,LW,"$8,500,000",5,UFA
Andrei Svechnikov,"LW,RW","$7,750,000",3,UFA
Seth Jarvis,"RW,LW","$7,420,087",6,UFA
Logan Stankoven,"C,RW","$6,000,000",8,UFA
Jackson Blake,RW,"$5,117,002",8,UFA
Jesperi Kotkaniemi,"C,LW","$4,820,000",4,UFA
Taylor Hall,LW,"$3,166,667",2,UFA
Jordan Martinook,"LW,RW","$3,125,000",1,UFA
Jordan Staal,C,"$2,975,000",1,UFA
William Carrier,"LW,RW","$2,150,000",4,UFA
Mark Jankowski,C,"$1,850,000",2,UFA
Eric Robinson,"LW,RW","$1,700,000",3,UFA
Nicolas Deslauriers,LW,"$875,000",2,UFA
K'Andre Miller,LD,"$7,500,000",7,UFA
Jaccob Slavin,LD,"$6,396,062",7,UFA
Sean Walker,"RD,LD","$3,625,000",3,UFA
Shayne Gostisbehere,LD,"$3,200,000",1,UFA
Jalen Chatfield,RD,"$3,075,000",1,UFA
Joel Nystrom,RD,"$1,225,000",4,UFA
Pierre-Olivier Joseph,"LD,RD","$850,000",1,UFA
Alexander Nikishin,"LD,RD",,3,Unsigned RFA/UFA
Pyotr Kochetkov,G,"$2,000,000",1,UFA
Brandon Bussi,G,"$1,900,000",3,UFA
Ivan Ryabkin,C,"$952,222",3,RFA
Gleb Trikozov,LW,"$937,500",1,RFA
Bradly Nadeau,"W,C","$918,333",1,RFA
Charlie Cerrato,F,"$915,000",2,RFA
Felix Unger Sörum,RW,"$903,334",2,RFA
Viktor Neuchev,"LW,RW","$850,000",1,RFA
Juha Jaaska,"LW,RW","$850,000",1,UFA
Noel Gunler,RW,,3,Unsigned RFA/UFA
Justin Robidas,C,,4,Unsigned RFA/UFA
William Håkansson,,"$996,000",3,RFA
Noel Fransén,D,"$990,000",3,RFA
Dominik Badinka,D,"$931,350",3,RFA
Charles-Alexis Legault,RD,"$915,833",1,RFA
Juuso Valimaki,LD,"$900,000",1,UFA
Bryce Montgomery,D,"$854,910",1,RFA then UFA
Ronan Seeley,D,"$850,000",1,RFA then UFA
Aleksi Heimosalmi,D,"$850,000",1,RFA then UFA
Ruslan Khazheyev,G,"$920,000",1,RFA
Zachary Sawchenko,G,"$850,000",1,UFA
Cayden Primeau,G,,1,Unsigned RFA/UFA
