Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Connor Bedard,C,98,88,MED,Sniper,X-Factor,Canada,21,90,92,86,91,90,79,82,72,80,80,86,82,91,86,88,91,90,85,84,88,91,88,89,91,94,80,,80,90,65,84,2051,Site,,,,,,,,,,,,5,HIGH
2,Bowen Byram,D,24,85,MED,2 Way D-Man,X-Factor,Canada,25,87,88,84,86,88,77,86,55,82,84,85,81,89,84,89,91,88,89,85,90,87,87,88,86,88,82,,84,87,70,87,2027,Site,,,,,,,,,,,,4,HIGH
3,Alex Vlasic,D,72,84,MED,Defensive D-man,,United States,25,85,84,84,84,87,80,89,55,85,90,84,88,84,80,87,87,85,87,87,87,87,84,90,84,90,83,,82,87,75,86,2021,Site,,,,,,,,,,,,4,MED
4,Matt Grzelcyk,D,48,84,MED,,,United States,32,84,85,83,85,85,78,88,55,84,85,84,83,86,84,85,86,84,87,83,86,87,85,89,85,88,83,,85,84,76,88,2009,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
5,Ryan Donato,C,8,84,MED,2 Way Forward,,United States,30,84,84,84,84,85,80,87,71,79,83,84,81,88,83,85,87,85,87,80,86,87,87,87,88,87,81,,86,84,70,84,2007,Site,,,,,,,,,,,,3.5,EXACT
6,Teuvo Teravainen,C,86,84,MED,Playmaker,X-Factor,Finland,31,86,85,83,89,85,80,87,68,81,85,87,88,88,85,82,82,83,82,83,82,88,90,88,86,87,78,,81,86,60,83,1997,Site,,,,,,,,,,,,3.5,EXACT
7,Spencer Knight,G,30,83,MED,Hybrid,,United States,25,,,,86,,,,,,,,,,,,,87,,85,87,,,,,,,,,85,,,1338,Goalie: site OVR + estimated attribute profile,81,82,84,85,81,84,82,82,77,84,86,4.5,HIGH
8,Andrew Mangiapane,L,26,82,MED,,,Canada,30,85,85,85,85,85,81,85,73,82,85,84,82,86,83,84,84,85,85,83,84,86,86,87,86,87,81,,84,83,71,85,2006,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
9,Arvid Soderblom,G,40,82,MED,Hybrid,,Sweden,26,,,,83,,,,,,,,,,,,,86,,83,86,,,,,,,,,83,,,1327,Goalie: site OVR + estimated attribute profile,85,83,77,85,80,83,81,80,80,89,83,3.5,MED
10,Frank Nazar,C,91,82,MED,Sniper,X-Factor,United States,22,85,85,84,84,85,83,86,72,84,88,84,82,87,82,85,89,85,83,79,88,86,85,86,84,88,77,,82,80,65,80,1993,Site,,,,,,,,,,,,4.5,HIGH
11,Ian Cole,D,,82,HIGH,,,United States,37,83,83,82,83,84,78,87,55,84,84,83,82,84,82,84,84,83,87,81,84,85,83,88,83,87,84,,85,83,78,88,1984,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
