Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Connor Bedard,C,"$15,000,000",5,UFA
Patrick Kane,RW,"$8,000,000",2,UFA
Frank Nazar,"C,RW","$6,599,991",7,UFA
Tyler Bertuzzi,"LW,RW","$5,500,000",2,UFA
Teuvo Teravainen,LW,"$5,400,000",1,UFA
Ryan Donato,"LW,C","$4,000,000",3,UFA
Jordan Greenway,"LW,RW","$4,000,000",1,UFA
Andrew Mangiapane,"LW,RW","$3,600,000",1,UFA
Cole Smith,LW,"$3,000,000",3,UFA
Roman Kantserov,"RW,LW","$1,075,000",3,RFA
Anton Frondell,C,"$986,250",2,RFA
Sacha Boisvert,C,"$977,917",2,RFA
Ryan Greene,"C,LW","$950,000",1,RFA
Oliver Moore,"C,LW","$941,667",1,RFA
Landon Slaggert,"LW,RW","$900,000",1,RFA then UFA
Ryan Ellis,D,"$6,250,000",1,UFA
Bowen Byram,LD,"$12,500,000",7,UFA
Alex Vlasic,LD,"$4,600,000",4,UFA
Ian Cole,"LD,RD","$4,000,000",1,UFA
Wyatt Kaiser,LD,"$1,700,000",1,RFA then UFA
Kevin Korchinski,LD,"$1,325,000",2,RFA then UFA
Artyom Levshunov,RD,"$975,000",1,RFA
Sam Rinzel,RD,"$941,667",1,RFA
Spencer Knight,G,"$5,833,333",3,UFA
Arvid Soderblom,G,"$2,750,000",1,UFA
Jiri Felcman,C,"$996,667",3,RFA
Marek Vanacker,LW,"$941,667",3,RFA
AJ Spellacy,"RW,C","$932,500",3,RFA
Martin Misiak,W,"$928,333",1,RFA
Nick Lardis,"LW,RW","$925,000",2,RFA
Paul Ludwinski,"C,LW","$900,000",1,RFA
Samuel Savoie,"LW,C","$896,666",1,RFA
Gavin Hayes,"LW,RW","$865,000",1,RFA
Dominic Toninato,C,"$850,000",1,UFA
Connor Mylymok,,"$850,000",1,UFA
Dillon Boucher,,"$850,000",1,UFA
Connor Mackey,D,"$937,500",2,UFA
Taige Harding,D,"$930,000",1,RFA then UFA
Jake Furlong,D,"$891,666",1,RFA
Derrick Pouliot,D,"$850,000",1,UFA
Dylan Anhorn,D,"$850,000",1,UFA
Ethan Del Mastro,LD,,4,Unsigned RFA/UFA
Adam Gajan,G,"$1,050,000",2,RFA
Stanislav Berezhnoy,G,"$975,000",1,RFA then UFA
Drew Commesso,G,"$875,000",2,RFA then UFA
