Year,Round,Status,PickValue,TradeDetails
2027,1,Traded Away,14.49,Mar 5 2026 | Traded Away The Colorado Avalanche acquire Nicolas Roy from the Toronto Maple Leafs for a 2027 1st round pick and a 2026 5th round pick
2027,2,Acquired from Wild,5.71,"Jun 27 2025 The Columbus Blue Jackets acquired Charlie Coyle and Miles Wood from the Colorado Avalanche for Gavin Brindley, a 2025 3rd round pick (#77) and a 2027 2nd round pick"
2027,2,Traded Away,5.71,"Mar 6 2026 | Traded Away The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
2027,3,Acquired from Blue Jackets,2.05,"Jun 25 2026 The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
2027,3,Own,2.05,Dec 28 2024 The Colorado Avalanche acquired Juuso Parssinen and a 2026 7th round pick from the Nashville Predators for Ondrej Pavel and a 2027 3rd round pick
2027,4,Acquired from Flames,0.98,"Mar 6 2026 The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
2027,4,Own,0.98,
2027,5,Acquired from Sharks,0.54,"Dec 9 2024 The Colorado Avalanche acquired Mackenzie Blackwood, Givani Smith and a 2027 5th round pick from the San Jose Sharks for Alexandar Georgiev, Nikolai Kovalenko, a 2026 2nd round pick, and 2025 5th round pick"
2027,5,Traded Away,0.54,Mar 4 2026 | Traded Away The Colorado Avalanche acquire Nick Blankenburg from the Nashville Predators for a 2027 5th round pick.
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Traded Away,14.49,"Mar 6 2026 | Traded Away The Colorado Avalanche acquire Nazem Kadri (20% retained) and a 2027 4th round pick from the Calgary Flames for Victor Olofsson, Maxmilian Curran, a conditional 2028 1st round pick and a conditional 2027 2nd round pick."
2028,2,Traded Away,5.71,Feb 24 2026 | Traded Away The Pittsburgh Penguins acquired Samuel Girard and a 2028 2nd round pick from the Colorado Avalanche for Brett Kulak
2028,3,Own,2.05,"May 3 2025 The Colorado Avalanche acquired Brock Nelson and William Dufour from the New York Islanders for Calum Ritchie, Oliver Kylington, a conditional 2026 1st round pick, and a conditional 2028 3rd round pick."
2028,4,Own,0.98,
2028,5,Acquired from Blue Jackets,0.54,"Jun 25 2026 The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Traded Away,2.05,"Jun 24 2026 | Traded Away The Nashville Predators acquire Jack Drury, Chase Bradley and a 2029 3rd round pick from the Colorado Avalanche for Fyodor Svechkov and Zachary L'Heureux"
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
