Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Nathan MacKinnon,C,29,97,EXACT,Playmaker,X-Factor,Canada,30,94,95,88,96,95,83,88,80,80,82,92,84,97,94,94,98,91,93,90,96,92,92,90,94,92,84,,82,91,70,92,2150,Site,,,,,,,,,,,,5,EXACT
2,Cale Makar,D,8,95,EXACT,Offensive D-man,X-Factor,Canada,27,94,95,92,95,95,79,94,55,82,86,93,89,96,95,93,95,94,88,92,94,93,93,91,95,91,82,,84,90,65,87,2133,Site,,,,,,,,,,,,5,HIGH
3,Martin Necas,C,88,92,MED,Playmaker,X-Factor,Czechia,27,91,93,87,93,92,78,83,68,80,80,88,83,92,88,89,95,89,83,83,95,90,93,88,90,88,82,,83,88,70,85,2069,Site,,,,,,,,,,,,4.5,HIGH
4,Devon Toews,D,7,89,MED,2 Way D-Man,X-Factor,Canada,32,87,86,85,90,87,79,91,55,80,88,88,87,90,88,87,88,87,83,90,88,89,91,88,90,87,82,,82,90,70,85,2046,Site,,,,,,,,,,,,4,EXACT
5,Nazem Kadri,C,91,87,HIGH,2 Way Forward,X-Factor,Canada,35,91,93,88,90,91,83,87,82,80,81,87,81,92,88,89,90,90,85,89,89,90,90,88,93,88,84,,83,89,75,88,2090,Site,,,,,,,,,,,,3.5,EXACT
6,Brock Nelson,C,11,86,LOW,Power Forward,,United States,34,88,89,87,89,88,85,87,80,83,88,87,85,89,88,87,89,88,82,85,90,90,91,89,91,88,85,,82,89,80,89,2086,Site,,,,,,,,,,,,3.5,EXACT
7,Mackenzie Blackwood,G,39,86,MED,Hybrid,X-Factor,Canada,29,,,,80,,,,,,,,,,,,,87,,89,93,,,,,,,,,89,,,1388,Goalie: site OVR + estimated attribute profile,81,82,83,90,86,86,87,90,88,89,88,4,HIGH
8,Artturi Lehkonen,L,62,85,MED,,,Finland,31,87,87,86,88,87,81,86,73,82,84,85,83,88,85,86,87,86,86,85,86,88,88,88,88,88,81,,84,84,71,86,2036,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
9,Brent Burns,D,84,85,MED,2 Way D-Man,Seeing Eye,Canada,41,86,83,83,90,89,79,86,55,87,88,85,80,90,85,87,85,85,91,87,85,87,82,92,83,92,87,,90,85,80,91,2044,Site,,,,,,,,,,,,3.5,EXACT
10,Gabriel Landeskog,L,92,85,MED,Power Forward,X-Factor,Sweden,33,87,87,87,87,87,84,85,79,85,86,85,80,85,90,87,85,85,90,88,85,87,87,87,87,87,82,,89,70,80,89,2047,Site,,,,,,,,,,,,3.5,EXACT
