Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Nathan MacKinnon,C,"$12,604,000",5,UFA
Martin Necas,"C,RW","$11,500,000",8,UFA
Brock Nelson,C,"$7,500,000",2,UFA
Gabriel Landeskog,"LW,RW","$7,000,000",3,UFA
Nazem Kadri,"C,LW","$5,600,000",3,UFA
Artturi Lehkonen,"LW,RW","$4,500,000",1,UFA
Jaden Schwartz,LW,"$3,250,000",3,UFA
Nicolas Roy,"C,RW","$3,000,000",1,UFA
Logan O'Connor,RW,"$2,500,000",5,UFA
Parker Kelly,"C,LW","$1,700,000",4,UFA
Fyodor Svechkov,"C,LW","$1,250,000",2,RFA then UFA
Zachary L'Heureux,"LW,RW","$875,000",2,RFA then UFA
Gavin Brindley,RW,"$875,000",2,RFA
Cale Makar,RD,"$20,400,000",9,UFA
Devon Toews,LD,"$7,250,000",5,UFA
Sam Malinski,"LD,RD","$4,750,000",4,UFA
Brett Kulak,LD,"$4,500,000",5,UFA
Josh Manson,"RD,LD","$3,950,000",2,UFA
Noah Juulsen,RD,"$1,100,000",2,UFA
Brent Burns,RD,"$850,000",1,UFA
MacKenzie Blackwood,G,"$5,250,000",4,UFA
Scott Wedgewood,G,"$2,500,000",1,UFA
Matthew DiMarsico,,"$980,000",2,RFA
T.J. Hughes,,"$952,500",1,RFA then UFA
Cooper Gay,RW,"$947,500",1,RFA then UFA
Nikita Prishchepov,"C,LW","$881,667",1,RFA
Vinnie Hinostroza,"RW,LW","$875,000",2,UFA
Adam Beckman,"LW,C","$875,000",2,UFA
Taylor Makar,"LW,C","$875,000",2,UFA
Fabian Lysell,"RW,LW","$850,000",1,RFA then UFA
Georgii Merkulov,C,"$850,000",1,UFA-Group6 then UFA
Tristen Nielsen,"LW,C","$850,000",1,UFA
Sampo Ranta,"LW,RW",,1,Unsigned RFA/UFA
Zakhar Bardakov,"C,LW",,2,Unsigned RFA/UFA
Gustav Stjernberg,,"$980,000",2,RFA then UFA
Sean Behrens,D,"$923,333",1,RFA then UFA
Alex Gagne,D,"$910,000",1,RFA then UFA
Saige Weinstein,D,"$883,334",2,RFA
Christian Wolanin,D,"$850,000",1,UFA
Keaton Middleton,LD,"$850,000",1,UFA
Domenick Fensore,LD,"$850,000",1,UFA-Group6 then UFA
Wyatt Aamodt,LD,"$850,000",1,UFA
Sergei Boikov,D,,0,Unsigned RFA
Nikita Novosyolov,G,"$980,000",2,RFA
Ilya Nabokov,G,"$975,000",1,RFA then UFA
Trent Miner,G,"$850,000",1,UFA-Group6 then UFA
