Year,Round,Status,PickValue,TradeDetails
2027,1,Own,31.29,
2027,2,Traded Away,5.71,Dec 19 2025 | Traded Away The Columbus Blue Jackets acquired Mason Marchment from the Seattle Kraken for a 2027 2nd round pick and a 2026 4th round pick
2027,3,Traded Away,2.05,"Jun 25 2026 | Traded Away The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
2027,3,Acquired from Capitals,2.05,"Dec 29 2025 The Pittsburgh Penguins acquired Yegor Chinakhov from the Columbus Blue Jackets for Danton Heinen, a 2026 2nd round pick and a 2027 3rd round pick"
2027,3,Acquired from Bruins,2.05,Mar 8 2024 The Boston Bruins acquired Andrew Peeke from the Columbus Blue Jackets for a 2027 3rd round pick and Jakub Zboril
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,31.29,
2028,2,Traded Away,5.71,Mar 5 2026 | Traded Away The Columbus Blue Jackets acquire Conor Garland from the Vancouver Canucks for a 2028 2nd round pick and a 2026 3rd round pick.
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Acquired from Sharks,0.54,"Jun 27 2026 The Washington Capitals acquire a 2026 4th round pick (TOR, #101) from the Columbus Blue Jackets for a 2026 4th round pick (#112) and a 2028 5th round pick (SJS)"
2028,5,Traded Away,0.54,"Jun 25 2026 | Traded Away The Columbus Blue Jackets acquire Valeri Nichushkin from the Colorado Avalanche for a 2026 2nd round pick (STL, #43), a 2027 3rd round pick and a 2028 5th round pick"
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,31.29,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
