Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Valeri Nichushkin,"RW,LW","$6,125,000",4,UFA
Charlie Coyle,"C,RW","$6,000,000",6,UFA
Conor Garland,"RW,LW","$6,000,000",6,UFA
Sean Monahan,C,"$5,500,000",3,UFA
Cole Sillinger,"C,LW","$4,625,000",3,UFA
Dmitri Voronkov,"C,LW","$4,175,000",1,RFA then UFA
Kirill Marchenko,"RW,LW","$3,850,000",1,RFA then UFA
Mathieu Olivier,"RW,LW","$3,000,000",5,UFA
Miles Wood,LW,"$2,500,000",3,UFA
Kent Johnson,"LW,RW","$1,800,000",1,RFA then UFA
Ryan Lomberg,LW,"$1,300,000",2,UFA
Isac Lundestrom,"C,LW","$1,300,000",1,UFA
Danton Heinen,"LW,C","$1,000,000",1,UFA
Luca Del Bel Belluz,"C,LW","$859,999",1,RFA
Adam Fantilli,C,,4,Unsigned RFA/UFA
Zach Werenski,LD,"$9,583,334",2,UFA
Ivan Provorov,"LD,RD","$8,500,000",6,UFA
Damon Severson,"LD,RD","$6,250,000",5,UFA
Dante Fabbro,"RD,LD","$4,125,000",3,UFA
Erik Gudbranson,RD,"$1,750,000",1,UFA
Jake Christiansen,LD,"$975,000",1,UFA
Denton Mateychuk,"LD,RD","$886,666",1,RFA
Elvis Merzlikins,G,"$5,400,000",1,UFA
Jet Greaves,G,"$5,000,000",3,UFA
Pheonix Copley,G,"$850,000",1,UFA
Oiva Keskinen,C,"$960,000",2,RFA
Joshua Eernisse,,"$952,500",1,RFA then UFA
Riley Bezeau,,"$940,000",1,RFA then UFA
Luca Pinelli,C,"$934,166",2,RFA
Max McCue,C,"$933,333",1,RFA then UFA
Luke Tuch,LW,"$875,000",2,RFA then UFA
Mikael Pyyhtia,"LW,RW","$875,000",2,RFA then UFA
Jack Williams,"RW,C","$875,000",2,RFA then UFA
Jordan Dumais,RW,"$859,999",1,RFA
James Malatesta,"LW,C","$850,000",1,RFA then UFA
Owen Sillinger,"C,LW","$850,000",1,UFA
Boston Buckberger,,"$1,050,000",2,RFA then UFA
Charlie Elick,D,"$965,000",3,RFA
Guillaume Richard,D,"$942,500",1,RFA then UFA
Luca Marrelli,D,"$931,944",3,RFA
Caleb MacDonald,D,"$922,500",1,RFA then UFA
Colton White,LD,"$875,000",2,UFA
Corson Ceulemans,D,"$850,000",1,RFA then UFA
Tim Berni,"LD,RD",,1,Unsigned RFA/UFA
Sergei Ivanov,G,"$970,000",2,RFA
Evan Gardner,G,"$963,889",3,RFA
Nolan Lalonde,G,"$860,556",1,RFA
