Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Acquired from Predators,5.71,Jul 1 2026 The Nashville Predators acquire Mavrik Bourque and Ilya Lyubushkin from the Dallas Stars for a 2027 2nd round pick and a 2028 3rd round pick (VGK)
2027,2,Traded Away,5.71,Mar 4 2026 | Traded Away The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
2027,3,Traded Away,2.05,"Mar 7 2025 | Traded Away The Dallas Stars acquired Mikko Rantanen from the Carolina Hurricanes for Logan Stankoven, a conditional 2026 1st round pick, a conditional 2028 1st round pick, a 2026 3rd round pick, a 2027 3rd round pick"
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Traded Away,14.49,"Mar 7 2025 | Traded Away The Dallas Stars acquired Mikko Rantanen from the Carolina Hurricanes for Logan Stankoven, a conditional 2026 1st round pick, a conditional 2028 1st round pick, a 2026 3rd round pick, a 2027 3rd round pick"
2028,2,Traded Away,5.71,Jul 10 2025 | Traded Away The Pittsburgh Penguins acquired Matt Dumba and a 2028 2nd round pick from the Dallas Stars for Vladislav Kolyachonok
2028,3,Own,2.05,
2028,3,Acquired from Golden Knights,2.05,Jul 1 2026 The Nashville Predators acquire Mavrik Bourque and Ilya Lyubushkin from the Dallas Stars for a 2027 2nd round pick and a 2028 3rd round pick (VGK)
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Traded Away,0.98,Mar 4 2026 | Traded Away The Dallas Stars acquire Tyler Myers (50% retained) from the Vancouver Canucks for a 2027 2nd round pick and a 2029 4th round pick.
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
