Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Mikko Rantanen,RW,"$12,000,000",7,UFA
Jason Robertson,"LW,RW","$12,000,000",1,UFA
Tyler Seguin,"C,RW","$9,850,000",1,UFA
Roope Hintz,"C,LW","$8,450,000",5,UFA
Wyatt Johnston,"C,RW","$8,400,000",4,UFA
Matt Duchene,"C,RW","$4,500,000",3,UFA
Sam Steel,"C,LW","$2,100,000",1,UFA
Radek Faksa,"C,LW","$2,000,000",2,UFA
Joel Kiviranta,"LW,RW","$1,000,000",1,UFA
Justin Hryckowian,"C,LW","$950,000",2,UFA
Arttu Hyry,"RW,C","$875,000",2,UFA
Jamie Benn,"LW,C","$850,000",1,UFA
Colin Blackwell,RW,"$850,000",1,UFA
Oskar Back,"C,LW","$825,000",1,UFA
Thomas Harley,LD,"$10,587,000",8,UFA
Miro Heiskanen,"LD,RD","$8,450,000",3,UFA
Esa Lindell,LD,"$5,250,000",4,UFA
Nils Lundkvist,RD,"$1,750,000",2,UFA
Tyler Myers,RD,"$1,500,000",1,UFA
Lian Bichsel,LD,"$918,333",1,RFA
Kyle Capobianco,LD,"$875,000",2,UFA
Jake Oettinger,G,"$8,250,000",7,UFA
Casey DeSmith,G,"$1,050,000",1,UFA
Dylan Hryckowian,,"$1,013,750",2,RFA
Artem Shlaine,C,"$952,500",1,RFA then UFA
Christian Fitzgerald,,"$952,500",1,RFA then UFA
Angus MacDonell,C,"$950,000",2,RFA
Jaxon Fuder,,"$950,000",3,RFA
Ayrton Martino,LW,"$942,500",1,RFA then UFA
Justin Ertel,"LW,RW","$942,500",1,RFA then UFA
Emil Hemming,RW,"$941,667",3,RFA
Matthew Seminoff,"RW,C","$875,000",2,RFA
Harrison Scott,F,"$875,000",2,UFA
Cameron Hughes,"C,LW","$850,000",1,UFA
Aram Minnetian,D,"$1,075,000",3,RFA
Jack Anderson,,"$1,050,000",2,RFA then UFA
Trey Taylor,D,"$975,000",1,RFA then UFA
Niilopekka Muhonen,D,"$950,000",3,RFA
Connor Punnett,D,"$945,000",1,RFA then UFA
Tristan Bertucci,D,"$934,166",2,RFA
Luke Krys,D,"$875,000",2,UFA
Kyle Burroughs,D,"$850,000",1,UFA
Arno Tiefensee,G,"$925,000",1,RFA then UFA
Brandon Halverson,G,"$850,000",1,UFA
Remi Poirier,G,"$850,000",1,UFA-Group6 then UFA
