Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Dylan Larkin,C,71,89,MED,Playmaker,X-Factor,United States,30,91,92,88,91,92,85,88,85,81,87,86,82,88,89,89,92,90,85,90,90,89,88,89,91,89,82,,82,89,70,86,2094,Site,,,,,,,,,,,,4.5,EXACT
2,Lucas Raymond,L,23,89,MED,Playmaker,X-Factor,Sweden,24,91,91,88,92,91,78,85,63,81,81,88,86,92,87,89,90,89,87,88,89,90,91,88,91,89,82,,82,89,75,83,2068,Site,,,,,,,,,,,,4.5,MED
3,Alex DeBrincat,R,93,88,MED,Sniper,X-Factor,United States,28,88,89,86,90,88,78,83,66,80,81,87,84,91,87,87,90,88,83,84,88,90,92,88,92,89,81,,82,88,67,85,2041,Site,,,,,,,,,,,,4.5,MED
4,Moritz Seider,D,53,88,MED,2 Way D-Man,X-Factor,Germany,25,88,89,86,87,90,80,89,55,91,84,85,82,89,85,87,89,87,84,89,87,91,89,93,92,91,87,,92,91,75,90,2076,Site,,,,,,,,,,,,4.5,HIGH
5,Patrick Kane,R,88,86,MED,Playmaker,X-Factor,United States,37,90,91,85,91,94,75,80,63,79,77,87,86,88,86,85,89,86,82,82,87,88,87,88,91,87,78,,80,85,65,80,2009,Site,,,,,,,,,,,,4,EXACT
6,Cam Talbot,G,39,85,LOW,Hybrid,,Canada,39,,,,84,,,,,,,,,,,,,86,,88,87,,,,,,,,,88,,,1378,Goalie: site OVR + estimated attribute profile,87,85,88,87,80,80,89,91,88,85,85,4,EXACT
7,Justin Faulk,D,72,85,MED,Offensive D-man,,United States,34,88,89,85,90,88,77,87,55,83,82,86,83,88,86,86,88,86,86,82,87,88,87,91,85,90,83,,84,87,75,87,2031,Site,,,,,,,,,,,,4,EXACT
8,David Perron,L,57,84,MED,2 Way Forward,,Canada,38,86,85,85,86,86,80,86,65,80,88,85,80,86,90,86,85,85,88,85,85,87,85,88,85,88,81,,85,75,75,88,2014,Site,,,,,,,,,,,,3.5,EXACT
9,John Gibson,G,36,84,MED,Hybrid,,United States,33,,,,84,,,,,,,,,,,,,84,,85,83,,,,,,,,,85,,,1337,Goalie: site OVR + estimated attribute profile,81,80,83,81,86,80,80,83,87,86,89,4.5,EXACT
10,Andrew Copp,C,18,83,MED,,,United States,32,86,86,85,86,86,81,85,73,82,84,84,83,87,83,85,85,85,85,84,85,87,86,88,86,88,81,,84,83,71,86,2016,Interpolated (estimated from OVR),,,,,,,,,,,,4,EXACT
11,J.T. Compher,L,37,83,MED,,,United States,31,86,86,85,86,86,81,85,73,82,84,84,83,87,83,85,85,85,85,84,85,87,86,88,86,88,81,,84,83,71,86,2016,Interpolated (estimated from OVR),,,,,,,,,,,,4,EXACT
12,Marco Kasper,C,92,83,MED,2 Way Forward,,Austria,22,84,84,82,85,84,82,85,74,86,82,84,82,88,83,84,85,83,85,81,86,87,86,87,88,86,81,,88,84,68,85,2007,Site,,,,,,,,,,,,4.5,MED
13,Simon Edvinsson,D,77,83,MED,2 Way D-Man,,Sweden,23,85,85,83,84,86,78,86,55,85,86,83,80,85,83,85,86,86,90,80,84,85,84,86,85,85,81,,85,83,72,85,1989,Site,,,,,,,,,,,,4.5,MED
14,Viktor Arvidsson,L,,83,MED,Sniper,,Sweden,33,88,89,89,86,87,78,82,65,80,85,84,84,87,80,87,89,89,84,85,89,88,87,88,86,89,75,,80,70,65,84,1999,Site,,,,,,,,,,,,4,EXACT
15,Jacob Bernard-Docker,D,25,82,LOW,,,Canada,26,83,83,82,83,84,78,87,55,84,84,83,82,84,82,84,84,83,87,81,84,85,83,88,83,87,84,,85,83,78,88,1984,Interpolated (estimated from OVR),,,,,,,,,,,,4,LOW
16,Mason Appleton,C,22,82,MED,,,United States,30,85,85,85,85,85,81,85,73,82,85,84,82,86,83,84,84,85,85,83,84,86,86,87,86,87,81,,84,83,71,85,2006,Interpolated (estimated from OVR),,,,,,,,,,,,4,EXACT
17,Michael Rasmussen,C,27,82,MED,,,Canada,27,85,85,85,85,85,81,85,73,82,85,84,82,86,83,84,84,85,85,83,84,86,86,87,86,87,81,,84,83,71,85,2006,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,LOW
18,Emmitt Finnie,C,58,81,MED,,,Canada,21,84,84,84,85,85,81,85,73,82,85,83,82,85,82,84,84,84,84,83,84,86,85,87,85,87,81,,85,82,71,85,1998,Interpolated (estimated from OVR),,,,,,,,,,,,4,MED
19,James van Riemsdyk,L,21,81,HIGH,,,United States,37,84,84,84,85,85,81,85,73,82,85,83,82,85,82,84,84,84,84,83,84,86,85,87,85,87,81,,85,82,71,85,1998,Interpolated (estimated from OVR),,,,,,,,,,,,4,EXACT
20,Ben Chiarot,D,8,80,MED,,,Canada,35,82,82,80,82,83,77,86,55,85,83,81,81,82,80,83,82,81,87,80,83,84,82,87,82,87,84,,86,82,79,88,1965,Interpolated (estimated from OVR),,,,,,,,,,,,4,EXACT
21,Keegan Kolesar,R,,80,MED,,,Canada,29,84,84,84,84,84,81,85,73,82,85,83,82,85,81,83,83,83,84,83,83,86,85,87,85,87,80,,85,81,71,85,1991,Interpolated (estimated from OVR),,,,,,,,,,,,4,LOW
22,Daniil Tarasov,G,,79,MED,Hybrid,,Russia,27,,,,82,,,,,,,,,,,,,85,,79,85,,,,,,,,,79,,,1273,Goalie: site OVR + estimated attribute profile,83,78,81,81,79,74,81,80,75,76,75,4,MED
23,Jacob Bryson,D,,79,MED,,,Canada,28,81,81,79,81,82,77,85,55,85,83,81,81,81,80,82,82,80,87,79,82,84,81,87,81,87,84,,86,82,80,88,1955,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,LOW
24,Travis Hamonic,D,52,78,MED,,,Canada,35,80,80,79,80,81,77,84,55,85,83,80,80,80,79,82,81,80,88,78,82,84,80,87,80,87,84,,86,82,81,89,1947,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
25,Albert Johansson,D,20,76,LOW,,,Sweden,25,78,78,77,78,80,76,83,55,85,82,78,79,78,77,80,79,78,88,76,80,82,79,86,78,86,85,,87,81,82,89,1921,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,HIGH
26,Austin Watson,L,24,75,EXACT,,,,34,81,80,82,80,81,82,85,73,82,86,80,81,81,77,81,80,81,82,81,80,84,82,85,82,85,80,,85,78,71,84,1944,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
27,Ronnie Attard,D,,75,MED,,,,27,78,78,77,77,79,76,83,55,85,82,77,79,77,76,80,79,77,88,75,80,82,78,86,78,86,85,,87,80,83,89,1914,Interpolated (estimated from OVR),,,,,,,,,,,,4,LOW
28,Carter Mazur,L,34,74,MED,,,United States,24,80,79,82,80,80,82,85,73,82,86,79,81,80,77,80,79,80,82,80,80,83,82,85,81,85,80,,86,78,71,84,1938,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
29,Nate Danielson,C,,74,MED,,,,21,80,79,82,80,80,82,85,73,82,86,79,81,80,77,80,79,80,82,80,80,83,82,85,81,85,80,,86,78,71,84,1938,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,MED
30,Eduards Tralmaks,R,14,69,EXACT,,,,29,79,79,80,79,79,82,84,74,82,88,78,80,79,75,78,77,78,80,78,77,81,79,84,79,83,78,,86,74,71,83,1908,Interpolated (estimated from OVR),,,,,,,,,,,,3,HIGH
31,Cameron Butler,R,,68,MED,,,,24,79,79,80,79,79,82,84,74,82,88,78,79,79,75,78,77,77,79,78,77,81,79,83,79,83,78,,87,74,71,82,1904,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
32,Michal Postava,G,35,75,MED,,,,24,,,,69,,,,,,,,,,,,,76,,82,69,,,,,,,,,78,,,1186,Goalie: site OVR + estimated attribute profile,72,70,76,73,73,72,77,78,71,79,71,4.5,LOW
