Player,Position,RosterStatus,AAV,RemainingYears,ContractStatusAtExpiry
Dylan Larkin,C,Active,"$8,700,000",5,UFA
Lucas Raymond,RW,Active,"$8,075,000",6,UFA
Alex DeBrincat,"LW,RW",Active,"$7,875,000",1,UFA
Andrew Copp,"C,LW",Active,"$5,625,000",1,UFA
J.T. Compher,"C,RW",Active,"$5,100,000",2,UFA
Viktor Arvidsson,"LW,RW",Active,"$5,000,000",2,UFA
Michael Rasmussen,C,Active,"$3,200,000",2,UFA
Mason Appleton,RW,Active,"$2,900,000",1,UFA
Keegan Kolesar,RW,Active,"$2,500,000",2,UFA
Michael Brandsegg-Nygard,"RW,LW",Active,"$953,750",2,RFA
Emmitt Finnie,"C,LW",Active,"$921,667",2,RFA
Marco Kasper,C,Active,"$886,666",1,RFA
Carter Mazur,LW,Active,"$875,000",2,RFA then UFA
Moritz Seider,RD,Active,"$8,550,000",5,UFA
Justin Faulk,RD,Active,"$6,500,000",1,UFA
Ben Chiarot,LD,Active,"$3,850,000",3,UFA
Jacob Bernard-Docker,RD,Active,"$1,600,000",2,UFA
Albert Johansson,"LD,RD",Active,"$1,125,000",1,RFA then UFA
Axel Sandin Pellikka,RD,Active,"$940,833",2,RFA
Jacob Bryson,"LD,RD",Active,"$850,000",1,UFA
Simon Edvinsson,LD,Active,,4,Unsigned RFA - no contract
John Gibson,G,Active,"$6,400,000",1,UFA
Daniil Tarasov,G,Active,"$2,000,000",1,UFA
Dylan James,LW,Non-Roster,"$1,050,000",2,RFA
Theo Rochette,C,Non-Roster,"$1,025,000",1,RFA then UFA
Eddie Genborg,LW,Non-Roster,"$997,500",3,RFA
Noah Dower Nilsson,"C,RW",Non-Roster,"$990,000",3,RFA
Carter Bear,"C,LW",Non-Roster,"$974,167",3,RFA
Jesse Kiiskinen,RW,Non-Roster,"$945,833",2,RFA
Ondrej Becher,"C,W",Non-Roster,"$940,000",1,RFA
Nate Danielson,C,Non-Roster,"$909,166",2,RFA
Sheldon Dries,"C,W",Non-Roster,"$875,000",2,UFA
Dominik Shine,"C,RW",Non-Roster,"$875,000",2,UFA
John Leonard,"LW,RW",Non-Roster,"$850,000",1,UFA
Chase Stillman,"RW,LW",Non-Roster,"$850,000",1,RFA then UFA
Cameron Butler,RW,Non-Roster,"$850,000",1,UFA-Group6 then UFA
Wilmer Skoog,"C,LW",Non-Roster,"$850,000",1,UFA
Anton Johansson,D,Non-Roster,"$970,000",2,RFA
Shai Buium,D,Non-Roster,"$942,500",1,RFA then UFA
William Wallinder,D,Non-Roster,"$875,000",2,RFA then UFA
William Lagesson,LD,Non-Roster,"$850,000",1,UFA
Ronald Attard,D,Non-Roster,"$850,000",1,UFA
Eemil Viro,D,Non-Roster,,3,Unsigned RFA - no contract
Trey Augustine,G,Non-Roster,"$1,075,000",3,RFA
Michal Postava,G,Non-Roster,"$975,000",1,RFA then UFA
Carter Gylander,G,Non-Roster,"$850,000",1,RFA then UFA
