Year,Round,Status,PickValue,TradeDetails
2027,1,Traded Away,14.49,Mar 4 2026 | Traded Away The Edmonton Oilers acquire Jason Dickinson (50% retained) and Colton Dach from the Chicago Blackhawks for Andrew Mangiapane and a conditional 2027 1st round pick.
2027,2,Own,5.71,
2027,3,Traded Away,2.05,Dec 12 2025 | Traded Away The Edmonton Oilers acquired Spencer Stastney from the Nashville Predators for a 2027 3rd round pick
2027,4,Traded Away,0.98,Mar 7 2024 | Traded Away The Edmonton Oilers acquired Troy Stecher and a 2024 7th round pick from the Arizona Coyotes for a 2027 4th round pick
2027,5,Own,0.54,
2027,5,Acquired from Bruins,0.54,Jul 1 2025 The Boston Bruins acquired Viktor Arvidsson from the Edmonton Oilers for a 2027 5th round pick
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,14.49,
2028,2,Traded Away,5.71,Mar 2 2026 | Traded Away The Edmonton Oilers acquire Connor Murphy (50% retained) from the Chicago Blackhawks for a 2028 2nd round pick.
2028,3,Acquired from Blues,2.05,Aug 20 2024 The Edmonton Oilers acquired Paul Fischer and a 2028 3rd round pick from the St. Louis Blues for future considerations
2028,3,Traded Away,2.05,Jul 1 2026 | Traded Away The Edmonton Oilers acquire Devon Levi and a 2028 7th round pick from the Buffalo Sabres for a 2028 3rd round pick
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2028,7,Acquired from Sabres,0.14,Jul 1 2026 The Edmonton Oilers acquire Devon Levi and a 2028 7th round pick from the Buffalo Sabres for a 2028 3rd round pick
2029,1,Own,14.49,
2029,2,Traded Away,5.71,"Dec 12 2025 | Traded Away The Edmonton Oilers acquired Tristan Jarry and Samuel Poulin from the Pittsburgh Penguins for Stuart Skinner, Brett Kulak, and a 2029 2nd round pick"
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
