Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Connor McDavid,C,97,98,Exact,Playmaker,X-Factor,Canada,29,96,97,93,98,97,85,90,82,80,87,92,83,98,95,94,97,96,93,88,98,92,89,91,95,92,82,,84,89,65,90,2167
2,Leon Draisaitl,C,29,96,Exact,Sniper,X-Factor,Germany,30,94,94,90,94,96,84,89,84,80,84,90,82,97,92,92,93,92,95,89,92,94,94,92,94,94,85,,84,90,70,94,2155
3,Evan Bouchard,D,2,88,High,Offensive D-man,X-Factor,Canada,26,91,90,88,93,91,77,84,55,80,89,89,84,90,92,88,91,90,84,85,89,93,94,95,90,92,82,,82,90,70,87,2075
4,Frederik Andersen,G,,87,Med,Hybrid,,Denmark,36,22,,,88,,,,,,,30,,,91,51,,85,,82,86,,,,,,32,80,,82,,,594
5,Jake Walman,D,96,87,Med,2 Way D-Man,X-Factor,Canada,30,87,88,86,86,89,79,89,55,87,85,86,81,89,87,87,88,87,85,87,87,90,90,92,89,89,81,,82,84,70,88,2040
6,Mattias Ekholm,D,14,87,Med,Defensive D-man,X-Factor,Sweden,36,87,87,85,87,87,80,93,55,84,88,86,82,88,87,87,88,87,86,85,88,89,91,88,88,87,84,,83,85,80,89,2048
7,Zach Hyman,L,18,87,Med,Power Forward,X-Factor,Canada,34,87,84,94,85,86,77,86,63,80,79,86,81,92,86,88,87,87,92,86,88,89,88,89,90,90,83,,84,85,70,92,2044
8,Ryan Nugent-Hopkins,C,93,86,Med,Playmaker,X-Factor,Canada,33,88,88,85,90,88,83,88,74,83,85,86,84,90,85,85,84,85,83,88,84,87,85,87,89,87,81,,82,89,67,85,2035
9,Tristan Jarry,G,35,86,Med,Hybrid,,Canada,31,21,,,85,,,,,,,27,,,80,52,,87,,88,87,,,,,,34,88,,83,,,598
10,Connor Murphy,D,5,83,Med,Defensive D-man,,United States,33,81,81,80,81,82,79,88,55,88,84,81,80,82,80,82,82,81,84,81,81,85,84,87,82,87,84,,88,83,77,88,1966
11,Jason Dickinson,C,16,82,Med,2 Way Forward,,Canada,31,83,83,82,81,84,86,88,80,86,89,81,81,82,80,84,83,82,87,87,83,85,83,87,84,87,81,,86,82,70,87,2004
12,Trent Frederic,C,10,82,Med,Power Forward,,United States,28,83,83,82,82,84,80,84,70,84,82,81,81,83,79,82,82,83,86,79,82,86,85,87,84,87,87,,90,81,86,89,1995
13,Adam Henrique,C,19,81,Med,,,Canada,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Connor Ingram,G,39,81,Med,Hybrid,,Canada,,21,,,85,,,,,,,27,,,80,52,,88,,85,88,,,,,,34,87,,85,,,598
15,Kasperi Kapanen,R,42,81,High,,,Finland,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Mathieu Joseph,R,,81,Med,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Matt Savoie,C,22,81,Med,,,Canada,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Mattias Janmark,C,13,80,Med,,,Sweden,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Curtis Lazar,C,20,79,Low,,,Canada,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Max Jones,L,46,79,Med,,,United States,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Vasily Podkolzin,R,92,79,Med,,,Russia,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Colton Dach,C,34,78,Med,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Ty Emberson,D,49,78,Med,Playmaker,,United States,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Spencer Stastney,D,24,77,Med,2 Way D-Man,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Josh Samanski,C,81,76,Low,,,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Ryan Shea,D,,76,Med,,,United States,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Quinn Hutson,R,28,75,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Connor Ungar,G,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,David Tomasek,R,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Devon Levi,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Owen Michaels,C,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
