Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Leon Draisaitl,"C,LW","$14,000,000",7,UFA
Connor McDavid,C,"$12,500,000",2,UFA
Zach Hyman,"RW,LW","$5,500,000",2,UFA
Ryan Nugent-Hopkins,"C,LW","$5,125,000",3,UFA
Jason Dickinson,"C,LW","$4,000,000",5,UFA
Trent Frederic,"LW,RW","$3,850,000",7,UFA
Vasily Podkolzin,LW,"$2,950,000",3,UFA
Kasperi Kapanen,"RW,C","$2,600,000",1,UFA
Mattias Janmark,"C,LW","$1,450,000",1,UFA
Colton Dach,"C,LW","$1,200,000",2,RFA then UFA
Mathieu Joseph,"LW,RW","$1,000,000",1,UFA
Josh Samanski,"C,LW","$975,000",1,RFA then UFA
Isaac Howard,LW,"$972,500",2,RFA
Matthew Savoie,"RW,LW","$886,666",1,RFA
Evan Bouchard,RD,"$10,500,000",3,UFA
Jake Walman,"LD,RD","$7,000,000",7,UFA
Connor Murphy,RD,"$4,100,000",5,UFA
Mattias Ekholm,LD,"$4,000,000",3,UFA
Ryan Shea,LD,"$4,000,000",5,UFA
Shakir Mukhamadullin,"LD,RD","$1,750,000",2,RFA then UFA
Spencer Stastney,LD,"$1,525,000",1,UFA
Ty Emberson,"RD,LD","$1,300,000",1,UFA
Alec Regula,RD,"$850,000",1,UFA-Group6 then UFA
Tristan Jarry,G,"$5,375,000",2,UFA
Frederik Andersen,G,"$1,000,000",1,UFA
Devon Levi,G,"$812,500",1,RFA then UFA
William Nicholl,"C,LW","$985,000",3,RFA
Viljami Marjala,"C,LW","$947,500",1,RFA then UFA
James Stefan,"RW,LW","$945,000",1,RFA
Connor Clattenburg,LW,"$928,333",2,RFA
Owen Michaels,,"$900,000",2,RFA then UFA
Brady Stonehouse,"RW,LW","$896,667",1,RFA
Quinn Hutson,,"$875,000",2,RFA then UFA
Max Jones,"LW,RW","$850,000",1,UFA
Aku Raty,"RW,LW","$850,000",1,RFA then UFA
Eduards Tralmaks,"LW,RW","$850,000",1,UFA
Roby Jarventie,"LW,RW",,4,Unsigned RFA/UFA
Josh Brown,RD,"$1,000,000",1,UFA
Tomas Cibulka,,"$955,000",2,RFA
Damien Carfagna,D,"$937,500",1,RFA then UFA
Beau Akey,D,"$894,166",2,RFA
Riley Stillman,LD,"$850,000",1,UFA
Atro Leppänen,,"$850,000",1,UFA
Nathaniel Day,G,"$956,667",2,RFA
Samuel Jonsson,G,"$955,000",2,RFA
Matt Tomkins,G,"$850,000",1,UFA
Connor Ungar,G,"$850,000",1,RFA then UFA
