Year,Round,Status,PickValue,TradeDetails
2027,1,Traded Away,31.29,Mar 1 2025 | Traded Away The Florida Panthers acquired Seth Jones and a 2026 4th round pick from the Chicago Blackhawks for Spencer Knight and a 2026 conditional 1st round pick (top 10 protected)
2027,2,Acquired from Jets,5.71,"Jun 21 2026 The Seattle Kraken acquire Mackie Samoskevich from the Florida Panthers for a 2026 1st round pick (TBL, #25) and a conditional 2027 2nd round pick"
2027,2,Traded Away,5.71,"Jun 21 2026 | Traded Away The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
2027,3,Own,2.05,
2027,4,Traded Away,0.98,Jun 25 2026 | Traded Away The Florida Panthers acquire Garnet Hathaway (50% retained) and a 2026 6th round pick (#181) from the Philadelphia Flyers for a 2026 5th round pick (#136) and a 2027 4th round pick
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,6,Acquired from Capitals,0.29,Jun 26 2025 The Washington Capitals acquired Justin Sourdif from the Florida Panthers for 2026 2nd Round Pick & 2027 6th Round Pick
2027,7,Own,0.14,
2027,7,Acquired from Sharks,0.14,Mar 6 2025 The Florida Panthers acquired Nico Sturm and a 2027 7th round pick from the San Jose Sharks for a 2026 4th round pick
2028,1,Traded Away,31.29,Mar 7 2025 | Traded Away The Florida Panthers acquired Brad Marchand from the Boston Bruins for a conditional 2027 2nd round pick
2028,2,Own,5.71,
2028,3,Traded Away,2.05,Jun 29 2026 | Traded Away The Florida Panthers acquire Akira Schmid from the Vegas Golden Knights for a 2028 3rd round pick
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Traded Away,31.29,"Jun 21 2026 | Traded Away The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
