Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Aleksander Barkov,C,16,95,EXACT,2 Way Forward,X-Factor,Finland,30,93,92,91,95,93,89,96,82,86,93,92,86,96,94,89,88,89,93,89,86,90,88,90,92,90,85,,85,87,75,92,2148,Site,,,,,,,,,,,,5,EXACT
2,Matthew Tkachuk,L,19,92,EXACT,Power Forward,X-Factor,United States,28,94,93,95,94,92,83,93,65,86,89,90,80,96,95,88,86,86,92,88,87,91,90,91,93,91,88,,88,86,84,92,2132,Site,,,,,,,,,,,,5,HIGH
3,Sam Reinhart,C,13,92,EXACT,Sniper,X-Factor,Canada,30,92,91,90,94,93,84,89,73,86,86,92,87,96,92,88,88,89,90,89,86,90,92,87,94,87,81,,84,90,65,86,2104,Site,,,,,,,,,,,,4.5,EXACT
4,Brad Marchand,C,63,89,HIGH,2 Way Forward,X-Factor,Canada,38,90,89,90,92,89,80,89,64,82,85,89,80,93,95,87,88,88,86,87,87,89,88,88,93,88,84,,84,86,80,87,2078,Site,,,,,,,,,,,,3.5,EXACT
5,Brady Tkachuk,L,7,89,MED,Power Forward,X-Factor,United States,26,88,88,86,89,87,79,84,74,80,79,87,80,92,88,88,87,87,91,89,86,90,87,89,93,89,90,,93,87,87,91,2083,Site,,,,,,,,,,,,4.5,HIGH
6,Gustav Forsling,D,42,89,MED,2 Way D-Man,X-Factor,Sweden,30,84,84,84,83,84,79,92,55,81,89,86,87,88,84,87,87,86,84,87,89,93,92,94,92,93,81,,84,89,65,85,2038,Site,,,,,,,,,,,,4,EXACT
7,Aaron Ekblad,D,5,87,MED,2 Way D-Man,X-Factor,Canada,30,84,84,82,86,85,78,90,55,84,84,85,80,87,87,85,84,83,87,87,84,88,86,91,84,91,83,,87,82,75,89,2014,Site,,,,,,,,,,,,4,EXACT
8,Carter Verhaeghe,C,23,87,MED,Power Forward,X-Factor,Canada,31,88,89,86,90,87,80,88,66,82,83,88,81,92,90,87,89,87,86,85,90,88,86,88,90,88,84,,85,88,75,89,2060,Site,,,,,,,,,,,,4,EXACT
9,Jacob Markstrom,G,,87,MED,Hybrid,X-Factor,Sweden,36,,,,91,,,,,,,,,,,,,87,,89,92,,,,,,,,,89,,,1415,Goalie: site OVR + estimated attribute profile,83,86,94,90,85,81,87,91,83,98,89,4,EXACT
10,Sam Bennett,C,9,87,LOW,2 Way Forward,X-Factor,Canada,30,90,91,87,89,91,83,87,78,84,83,86,80,91,88,88,90,89,84,86,89,88,87,87,90,87,82,,88,85,70,86,2067,Site,,,,,,,,,,,,4,EXACT
