Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Aleksander Barkov,C,"$10,000,000",4,UFA
Matthew Tkachuk,"LW,RW","$9,500,000",4,UFA
Sam Reinhart,RW,"$8,625,000",6,UFA
Brady Tkachuk,LW,"$8,205,714",2,UFA
Sam Bennett,C,"$8,000,000",7,UFA
Carter Verhaeghe,LW,"$7,000,000",7,UFA
Brad Marchand,"RW,LW","$5,250,000",5,UFA
Anton Lundell,C,"$5,000,000",4,UFA
Eetu Luostarinen,"LW,C","$5,000,000",9,UFA
Garnet Hathaway,"RW,LW","$1,200,000",1,UFA
Jonah Gadjovich,LW,"$905,000",2,UFA
Cole Schwindt,"RW,C","$875,000",2,UFA
Lars Eller,"C,LW","$850,000",1,UFA
Seth Jones,RD,"$7,000,000",4,UFA
Aaron Ekblad,RD,"$6,100,000",7,UFA
Gustav Forsling,LD,"$5,750,000",6,UFA
Niko Mikkola,LD,"$5,000,000",8,UFA
Radko Gudas,RD,"$1,500,000",6,UFA
Dmitry Kulikov,"LD,RD","$1,180,000",2,UFA
Uvis Balinskis,"LD,RD","$875,000",2,UFA
Jacob Markstrom,G,"$6,000,000",2,UFA
Akira Schmid,G,"$2,000,000",2,UFA
Jack Devine,RW,"$972,500",2,RFA
Gracyn Sawchyn,C,"$934,166",2,RFA
Sandis Vilmanis,"LW,RW","$925,000",3,RFA
Hunter St. Martin,LW,"$928,889",2,RFA
Kai Schwindt,LW,"$873,334",1,RFA
Sam Lafferty,"RW,C","$850,000",1,UFA
Bokondji Imama,"LW,RW","$850,000",1,UFA
Mackenzie Entwistle,"RW,C","$850,000",1,UFA
Angus Crookshank,"LW,RW","$850,000",1,UFA
John Beecher,"C,LW","$850,000",1,RFA then UFA
Cole Reinhardt,LW,"$812,500",1,UFA
Matvei Shuravin,D,"$1,000,000",3,RFA
Ludvig Jansson,RD,"$955,000",2,RFA
Emil Pieniniemi,D,"$906,666",2,RFA
Alexander Petrovic,RD,"$875,000",2,UFA
Marek Alscher,LD,"$865,000",1,RFA
Casey Fitzgerald,D,"$850,000",1,UFA
Tobias Bjornfot,LD,"$850,000",1,RFA then UFA
Donovan Sebrango,LD,"$850,000",1,UFA-Group6 then UFA
Mikulas Hovorka,RD,"$850,000",1,RFA then UFA
Tyler Muszelik,G,"$960,000",2,RFA
Kirill Gerasimyuk,G,"$925,000",1,RFA
Cooper Black,G,"$875,000",2,UFA
