Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Own,5.71,
2027,3,Traded Away,2.05,Mar 7 2025 | Traded Away The Los Angeles Kings acquired Andrei Kuzmenko and a 2025 7th round pick from the Philadelphia Flyers for a 2027 3rd round pick
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Traded Away,0.14,"Jun 27 2026 | Traded Away The Los Angeles Kings acquire a 2026 7th round pick (VGK, #223) from the Montreal Canadiens for a 2027 7th round pick"
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,2,Acquired from Lightning,5.71,Mar 6 2026 The Tampa Bay Lightning acquire Corey Perry (50% retained) from the Los Angeles Kings for a 2028 2nd round pick.
2028,3,Own,2.05,
2028,4,Own,0.98,Feb 4 2026 The Los Angeles Kings acquired Artemi Panarin from the New York Rangers for Liam Greentree, a conditional 2026 3rd round pick, and a conditional 2028 4th round pick
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
