Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Artemi Panarin,L,10,92,EXACT,Playmaker,X-Factor,Russia,34,92,94,87,94,93,77,85,62,79,83,91,87,95,90,88,93,91,86,81,89,91,92,89,93,88,81,,81,90,65,86,2073,Site,,,,,,,,,,,,4.5,EXACT
2,Adrian Kempe,R,9,88,MED,Sniper,X-Factor,Sweden,29,88,90,85,89,89,78,86,65,81,80,86,82,91,86,88,92,87,82,89,92,90,93,87,91,87,84,,85,89,75,87,2060,Site,,,,,,,,,,,,4.5,HIGH
3,Anze Kopitar,C,11,88,LOW,2 Way Forward,X-Factor,Serbia and Montenegro,38,90,90,86,92,90,86,91,86,86,82,89,90,91,87,86,84,85,86,89,84,89,88,91,86,91,83,,82,90,70,90,2087,Site,,,,,,,,,,,,3.5,EXACT
4,Drew Doughty,D,8,88,LOW,2 Way D-Man,X-Factor,Canada,36,87,87,86,88,87,79,91,55,83,85,86,81,89,87,85,86,82,87,84,84,89,90,92,83,90,82,,82,82,75,88,2024,Site,,,,,,,,,,,,3.5,EXACT
5,Darcy Kuemper,G,35,87,HIGH,Hybrid,,Canada,36,,,,85,,,,,,,,,,,,,88,,88,89,,,,,,,,,88,,,1393,Goalie: site OVR + estimated attribute profile,85,88,84,89,89,77,91,89,85,91,87,3.5,EXACT
6,Kevin Fiala,L,22,87,MED,Sniper,X-Factor,Switzerland,30,89,93,87,88,88,77,84,65,78,81,86,81,87,89,87,87,90,88,83,86,90,92,89,91,88,80,,83,88,65,85,2036,Site,,,,,,,,,,,,4,EXACT
7,Mats Zuccarello,R,,87,HIGH,Playmaker,X-Factor,Norway,38,89,88,85,93,88,79,86,66,82,83,87,83,92,87,83,84,84,82,82,83,89,88,88,90,88,79,,82,86,65,84,2019,Site,,,,,,,,,,,,3.5,EXACT
8,Quinton Byfield,R,55,86,MED,Power Forward,X-Factor,Canada,23,89,90,87,88,89,82,89,73,80,84,85,81,89,84,88,89,88,89,84,89,88,86,89,87,89,82,,83,87,70,88,2052,Site,,,,,,,,,,,,4.5,HIGH
9,Brandt Clarke,D,92,85,MED,Offensive D-man,X-Factor,Canada,23,88,89,85,88,89,77,86,55,83,82,86,80,90,87,85,88,84,84,82,85,87,85,89,87,88,78,,80,80,67,85,1998,Site,,,,,,,,,,,,4.5,HIGH
10,Mikey Anderson,D,44,85,MED,2 Way D-Man,,United States,27,82,82,81,82,82,79,90,55,83,88,83,85,82,82,84,83,83,85,84,83,85,85,85,83,86,84,,87,88,75,86,1985,Site,,,,,,,,,,,,4,MED
11,Trevor Moore,L,12,84,MED,Playmaker,,United States,31,88,89,87,87,87,81,86,70,80,86,85,87,87,80,87,89,89,85,85,89,87,87,87,87,87,79,,80,85,65,85,2026,Site,,,,,,,,,,,,3.5,EXACT
12,Alex Laferriere,R,14,83,MED,,,United States,24,86,86,85,86,86,80,85,70,81,83,84,83,86,82,85,86,85,85,84,86,87,86,88,86,87,82,,84,84,72,86,2012,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
13,Erik Gustafsson,D,,83,MED,Offensive D-man,,Sweden,34,87,86,84,89,87,76,85,55,80,85,84,82,86,85,84,85,83,87,79,84,86,82,90,83,88,80,,82,81,70,85,1983,Site,,,,,,,,,,,,3.5,EXACT
14,Scott Laughton,L,24,83,MED,,,Canada,32,86,86,85,86,86,80,85,70,81,83,84,83,86,82,85,86,85,85,84,86,87,86,88,86,87,82,,84,84,72,86,2012,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
15,Brian Dumoulin,D,2,82,LOW,,,United States,34,82,82,80,83,83,78,87,56,86,85,82,81,83,81,83,84,82,84,82,84,85,82,88,82,87,83,,86,83,75,87,1973,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
16,Erik Haula,L,,82,LOW,,,Finland,35,85,85,84,85,85,80,84,70,81,83,83,83,85,81,85,86,85,84,84,86,86,85,87,86,87,82,,84,84,72,86,2002,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
17,Anton Forsberg,G,31,81,HIGH,Hybrid,,Sweden,33,,,,84,,,,,,,,,,,,,84,,84,85,,,,,,,,,84,,,1320,Goalie: site OVR + estimated attribute profile,78,78,78,78,86,83,87,88,80,87,76,3,EXACT
