Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Artemi Panarin,LW,"$11,000,000",2,UFA
Adrian Kempe,"LW,C","$10,625,000",8,UFA
Kevin Fiala,LW,"$7,875,000",3,UFA
Quinton Byfield,C,"$6,250,000",3,UFA
Trevor Moore,"LW,RW","$4,200,000",2,UFA
Alex Laferriere,"RW,C","$4,100,000",2,RFA then UFA
Erik Haula,"C,LW","$3,600,000",2,UFA
Scott Laughton,"C,LW","$3,500,000",3,UFA
Joel Armia,"RW,LW","$2,500,000",1,UFA
Corey Perry,"RW,LW","$1,000,000",1,UFA
Mats Zuccarello,"RW,LW","$1,000,000",1,UFA
Samuel Helenius,"C,LW","$875,000",2,RFA then UFA
Taylor Ward,RW,"$875,000",2,UFA
Alex Turcotte,"C,RW","$850,000",1,RFA then UFA
Drew Doughty,RD,"$11,000,000",1,UFA
Brandt Clarke,RD,"$7,400,000",5,UFA
Cody Ceci,RD,"$4,500,000",3,UFA
Mikey Anderson,LD,"$4,125,000",5,UFA
Brian Dumoulin,"LD,RD","$4,000,000",2,UFA
Joel Edmundson,LD,"$3,850,000",2,UFA
Erik Gustafsson,LD,"$1,000,000",1,UFA
Darcy Kuemper,G,"$5,250,000",1,UFA
Anton Forsberg,G,"$2,250,000",1,UFA
Elton Hermansson,,"$1,075,000",3,RFA
Vojtech Cihar,LW,"$974,167",3,RFA
Jimmy Lombardi,C,"$956,667",3,RFA
Grant Slukynsky,,"$952,500",1,RFA then UFA
Kenny Connors,C,"$942,500",1,RFA then UFA
Jared Wright,"RW,LW","$942,500",1,RFA then UFA
Kaleb Lawrence,"C,RW","$927,500",1,RFA then UFA
Koehn Ziemmer,RW,"$904,166",2,RFA
Lane Pederson,"C,RW","$875,000",2,UFA
Cole Guttman,"C,RW","$850,000",1,UFA
Jan Jenik,"W,C","$850,000",1,UFA-Group6 then UFA
Andre Lee,"LW,C","$850,000",1,UFA-Group6 then UFA
Martin Chromiak,"RW,LW","$850,000",1,RFA then UFA
Aatu Jamsen,"RW,LW","$850,000",1,RFA then UFA
Francesco Pinelli,C,"$850,000",1,RFA then UFA
Henry Brzustewicz,D,"$1,075,000",3,RFA
Jared Woolley,D,"$958,333",3,RFA
Otto Salin,D,"$956,250",2,RFA
Kirill Kirsanov,D,"$942,500",1,RFA then UFA
Jakub Dvorak,D,"$905,000",2,RFA
Angus Booth,LD,"$901,667",1,RFA
Joe Hicketts,D,"$850,000",1,UFA
Scott Perunovich,D,"$850,000",1,UFA
Hampton Slukynsky,G,"$1,075,000",3,RFA
Carter George,G,"$929,166",3,RFA
Erik Portillo,G,"$833,333",1,UFA-Group6 then UFA
