Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Traded Away,5.71,"Nov 30 2024 | Traded Away The Minnesota Wild acquired David Jiricek and a 2025 5th round pick from the Columbus Blue Jackets for Daemon Hunt, a 2025 1st round pick, 2026 3rd round pick, 2026 4th round pick, and 2027 2nd round pick"
2027,3,Traded Away,2.05,"Jul 2 2026 | Traded Away The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,14.49,
2028,2,Traded Away,5.71,Mar 3 2026 | Traded Away The Minnesota Wild acquire Michael McCarron from the Nashville Predators for a 2028 2nd round pick.
2028,3,Own,2.05,
2028,4,Traded Away,0.98,"Jul 2 2026 | Traded Away The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Traded Away,5.71,"Jul 2 2026 | Traded Away The Minnesota Wild acquire Blake Coleman (50% retained) and Olli Maatta from the Calgary Flames for Jacob Middleton, a 2029 2nd round pick, a 2027 3rd round pick and a 2028 4th round pick"
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
