Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Kirill Kaprizov,L,97,95,Exact,Sniper,X-Factor,Russia,29,94,94,92,94,94,80,89,62,82,88,90,83,96,90,88,89,89,90,83,88,92,93,89,94,92,81,,84,83,68,88,2094
2,Quinn Hughes,D,43,95,Med,Offensive D-man,X-Factor,United States,26,95,95,93,97,96,79,93,55,83,86,92,86,97,93,95,94,97,94,92,96,90,88,89,94,88,81,,82,89,65,86,2128
3,Filip Gustavsson,G,32,89,Exact,Hybrid,,Sweden,28,21,,,84,,,,,,,28,,,85,54,,86,,92,90,,,,,,37,93,,91,,,621
4,Matt Boldy,L,12,89,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jonas Brodin,D,25,88,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brock Faber,D,7,87,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Joel Eriksson Ek,C,14,86,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Jared Spurgeon,D,46,85,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Blake Coleman,L,20,84,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Bobby Brink,R,10,83,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Marcus Foligno,L,17,83,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Vladimir Tarasenko,R,91,83,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jeff Petry,D,2,82,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Nick Foligno,L,71,82,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Ryan Hartman,R,38,82,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Marcus Johansson,L,90,81,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Olli Maatta,D,3,81,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Robby Fabbri,C,21,81,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Zach Bogosian,D,24,81,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Danila Yurov,R,22,80,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jesper Wallstedt,G,30,80,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Maxim Shabanov,R,49,80,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Nico Sturm,C,78,80,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Nicolas Aube-Kubel,R,16,80,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Yakov Trenin,C,13,80,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Calvin Pickard,G,,79,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Michael McCarron,R,47,79,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Justin Kirkland,C,,78,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Mason Shaw,C,,77,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Daemon Hunt,D,48,76,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Dylan Gambrell,C,,75,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Carson Lambos,D,71,74,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Matt Kiersted,D,26,74,Exact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Viking Gustafsson Nyberg,D,6,73,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Jagger Joshua,L,,71,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Caedan Bankier,C,76,70,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,David Spacek,D,82,69,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Roman Schmidt,D,76,68,Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Cal Petersen,G,40,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Chase Wutzke,G,,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Riley Mercer,G,37,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
