Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Kirill Kaprizov,L,97,95,Exact,Sniper,X-Factor,Russia,29,94,94,92,94,94,80,89,62,82,88,90,83,96,90,88,89,89,90,83,88,92,93,89,94,92,81,,84,83,68,88,2094,Site,,,,,,,,,,,,5,HIGH
2,Quinn Hughes,D,43,95,Med,Offensive D-man,X-Factor,United States,26,95,95,93,97,96,79,93,55,83,86,92,86,97,93,95,94,97,94,92,96,90,88,89,94,88,81,,82,89,65,86,2128,Site,,,,,,,,,,,,5,HIGH
3,Filip Gustavsson,G,32,89,Exact,Hybrid,,Sweden,28,,,,84,,,,,,,,,,,,,86,,92,90,,,,,,,,,91,,,1427,Goalie: site OVR + estimated attribute profile,90,92,86,91,87,83,91,95,85,90,94,4.5,HIGH
4,Matt Boldy,L,12,89,Med,,,,25,90,90,88,91,90,81,87,72,82,84,88,84,92,88,87,89,88,87,85,88,89,89,89,90,89,82,,84,87,70,87,2070,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,HIGH
5,Jonas Brodin,D,25,88,Med,,,,33,88,88,86,88,88,78,89,55,84,86,86,83,89,87,87,88,87,87,86,88,89,88,90,88,89,83,,84,86,73,88,2045,Interpolated (estimated from OVR),,,,,,,,,,,,4,EXACT
6,Brock Faber,D,7,87,Med,,,,23,86,87,85,87,87,78,89,55,84,86,86,83,88,86,87,87,86,87,86,87,88,87,90,87,89,83,,84,86,73,88,2034,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,HIGH
7,Joel Eriksson Ek,C,14,86,Med,,,,29,88,88,86,88,88,81,86,71,82,84,86,84,89,85,87,88,87,86,85,87,88,87,88,88,88,82,,84,86,71,87,2043,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,HIGH
8,Jared Spurgeon,D,46,85,High,,,,36,85,85,83,85,86,78,88,55,85,85,84,82,86,84,85,86,85,86,84,86,87,85,89,85,88,83,,85,85,74,88,2010,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
9,Blake Coleman,L,20,84,Low,,,,34,86,87,85,86,87,80,85,71,81,83,84,83,87,83,86,87,86,85,84,86,87,86,88,87,88,82,,84,85,71,87,2022,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
10,Bobby Brink,R,10,83,Med,,,,25,86,86,85,86,86,80,85,70,81,83,84,83,86,82,85,86,85,85,84,86,87,86,88,86,87,82,,84,84,72,86,2012,Interpolated (estimated from OVR),,,,,,,,,,,,4,MED
11,Marcus Foligno,L,17,83,Low,,,,35,86,86,85,86,86,80,85,70,81,83,84,83,86,82,85,86,85,85,84,86,87,86,88,86,87,82,,84,84,72,86,2012,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
12,Vladimir Tarasenko,R,91,83,Med,,,,34,86,86,85,86,86,80,85,70,81,83,84,83,86,82,85,86,85,85,84,86,87,86,88,86,87,82,,84,84,72,86,2012,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
13,Jeff Petry,D,2,82,High,,,,38,82,82,80,83,83,78,87,56,86,85,82,81,83,81,83,84,82,84,82,84,85,82,88,82,87,83,,86,83,75,87,1973,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
14,Nick Foligno,L,71,82,Low,,,,38,85,85,84,85,85,80,84,70,81,83,83,83,85,81,85,86,85,84,84,86,86,85,87,86,87,82,,84,84,72,86,2002,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
15,Ryan Hartman,R,38,82,Med,,,,31,85,85,84,85,85,80,84,70,81,83,83,83,85,81,85,86,85,84,84,86,86,85,87,86,87,82,,84,84,72,86,2002,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
16,Marcus Johansson,L,90,81,Med,,,,35,84,85,84,84,85,80,84,70,81,83,83,83,85,80,84,85,84,84,84,85,86,84,87,85,87,81,,84,83,72,86,1994,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
17,Olli Maatta,D,3,81,Med,,,,31,81,81,79,82,82,78,87,56,86,84,81,81,82,80,83,83,82,84,82,83,84,81,88,81,87,82,,86,82,75,87,1961,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
18,Robby Fabbri,C,21,81,Med,,,,30,84,85,84,84,85,80,84,70,81,83,83,83,85,80,84,85,84,84,84,85,86,84,87,85,87,81,,84,83,72,86,1994,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,EXACT
19,Zach Bogosian,D,24,81,High,,,,36,81,81,79,82,82,78,87,56,86,84,81,81,82,80,83,83,82,84,82,83,84,81,88,81,87,82,,86,82,75,87,1961,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
20,Danila Yurov,R,22,80,Med,,,,22,84,84,83,83,84,79,83,70,81,83,82,83,84,79,84,85,84,84,84,85,86,84,87,84,87,82,,85,83,73,86,1988,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,HIGH
21,Jesper Wallstedt,G,30,80,Med,,,,23,,,,84,,,,,,,,,,,,,83,,84,84,,,,,,,,,83,,,1294,Goalie: site OVR + estimated attribute profile,83,76,74,77,84,82,78,86,79,81,76,4.5,HIGH
22,Maxim Shabanov,R,49,80,Med,,,,25,84,84,83,83,84,79,83,70,81,83,82,83,84,79,84,85,84,84,84,85,86,84,87,84,87,82,,85,83,73,86,1988,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
23,Nico Sturm,C,78,80,Low,,,,31,84,84,83,83,84,79,83,70,81,83,82,83,84,79,84,85,84,84,84,85,86,84,87,84,87,82,,85,83,73,86,1988,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
24,Nicolas Aube-Kubel,R,16,80,Med,,,,30,84,84,83,83,84,79,83,70,81,83,82,83,84,79,84,85,84,84,84,85,86,84,87,84,87,82,,85,83,73,86,1988,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
25,Yakov Trenin,C,13,80,Med,,,,29,84,84,83,83,84,79,83,70,81,83,82,83,84,79,84,85,84,84,84,85,86,84,87,84,87,82,,85,83,73,86,1988,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
26,Calvin Pickard,G,,79,High,,,,34,,,,84,,,,,,,,,,,,,82,,83,84,,,,,,,,,83,,,1280,Goalie: site OVR + estimated attribute profile,76,83,76,76,80,68,78,83,79,87,78,3,EXACT
27,Michael McCarron,R,47,79,Low,,,,31,83,83,83,82,83,79,83,69,80,83,81,83,83,78,84,84,83,83,84,85,85,83,87,84,86,82,,85,82,73,86,1975,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
28,Justin Kirkland,C,,78,Med,,,,30,82,82,82,81,82,79,83,69,80,83,81,83,82,77,83,84,83,83,83,84,85,83,87,83,86,82,,85,82,73,86,1966,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
29,Mason Shaw,C,,77,Med,,,,27,82,82,82,81,82,78,82,69,80,83,80,83,81,76,83,83,82,83,83,84,84,82,86,82,86,82,,85,81,74,86,1958,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
30,Daemon Hunt,D,48,76,Med,,,,24,76,76,74,77,78,78,85,57,87,83,77,79,76,75,79,79,78,81,78,80,81,76,87,76,86,83,,88,80,76,87,1899,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
31,Dylan Gambrell,C,,75,Exact,,,,29,80,80,81,79,80,78,81,68,80,82,79,83,79,74,82,82,82,82,83,83,83,81,86,81,85,81,,85,81,74,85,1937,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
32,Carson Lambos,D,71,74,Med,,,,23,74,75,72,75,76,78,84,57,88,83,76,78,75,75,78,78,76,80,77,78,80,74,86,74,86,83,,89,79,77,87,1879,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
33,Matt Kiersted,D,26,74,Exact,,,,28,74,75,72,75,76,78,84,57,88,83,76,78,75,75,78,78,76,80,77,78,80,74,86,74,86,83,,89,79,77,87,1879,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
34,Viking Gustafsson Nyberg,D,6,73,Med,,,,22,74,75,72,75,75,78,83,57,88,83,76,78,75,75,77,77,75,79,77,78,80,74,86,73,85,83,,89,78,77,87,1871,Interpolated (estimated from OVR),,,,,,,,,,,,3,MED
