Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Kirill Kaprizov,LW,"$17,000,000",8,UFA
Matt Boldy,"LW,RW","$7,000,000",4,UFA
Joel Eriksson Ek,C,"$5,250,000",3,UFA
Marcus Foligno,"LW,RW","$4,000,000",2,UFA
Ryan Hartman,"RW,C","$4,000,000",1,UFA
Yakov Trenin,"C,LW","$3,500,000",2,UFA
Michael McCarron,"C,RW","$3,333,333",6,UFA
Bobby Brink,RW,"$2,750,000",1,RFA then UFA
Blake Coleman,"LW,RW","$2,450,000",1,UFA
Nico Sturm,"C,LW","$2,000,000",1,UFA
Maxim Shabanov,"LW,RW","$1,600,000",1,RFA then UFA
Danila Yurov,"C,RW","$972,500",2,RFA
Nick Foligno,"LW,RW","$900,000",1,UFA
Justin Kirkland,"C,LW","$850,000",1,UFA
Brock Faber,RD,"$8,500,000",7,UFA
Quinn Hughes,LD,"$7,850,000",1,UFA
Jared Spurgeon,RD,"$7,575,000",1,UFA
Jonas Brodin,LD,"$6,000,000",2,UFA
Olli Maatta,"LD,RD","$3,500,000",2,UFA
Zach Bogosian,"RD,LD","$1,250,000",1,UFA
Daemon Hunt,LD,"$900,000",1,UFA-Group6 then UFA
Filip Gustavsson,G,"$6,800,000",5,UFA
Jesper Wallstedt,G,"$2,200,000",1,RFA then UFA
Calvin Pickard,G,"$1,000,000",1,UFA
Charlie Stramel,"C,RW","$1,075,000",3,RFA
Rieger Lorenz,"LW,C","$1,013,750",2,RFA
Riley Heidt,"C,LW","$940,833",2,RFA
Rasmus Kumpulainen,C,"$924,583",2,RFA
Hunter Haight,"C,RW","$883,333",1,RFA
Jagger Joshua,,"$875,000",2,UFA
Tyler Pitlick,"C,RW","$850,000",1,UFA
Dylan Gambrell,C,"$850,000",1,UFA
Mason Shaw,"C,LW","$850,000",1,UFA
Caedan Bankier,C,"$850,000",1,RFA then UFA
Ben Dexheimer,,"$980,000",1,RFA then UFA
Viking Gustafsson Nyberg,LD,"$975,000",1,RFA
Stevie Leskovar,D,"$960,000",2,RFA
Jack Peart,D,"$942,500",1,RFA then UFA
Matt Kiersted,LD,"$850,000",1,UFA
Carson Lambos,LD,"$850,000",1,RFA then UFA
Roman Schmidt,D,"$850,000",1,RFA then UFA
David Spacek,"RD,LD","$850,000",1,RFA then UFA
Filip Ruzicka,G,"$987,500",3,RFA
Chase Wutzke,G,"$958,333",3,RFA
Riley Mercer,G,"$920,000",2,RFA
