Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Own,5.71,
2027,3,Traded Away,2.05,"Jun 26 2026 | Traded Away The Montreal Canadiens acquire a 2026 1st round pick (DAL, #26) from the Vegas Golden Knights for a 2026 1st round pick (#28) and a 2027 3rd round pick"
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Own,0.29,
2027,7,Acquired from Kings,0.14,"Jun 27 2026 The Los Angeles Kings acquire a 2026 7th round pick (VGK, #223) from the Montreal Canadiens for a 2027 7th round pick"
2027,7,Own,0.14,
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
