Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Nick Suzuki,C,14,91,MED,Playmaker,X-Factor,Canada,27,91,92,87,92,91,85,89,82,86,83,90,88,93,88,89,90,88,89,87,89,89,92,88,90,87,80,,83,90,65,83,2092
2,Cole Caufield,R,13,88,MED,Sniper,X-Factor,United States,25,87,88,84,89,88,77,84,63,79,81,88,86,91,87,85,86,87,82,85,87,91,92,88,94,88,78,,83,88,60,80,2020
3,Lane Hutson,D,48,88,--,Offensive D-man,X-Factor,United States,22,92,94,90,91,93,78,87,55,83,86,87,83,92,86,89,91,91,90,82,91,86,84,86,87,87,80,,81,90,65,84,2049
4,Noah Dobson,D,53,88,MED,2 Way D-Man,X-Factor,Canada,26,90,91,88,92,90,78,87,55,85,85,89,84,93,91,89,92,90,90,83,91,91,92,89,93,89,84,,82,87,75,90,2084
5,Mike Matheson,D,8,87,MED,,,Canada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6,Kaiden Guhle,D,21,86,MED,2 Way D-Man,,Canada,24,84,83,82,84,85,79,88,55,88,86,83,80,85,84,86,87,86,88,84,87,88,87,90,86,89,85,,89,82,80,88,2023
7,Phillip Danault,C,24,86,MED,2 Way Forward,X-Factor,Canada,33,86,86,85,85,87,88,92,83,88,89,84,83,86,83,84,83,84,85,84,83,87,87,87,85,87,83,,84,87,75,87,2045
8,Ivan Demidov,R,93,85,--,Playmaker,X-Factor,Russia,20,90,92,89,88,89,79,79,75,78,83,84,80,91,80,86,87,88,84,84,87,87,83,87,86,90,78,,70,85,70,85,2010
9,Juraj Slafkovsky,L,20,85,MED,Power Forward,X-Factor,Slovakia,22,86,87,84,88,86,79,86,64,83,82,85,83,89,83,85,85,87,88,83,84,87,87,88,85,89,84,,82,86,75,91,2025
10,Patrik Laine,R,92,85,MED,Sniper,X-Factor,Finland,28,86,88,84,85,88,78,84,66,80,82,85,82,90,82,84,86,85,83,80,84,90,90,91,87,92,79,,82,79,65,89,2004
11,Sam Montembeault,G,35,85,MED,Hybrid,,Canada,29,21,,,82,,,,,,,30,,,89,55,,91,,92,90,,,,,,36,89,,92,,,625
12,Jake Evans,C,71,84,LOW,,,Canada,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Oliver Kapanen,C,91,84,MED,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Kirby Dach,C,77,83,HIGH,Playmaker,,Canada,25,88,88,87,88,88,81,85,75,77,85,84,85,88,80,87,87,87,88,85,87,88,87,88,87,88,82,,84,85,70,88,2037
15,Alexandre Carrier,D,45,82,LOW,,,Canada,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Josh Anderson,R,17,82,LOW,,,Canada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Alex Newhook,C,15,81,MED,,,Canada,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Alexandre Texier,L,85,80,MED,,,France,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Arber Xhekaj,D,72,79,HIGH,Defensive D-man,,Canada,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Zack Bolduc,R,76,79,MED,,,Canada,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Jayden Struble,D,47,78,MED,2 Way D-Man,,United States,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Brett Berard,L,,77,MED,,,United States,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Owen Beck,C,62,77,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Adam Engstrom,D,42,76,MED,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,David Reinbacher,D,64,75,MED,,,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Maksymilian Szuber,D,55,75,MED,,,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Alex Belzile,R,60,74,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Sam Poulin,R,,74,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Florian Xhekaj,L,63,72,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Ethan Samson,D,,70,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Owen Protz,D,68,66,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Jacob Fowler,G,32,--,--,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,Jakub Dobes,G,75,--,--,,,Czechia,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,Kaapo Kahkonen,G,34,--,--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
