Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Nick Suzuki,C,"$7,875,000",4,UFA
Cole Caufield,"LW,RW","$7,850,000",5,UFA
Juraj Slafkovský,"RW,LW","$7,600,000",7,UFA
Phillip Danault,C,"$5,500,000",1,UFA
Josh Anderson,"RW,LW","$5,500,000",1,UFA
Kirby Dach,C,"$3,600,000",1,UFA
Alex Newhook,"C,LW","$2,900,000",1,RFA then UFA
Jake Evans,"C,LW","$2,850,000",3,UFA
Alexandre Texier,"LW,RW","$2,500,000",2,UFA
Oliver Kapanen,"C,RW","$942,500",1,RFA
Ivan Demidov,"RW,LW","$9,150,000",9,UFA
Brett Berard,LW,"$850,000",1,RFA then UFA
Zack Bolduc,"RW,LW",,4,Unsigned RFA/UFA
Noah Dobson,RD,"$9,500,000",7,UFA
Lane Hutson,"LD,RD","$8,850,000",8,UFA
Mike Matheson,LD,"$6,000,000",5,UFA
Kaiden Guhle,LD,"$5,550,000",5,UFA
Alexandre Carrier,RD,"$3,750,000",1,UFA
Jayden Struble,LD,"$1,412,500",1,RFA then UFA
Arber Xhekaj,"LD,RD",,2,Unsigned RFA/UFA
Sam Montembeault,G,"$3,150,000",1,UFA
Jakub Dobes,G,"$5,357,575",4,UFA
Jacob Fowler,G,"$945,833",2,RFA
Vinzenz Rohrer,"C,RW","$972,500",2,RFA
Tyler Thorpe,RW,"$968,333",2,RFA
Florian Xhekaj,"LW,C","$941,667",1,RFA
Filip Mesar,RW,"$886,666",1,RFA
Owen Beck,C,"$853,333",1,RFA
Alex Belzile,"RW,C","$850,000",1,UFA
Samuel Poulin,"W,C","$850,000",1,UFA-Group6 then UFA
Sasha Pastujov,"RW,LW","$850,000",1,RFA
Lucas Condotta,C,"$850,000",1,UFA
Jared Davidson,C,"$850,000",1,RFA then UFA
Hunter McKown,C,"$850,000",1,RFA then UFA
Bogdan Konyushkov,D,"$1,013,750",2,RFA then UFA
Luke Mittelstadt,D,"$1,013,750",2,RFA then UFA
Owen Protz,D,"$1,004,167",3,RFA
Bryce Pickford,RD,"$965,000",3,RFA
David Reinbacher,RD,"$909,166",2,RFA
Adam Engström,"LD,RD","$896,667",1,RFA
Reilly Walsh,D,"$850,000",1,UFA
Ethan Samson,D,"$850,000",1,RFA
Maksymilian Szuber,D,"$850,000",1,RFA then UFA
Kaapo Kahkonen,G,"$1,000,000",1,UFA
