Year,Round,Status,PickValue,TradeDetails
2027,1,Own,31.29,
2027,2,Traded Away,5.71,Jul 1 2026 | Traded Away The Nashville Predators acquire Mavrik Bourque and Ilya Lyubushkin from the Dallas Stars for a 2027 2nd round pick and a 2028 3rd round pick (VGK)
2027,2,Acquired from Golden Knights,5.71,Jun 30 2025 The Nashville Predators acquired Nicolas Hague and a conditional 2027 3rd round pick from the Vegas Golden Knights for Colton Sissons and Jeremy Lauzon
2027,3,Own,2.05,
2027,3,Acquired from Oilers,2.05,Dec 12 2025 The Edmonton Oilers acquired Spencer Stastney from the Nashville Predators for a 2027 3rd round pick
2027,4,Acquired from Rangers,0.98,Nov 25 2024 The Pittsburgh Penguins acquired Philip Tomasino from the Nashville Predators for a 2027 4th round pick
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,5,Acquired from Avalanche,0.54,Mar 4 2026 The Colorado Avalanche acquire Nick Blankenburg from the Nashville Predators for a 2027 5th round pick.
2027,6,Own,0.29,
2027,7,Own,0.14,
2028,1,Own,31.29,
2028,1,Acquired from Avalanche,14.49,Sep 1 2026 The New Jersey Devils acquire Luke Evangelista from the Nashville Predators for a conditional 2028 1st round pick (COL) and a 2028 2nd round pick
2028,2,Own,5.71,
2028,2,Acquired from Devils,5.71,Sep 1 2026 The New Jersey Devils acquire Luke Evangelista from the Nashville Predators for a conditional 2028 1st round pick (COL) and a 2028 2nd round pick
2028,2,Acquired from Wild,5.71,Mar 3 2026 The Minnesota Wild acquire Michael McCarron from the Nashville Predators for a 2028 2nd round pick.
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,5,Acquired from Penguins,0.54,"Jun 27 2026 The Pittsburgh Penguins acquire a 2026 5th round pick (CAR, #160) from the Nashville Predators for a 2028 5th round pick"
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,31.29,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
