Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Roman Josi,D,59,92,EXACT,2 Way D-Man,X-Factor,Switzerland,36,92,92,90,92,93,80,92,55,85,87,90,84,94,92,91,93,92,93,87,91,92,93,93,91,91,81,,83,84,70,88,2105,Site,,,,,,,,,,,,4,EXACT
2,Filip Forsberg,L,9,89,MED,Sniper,X-Factor,Sweden,31,90,90,90,91,90,79,85,64,81,85,87,81,91,88,89,89,92,90,89,87,89,88,89,90,90,83,,87,88,70,87,2072,Site,,,,,,,,,,,,4.5,EXACT
3,Juuse Saros,G,74,88,EXACT,Hybrid,X-Factor,Finland,31,,,,89,,,,,,,,,,,,,91,,94,92,,,,,,,,,94,,,1418,Goalie: site OVR + estimated attribute profile,93,83,83,87,85,86,90,86,88,90,87,4.5,EXACT
4,Brady Skjei,D,76,87,MED,2 Way D-Man,,United States,32,85,84,83,86,85,78,89,55,80,86,86,81,89,87,87,89,86,83,85,90,90,92,88,91,88,85,,82,89,80,88,2036,Site,,,,,,,,,,,,3.5,EXACT
5,Jonathan Marchessault,C,81,86,HIGH,Playmaker,X-Factor,Canada,35,87,87,84,90,87,77,83,66,79,80,86,82,90,85,86,88,86,85,86,86,90,90,88,90,92,80,,84,87,65,84,2024,Site,,,,,,,,,,,,3.5,EXACT
6,Steven Stamkos,C,91,86,MED,Playmaker,X-Factor,Canada,36,87,88,84,89,87,80,83,77,81,80,86,81,89,87,86,85,85,83,87,91,92,93,93,90,92,84,,84,88,77,86,2060,Site,,,,,,,,,,,,4,EXACT
7,Ryan O’Reilly,C,90,85,MED,2 Way Forward,X-Factor,Canada,35,87,86,85,89,87,87,88,85,86,88,87,87,87,86,85,82,85,85,89,83,88,90,88,86,88,83,,82,88,75,88,2063,Site,,,,,,,,,,,,3.5,EXACT
8,Nicolas Hague,D,41,84,MED,Defensive D-man,,Canada,27,82,82,81,81,83,78,90,55,81,84,81,82,82,80,83,81,82,90,79,81,88,86,91,84,90,83,,86,82,75,88,1976,Site,,,,,,,,,,,,4,MED
9,Ross Colton,C,20,84,HIGH,Grinder,,United States,29,84,84,84,84,84,83,85,75,84,87,81,80,84,80,85,85,85,88,80,86,86,84,87,84,87,84,,89,85,75,88,2014,Site,,,,,,,,,,,,4,HIGH
10,Alexander Kerfoot,C,,83,MED,2 Way Forward,,Canada,31,85,85,84,85,86,84,88,74,88,87,84,85,85,81,85,84,84,85,87,84,86,85,87,84,87,79,,83,85,65,84,2012,Site,,,,,,,,,,,,3.5,EXACT
11,Ilya Lyubushkin,D,,82,MED,,,Russia,32,83,83,82,83,84,78,87,55,84,84,83,82,84,82,84,84,83,87,81,84,85,83,88,83,87,84,,85,83,78,88,1984,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
12,Luke Evangelista,R,77,82,MED,2 Way Forward,,Canada,24,87,88,85,88,87,76,84,61,79,80,84,81,88,82,84,87,84,87,79,84,85,82,85,87,85,78,,82,81,65,83,1974,Site,,,,,,,,,,,,4,HIGH
13,Nick Perbix,D,48,82,MED,2 Way D-Man,,United States,28,85,86,84,85,86,76,85,55,81,81,85,83,86,85,85,86,84,89,80,85,86,83,88,86,88,81,,84,81,70,87,1988,Site,,,,,,,,,,,,3.5,MED
14,Nils Hoglander,L,21,82,MED,,,Sweden,25,85,85,85,85,85,81,85,73,82,85,84,82,86,83,84,84,85,85,83,84,86,86,87,86,87,81,,84,83,71,85,2006,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
15,Justin Barron,D,20,81,MED,,,Canada,24,82,82,81,82,83,78,86,55,85,84,82,81,83,81,83,83,82,87,81,84,85,82,88,82,87,84,,86,83,78,88,1974,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
16,Jack Drury,C,,80,LOW,,,United States,26,84,84,84,84,84,81,85,73,82,85,83,82,85,81,83,83,83,84,83,83,86,85,87,85,87,80,,85,81,71,85,1991,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,LOW
17,Justus Annunen,G,29,80,MED,Hybrid,,Finland,26,,,,82,,,,,,,,,,,,,85,,80,85,,,,,,,,,80,,,1289,Goalie: site OVR + estimated attribute profile,82,79,77,84,79,76,84,82,76,80,78,3.5,MED
18,Matthew Wood,R,71,80,MED,,,Canada,21,84,84,84,84,84,81,85,73,82,85,83,82,85,81,83,83,83,84,83,83,86,85,87,85,87,80,,85,81,71,85,1991,Interpolated (estimated from OVR),,,,,,,,,,,,4.5,HIGH
19,Ryan Ufko,D,85,79,MED,,,,23,81,81,79,81,82,77,85,55,85,83,81,81,81,80,82,82,80,87,79,82,84,81,87,81,87,84,,86,82,80,88,1955,Interpolated (estimated from OVR),,,,,,,,,,,,4,HIGH
20,Tyson Jost,C,17,79,MED,,,Canada,28,83,83,84,83,83,81,85,73,82,85,82,82,84,80,83,82,83,84,82,83,85,84,86,84,86,80,,85,81,71,85,1980,Interpolated (estimated from OVR),,,,,,,,,,,,3.5,MED
