Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Filip Forsberg,"LW,RW","$8,500,000",4,UFA
Steven Stamkos,"RW,C","$8,000,000",2,UFA
Jonathan Marchessault,"RW,LW","$5,500,000",3,UFA
Mavrik Bourque,"C,RW","$5,500,000",6,UFA
Ryan O'Reilly,C,"$4,500,000",1,UFA
Jack Drury,C,"$4,500,000",5,UFA
Ross Colton,"LW,C","$4,000,000",1,UFA
Alexander Kerfoot,"LW,C","$3,500,000",2,UFA
Nils Hoglander,"LW,RW","$3,000,000",2,UFA
Vitali Pinchuk,"LW,C","$1,025,000",1,RFA then UFA
Adam Edstrom,"LW,C","$975,000",1,RFA then UFA
Brady Martin,"C,RW","$974,167",3,RFA
Matthew Wood,"LW,C","$950,000",1,RFA
Ozzy Wiesblatt,"C,RW","$850,000",1,UFA-Group6 then UFA
Tyson Jost,"LW,C",,0,Unsigned UFA
Roman Josi,"LD,RD","$9,059,000",2,UFA
Brady Skjei,LD,"$7,000,000",5,UFA
Nicolas Hague,LD,"$5,500,000",3,UFA
Ilya Lyubushkin,RD,"$3,250,000",1,UFA
Nicklaus Perbix,RD,"$2,750,000",1,UFA
Justin Barron,"RD,LD","$1,575,000",1,RFA then UFA
Adam Wilsby,LD,"$850,000",1,RFA then UFA
Juuse Saros,G,"$7,740,000",7,UFA
Justus Annunen,G,"$1,250,000",2,UFA
Felix Nilsson,"C,W","$1,028,333",3,RFA
Aiden Fink,RW,"$972,500",2,RFA
Joseph Willis,"C,LW","$960,000",2,RFA
Cole O'Hara,RW,"$935,000",1,RFA then UFA
Hiroki Gojsic,RW,"$930,000",3,RFA
Austin Roest,"RW,C","$920,000",1,RFA
David Edstrom,C,"$909,166",2,RFA
Kalan Lind,LW,"$906,666",2,RFA
Reid Schaefer,LW,"$886,666",1,RFA
Joakim Kemell,RW,"$886,666",1,RFA
Chase Bradley,"LW,C","$875,000",2,RFA then UFA
Jake Lucchini,"C,LW","$850,000",1,UFA
Viggo Gustafsson,D,"$990,000",3,RFA
Daniel Nieminen,,"$975,000",3,RFA
Ryan Ufko,D,"$942,500",1,RFA then UFA
Andrew Gibson,D,"$925,000",2,RFA
Tanner Molendyk,D,"$909,166",2,RFA
Jack Ahcan,LD,"$875,000",2,UFA
Hunter Skinner,D,"$850,000",1,UFA-Group6 then UFA
Isak Posch,G,"$947,500",1,RFA then UFA
Matthew Murray,G,"$850,000",1,UFA
