Year,Round,Status,PickValue,TradeDetails
2027,1,Own,31.29,
2027,1,Acquired from Golden Knights,14.49,"Jun 23 2026 The Calgary Flames acquire Simon Nemec and Maxim Tsyplakov from the New Jersey Devils for a conditional 2027 1st round pick (VGK), a conditional 2028 1st round pick (COL), a 2026 2nd round pick (NYR, #35) and Etienne Morin"
2027,2,Own,5.71,
2027,3,Traded Away,2.05,"Mar 7 2025 | Traded Away The New Jersey Devils acquired Cody Glass and Jonathan Gruden from the Pittsburgh Penguins for Chase Stillman, Max Graham, and a 2027 3rd round pick"
2027,4,Traded Away,0.98,Jun 25 2026 | Traded Away The New Jersey Devils acquire Declan Chisholm from the Washington Capitals for a 2027 4th round pick
2027,5,Own,0.54,
2027,6,Traded Away,0.29,"Jan 27 2026 | Traded Away The New York Islanders acquired Ondrej Palat, a 2026 3rd round pick, and a 2027 6th round pick from the New Jersey Devils for Maxim Tsyplakov"
2027,7,Own,0.14,
2028,1,Own,31.29,
2028,2,Traded Away,5.71,Sep 1 2026 | Traded Away The New Jersey Devils acquire Luke Evangelista from the Nashville Predators for a conditional 2028 1st round pick (COL) and a 2028 2nd round pick
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Own,31.29,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,31.29,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,31.29,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
