Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Jack Hughes,C,86,92,HIGH,Playmaker,X-Factor,United States,25,92,94,88,94,93,82,89,72,80,85,90,86,95,90,88,94,91,84,80,93,90,89,90,91,90,79,,81,85,65,84,2083,Site,,,,,,,,,,,,5,HIGH
2,Jesper Bratt,L,63,91,MED,Playmaker,X-Factor,Sweden,28,91,92,87,94,92,77,84,63,81,81,89,87,93,88,89,93,89,85,86,91,89,88,88,90,88,81,,84,89,65,85,2063,Site,,,,,,,,,,,,4.5,HIGH
3,Nico Hischier,C,13,89,MED,2 Way Forward,X-Factor,Switzerland,27,91,91,89,90,92,87,90,86,85,85,89,87,92,88,89,89,90,89,90,89,89,89,88,90,88,81,,83,89,65,85,2099,Site,,,,,,,,,,,,4.5,HIGH
4,Dougie Hamilton,D,7,88,MED,Offensive D-man,X-Factor,Canada,33,87,87,85,89,86,76,87,55,80,83,87,80,93,89,85,87,85,85,83,87,92,92,91,92,91,80,,83,81,67,90,2028,Site,,,,,,,,,,,,4,EXACT
5,Jonas Siegenthaler,D,71,87,MED,Defensive D-man,,Switzerland,29,83,81,82,84,83,81,94,55,85,88,83,81,83,86,83,82,81,88,81,84,85,82,87,82,87,84,,85,81,80,91,1993,Site,,,,,,,,,,,,3.5,MED
6,Timo Meier,R,28,87,MED,Power Forward,X-Factor,Switzerland,29,88,88,87,87,89,78,85,65,82,81,85,81,89,85,88,88,89,92,85,88,90,92,90,90,88,85,,86,87,75,90,2059,Site,,,,,,,,,,,,4.5,HIGH
7,Brenden Dillon,D,5,86,HIGH,Defensive D-man,,Canada,35,82,81,80,83,83,78,90,55,83,83,82,80,83,82,84,84,84,85,83,84,85,82,88,81,88,88,,92,85,86,90,1995,Site,,,,,,,,,,,,3,EXACT
8,Brett Pesce,D,22,86,MED,Defensive D-man,X-Factor,United States,31,85,84,83,86,86,81,94,55,86,90,86,84,86,88,85,84,85,86,85,83,86,83,87,87,87,80,,80,85,65,90,2009,Site,,,,,,,,,,,,3.5,EXACT
9,Luke Hughes,D,43,86,MED,Offensive D-man,X-Factor,United States,22,89,91,87,88,88,78,87,55,83,85,87,86,88,87,89,92,90,90,84,90,89,86,90,90,89,80,,80,86,70,85,2047,Site,,,,,,,,,,,,5,HIGH
10,Evan Rodrigues,C,,84,MED,Playmaker,,Canada,33,87,88,86,86,87,81,85,75,80,85,83,82,86,80,87,88,88,84,86,88,87,87,86,86,87,79,,81,87,65,84,2017,Site,,,,,,,,,,,,3.5,EXACT
11,Stefan Noesen,R,11,84,LOW,,,United States,33,86,87,85,86,87,80,85,71,81,83,84,83,87,83,86,87,86,85,84,86,87,86,88,87,88,82,,84,85,71,87,2022,Interpolated (estimated from OVR),,,,,,,,,,,,3,EXACT
