Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Timo Meier,"RW,LW","$8,800,000",5,UFA
Jack Hughes,C,"$8,000,000",4,UFA
Jesper Bratt,"LW,RW","$7,875,000",5,UFA
Nico Hischier,C,"$11,700,000",6,UFA
Anthony Mantha,"LW,RW","$4,750,000",2,UFA
Dawson Mercer,"C,RW","$4,000,000",1,RFA then UFA
Arseny Gritsyuk,"LW,RW","$3,250,000",3,UFA
Evan Rodrigues,"C,RW","$3,075,000",1,UFA
Connor Brown,RW,"$3,000,000",3,UFA
Luke Evangelista,"RW,LW","$3,000,000",1,RFA then UFA
Stefan Noesen,"RW,LW","$2,750,000",1,UFA
Cody Glass,"C,RW","$2,500,000",1,UFA
Nick Bjugstad,"C,RW","$1,750,000",1,UFA
Jesper Boqvist,"C,LW","$1,500,000",1,UFA
Dougie Hamilton,RD,"$9,000,000",2,UFA
Luke Hughes,"LD,RD","$9,000,000",6,UFA
Brett Pesce,RD,"$5,500,000",4,UFA
Brenden Dillon,LD,"$4,000,000",1,UFA
Johnathan Kovacevic,D,"$4,000,000",4,UFA
Jonas Siegenthaler,LD,"$3,400,000",2,UFA
Declan Chisholm,LD,"$1,600,000",1,UFA
Jake Allen,G,"$1,800,000",4,UFA
Nico Daws,G,"$1,100,000",2,UFA
Lenni Hämeenaho,RW,"$972,500",2,RFA
Matyas Melovsky,"C,W","$972,500",2,RFA
Shane Lachance,LW,"$942,500",1,RFA
Cam Squires,RW,"$938,333",2,RFA
Josh Filmon,"LW,RW","$913,333",1,RFA
Colin White,"C,RW","$900,000",1,UFA
Amadeus Lombardi,C,"$875,000",2,RFA then UFA
Riley Tufte,"LW,RW","$850,000",1,UFA
Marc McLaughlin,"C,RW","$850,000",1,UFA
Ben Steeves,LW,"$850,000",1,RFA then UFA
Xavier Parent,"LW,C","$850,000",1,RFA then UFA
Anton Silayev,D,"$1,075,000",3,RFA
Seamus Casey,D,"$950,000",1,RFA
Mikael Diotte,D,"$950,000",1,RFA then UFA
Ethan Edwards,D,"$942,500",1,RFA then UFA
Etienne Morin,D,"$934,166",2,RFA
Jeremy Hanzel,D,"$926,667",1,RFA then UFA
Vladislav Kolyachonok,LD,"$850,000",1,RFA then UFA
Topias Vilen,LD,"$850,000",1,RFA then UFA
David Rittich,G,"$1,000,000",1,UFA
Jakub Málek,G,"$875,000",2,RFA then UFA
