Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Ilya Sorokin,G,30,93,EXACT,Hybrid,X-Factor,Russia,31,21,,,83,,,,,,,30,,,89,57,,96,,94,94,,,,,,37,91,,94,,,641
2,Matthew Schaefer,D,48,88,HIGH,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
3,Adam Pelech,D,3,87,MED,Defensive D-man,X-Factor,Canada,32,85,85,84,84,87,81,94,55,84,92,82,81,84,82,85,83,84,89,88,82,85,82,88,83,87,83,,84,82,78,89,2011
4,Bo Horvat,C,14,87,MED,2 Way Forward,X-Factor,Canada,31,88,89,86,90,88,84,86,85,84,82,89,86,92,88,88,90,87,86,87,91,90,94,89,90,88,84,,83,90,75,88,2094
5,Ryan Pulock,D,6,87,MED,2 Way D-Man,X-Factor,Canada,31,86,87,84,86,88,79,90,55,89,83,85,87,86,83,86,85,86,87,88,85,90,89,93,84,92,84,,86,85,75,88,2041
6,Mathew Barzal,C,13,86,MED,Playmaker,X-Factor,Canada,29,89,91,85,90,91,78,84,67,81,81,87,86,89,87,86,88,85,88,81,87,87,86,87,85,88,78,,82,81,65,85,2020
7,Brayden Schenn,C,10,85,MED,2 Way Forward,X-Factor,Canada,34,86,86,83,88,86,85,86,81,85,86,84,81,87,85,86,86,86,84,86,86,88,87,88,87,88,87,,89,88,84,88,2061
8,Alexander Romanov,D,28,84,MED,2 Way D-Man,X-Factor,Russia,26,83,84,82,83,84,79,87,55,88,85,82,85,81,81,84,84,84,85,81,84,88,84,92,86,89,83,,91,84,69,88,1996
9,Anthony Duclair,L,11,83,LOW,Sniper,,Canada,30,87,88,87,85,86,76,80,65,74,86,85,88,86,80,88,90,89,84,84,93,88,87,89,88,89,77,,75,80,68,85,2006
10,Jean-Gabriel Pageau,C,44,83,LOW,,,Canada,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11,Kyle Palmieri,C,21,83,MED,2 Way Forward,X-Factor,United States,35,86,86,84,86,86,78,84,65,82,80,85,84,88,84,86,85,87,87,85,85,88,88,88,89,87,82,,83,88,70,86,2017
12,Matias Maccelli,L,,83,MED,Playmaker,,Finland,25,88,89,86,89,89,78,84,70,72,84,86,95,89,75,86,88,88,80,86,87,87,85,88,86,88,78,,80,85,65,80,2008
13,Simon Holmstrom,R,92,83,MED,,,Sweden,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
14,Emil Heineman,L,51,82,MED,,,Sweden,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Semyon Varlamov,G,40,82,HIGH,Hybrid,,Russia,38,21,,,85,,,,,,,28,,,85,52,,87,,85,87,,,,,,34,86,,85,,,600
16,Adam Boqvist,D,34,81,LOW,,,Sweden,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Carson Soucy,D,4,81,MED,,,Canada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Casey Cizikas,C,53,81,MED,,,Canada,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Ondrej Palat,L,81,81,HIGH,,,Czechia,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Scott Mayfield,D,24,81,HIGH,,,United States,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Vitek Vanecek,G,,81,MED,Hybrid,,Czechia,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Calum Ritchie,C,64,80,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Tony DeAngelo,D,77,80,MED,,,United States,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Ethan Bear,D,74,79,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Isaiah George,D,36,79,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Mitchell Chaffee,R,,79,MED,,,United States,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Liam Foudy,C,43,77,LOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Victor Eklund,L,73,76,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Kyle MacLean,C,32,75,LOW,,,United States,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Matthew Kessel,D,,74,MED,,,United States,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Matt Luff,R,39,73,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
