Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Mathew Barzal,"C,RW","$9,150,000",5,UFA
Bo Horvat,C,"$8,500,000",5,UFA
Brayden Schenn,"C,LW","$6,500,000",2,UFA
Ondrej Palat,"LW,RW","$6,000,000",1,UFA
Jean-Gabriel Pageau,C,"$4,850,000",3,UFA
Kyle Palmieri,RW,"$4,750,000",1,UFA
Simon Holmstrom,"RW,LW","$3,625,000",1,RFA then UFA
Anthony Duclair,"LW,RW","$3,500,000",2,UFA
Casey Cizikas,"C,LW","$2,500,000",1,UFA
Matias Maccelli,"LW,RW","$2,250,000",1,RFA then UFA
Emil Heineman,"LW,RW","$1,100,000",1,RFA then UFA
Calum Ritchie,"C,LW","$940,833",2,RFA
Kyle MacLean,"LW,RW","$850,000",1,UFA
Alexander Romanov,LD,"$6,250,000",7,UFA
Ryan Pulock,RD,"$6,150,000",4,UFA
Adam Pelech,LD,"$5,750,000",3,UFA
Tony DeAngelo,RD,"$4,500,000",2,UFA
Scott Mayfield,RD,"$3,500,000",4,UFA
Matthew Schaefer,LD,"$986,250",2,RFA
Isaiah George,"LD,RD","$913,333",1,RFA
Ilya Sorokin,G,"$8,250,000",6,UFA
Semyon Varlamov,G,"$2,750,000",1,UFA
Vitek Vanecek,G,"$1,000,000",1,UFA
Pierre Engvall,"LW,RW","$3,000,000",4,UFA
Cole Eiserman,LW,"$1,075,000",3,RFA
Quinn Finley,LW,"$980,000",2,RFA
Victor Eklund,"LW,RW","$974,167",3,RFA
Daniil Prokhorov,,"$965,000",3,RFA
Jesse Nurmi,LW,"$938,333",2,RFA
Gleb Veremyev,C,"$935,000",1,RFA then UFA
Daylan Kuefler,LW,"$875,000",2,RFA then UFA
Joey Larson,RW,"$875,000",2,UFA
Matt Luff,RW,"$850,000",1,UFA
Liam Foudy,"C,RW","$850,000",1,UFA
Mitchell Chaffee,RW,"$850,000",1,UFA
Alex Jefferies,LW,"$850,000",1,RFA then UFA
Ruslan Iskhakov,"C,LW",,2,Unsigned RFA/UFA
Kashawn Aitcheson,D,"$1,075,000",3,RFA
Malte Gustafsson,,"$1,075,000",3,RFA
Jesse Pulkkinen,D,"$930,833",1,RFA
Calle Odelius,D,"$865,000",1,RFA
Ethan Bear,D,"$850,000",1,UFA
Marshall Warren,LD,"$850,000",1,RFA then UFA
Matthew Kessel,RD,"$850,000",1,UFA
Joshua Kotai,G,"$965,000",2,RFA then UFA
Henrik Tikkanen,G,"$850,000",1,RFA then UFA
