Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Pavel Dorofeyev,"LW,RW","$11,000,000",7,UFA
Mika Zibanejad,"C,RW","$8,500,000",4,UFA
J.T. Miller,"C,LW","$8,000,000",4,UFA
Alexis Lafreniere,"RW,LW","$7,450,000",6,UFA
Oliver Bjorkstrand,RW,"$4,500,000",1,UFA
Will Cuylle,LW,"$3,900,000",1,RFA then UFA
Taylor Raddysh,RW,"$1,500,000",1,UFA
Eeli Tolvanen,"LW,RW","$1,500,000",1,UFA
Tye Kartye,"LW,C","$1,250,000",1,RFA then UFA
Joseph Veleno,"C,LW","$1,200,000",1,UFA
Matt Rempe,"RW,C","$975,000",1,RFA then UFA
Noah Laba,C,"$945,000",1,RFA
Gabe Perreault,"LW,RW","$941,667",1,RFA
Adam Fox,RD,"$9,500,000",3,UFA
Vladislav Gavrikov,LD,"$7,000,000",6,UFA
Sean Durzi,RD,"$6,000,000",2,UFA
Marcus Pettersson,LD,"$5,500,000",5,UFA
Braden Schneider,"RD,LD","$5,500,000",1,RFA then UFA
Urho Vaakanainen,LD,"$1,550,000",1,UFA
Matthew Robertson,LD,"$850,000",1,UFA-Group6 then UFA
Vincent Iorio,RD,"$850,000",1,RFA then UFA
Igor Shesterkin,G,"$11,567,857",7,UFA
Joonas Korpisalo,G,"$3,000,000",2,UFA
Juuso Parssinen,"C,LW","$1,250,000",1,RFA then UFA
Brody Lamb,RW,"$980,000",2,RFA
Jacob Battaglia,"RW,LW","$965,000",3,RFA
Carey Terrance,C,"$961,667",2,RFA
Nathan Aspinall,LW,"$955,555",3,RFA
Jaroslav Chmelar,"RW,LW","$942,500",1,RFA
Liam Greentree,RW,"$941,667",3,RFA
Cole Beaudoin,C,"$941,667",3,RFA
Dylan Roobroeck,"C,LW","$925,000",1,RFA
Aidan Thompson,"C,LW","$920,000",1,RFA then UFA
Bryce McConnell-Barker,C,"$913,333",1,RFA
Adam Sýkora,"LW,C","$881,666",1,RFA
Glenn Gawdin,"C,RW","$875,000",2,UFA
Justin Dowling,"C,W","$850,000",1,UFA
Anton Blidh,LW,"$850,000",1,UFA
Lauri Pajuniemi,RW,,1,Unsigned RFA/UFA
Karl Henriksson,"C,LW",,2,Unsigned RFA/UFA
Alberts Smits,"LD,RD","$1,075,000",3,RFA
Jackson Dorrington,D,"$951,667",2,RFA
Drew Fortescue,LD,"$945,833",2,RFA
Dennis Cholowski,LD,"$875,000",2,UFA
Marc Del Gaizo,D,"$875,000",2,UFA
Scott Morrow,RD,"$850,000",1,RFA then UFA
William Trudeau,D,"$850,000",1,RFA then UFA
Callum Tung,G,"$972,500",2,RFA
Dylan Garand,G,"$875,000",2,RFA then UFA
Spencer Martin,G,"$850,000",1,UFA
