Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Acquired from Panthers,5.71,"Jun 21 2026 The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
2027,2,Own,5.71,
2027,3,Own,2.05,
2027,4,Own,0.98,
2027,5,Traded Away,0.54,Jun 26 2026 | Traded Away The Ottawa Senators acquire Samuel Ersson from the Toronto Maple Leafs for a 2027 5th round pick
2027,6,Traded Away,0.29,Jun 26 2026 | Traded Away The Ottawa Senators acquire Andre Burakovsky from the Chicago Blackhawks for a 2027 6th round pick
2027,7,Traded Away,0.14,Jun 28 2025 | Traded Away The Ottawa Senators acquired a 2025 3rd round pick (#93) from the Washington Capitals for a 2025 3rd round pick (#96) and a 2027 7th round pick
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Own,0.14,
2029,1,Acquired from Panthers,31.29,"Jun 21 2026 The Florida Panthers acquire Brady Tkachuk from the Ottawa Senators for a 2026 1st round pick (#9), a 2026 1st round pick (TBL, #25), a conditional 2029 1st round pick and a 2027 2nd round pick"
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
