Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Tim Stutzle,"C,LW","$8,350,000",5,UFA
Shane Pinto,C,"$7,500,000",4,UFA
Dylan Cozens,C,"$7,100,000",4,UFA
William Eklund,"LW,C","$5,600,000",3,RFA then UFA
Andre Burakovsky,"LW,RW","$5,500,000",1,UFA
Drake Batherson,RW,"$4,975,000",1,UFA
Fabian Zetterlund,"LW,RW","$4,275,000",2,UFA
Warren Foegele,"LW,C","$3,500,000",1,UFA
Ridly Greig,"C,LW","$3,250,000",3,RFA then UFA
Michael Amadio,"RW,LW","$2,600,000",1,UFA
Claude Giroux,"LW,RW","$2,000,000",1,UFA
Nick Cousins,"C,LW","$1,587,500",2,UFA
Stephen Halliday,C,"$1,075,000",2,RFA then UFA
Jake Sanderson,LD,"$8,050,000",6,UFA
Thomas Chabot,LD,"$8,000,000",2,UFA
Jordan Spence,RD,"$5,000,000",4,UFA
Artyom Zub,RD,"$4,600,000",1,UFA
Tyler Kleven,LD,"$1,600,000",1,RFA then UFA
Carter Yakemchuk,RD,"$941,667",3,RFA
Nikolas Matinpalo,"RD,LD","$875,000",1,UFA
Linus Ullmark,G,"$8,250,000",3,UFA
Samuel Ersson,G,"$2,200,000",2,UFA
Leevi Merilainen,G,"$1,100,000",1,RFA then UFA
Kurtis MacDermid,"LW,RW","$1,150,000",1,UFA
Blake Montgomery,LW,"$1,075,000",3,RFA
Lucas Ellinas,"C,LW","$958,333",3,RFA
Sammy Blais,"LW,RW","$925,000",2,UFA
Oskar Pettersson,RW,"$910,000",1,RFA
Eskild Bakke Olsen,,"$910,000",1,RFA then UFA
Philip Tomasino,"C,RW","$900,000",1,RFA then UFA
Kasper Halttunen,"RW,LW","$899,166",2,RFA
Ryan Suzuki,C,"$850,000",1,UFA-Group6 then UFA
Philippe Daoust,C,"$850,000",1,UFA-Group6 then UFA
Xavier Bourgault,"RW,C","$850,000",1,RFA then UFA
Tyler Boucher,"RW,LW","$850,000",1,RFA then UFA
Hayden Hodgson,RW,"$850,000",1,UFA
Hoyt Stanley,D,"$1,075,000",3,RFA
Gabriel Eliasson,D,"$1,007,500",3,RFA
Matthew Andonovski,D,"$924,166",2,RFA
Tomas Hamara,D,"$878,334",1,RFA
Jorian Donovan,LD,"$871,666",1,RFA
Samuel Bolduc,D,"$850,000",1,UFA-Group6 then UFA
Christian Kyrou,D,"$850,000",1,RFA
Djibril Toure,D,"$850,000",1,RFA then UFA
Cameron Crotty,RD,"$812,500",1,UFA
Lucas Beckman,G,"$1,028,333",3,RFA
Kevin Reidler,G,"$946,250",2,RFA
Jackson Parsons,G,"$929,167",2,RFA
