Year,Round,Status,PickValue,TradeDetails
2027,1,Own,14.49,
2027,2,Own,5.71,
2027,3,Acquired from Kings,2.05,Mar 7 2025 The Los Angeles Kings acquired Andrei Kuzmenko and a 2025 7th round pick from the Philadelphia Flyers for a 2027 3rd round pick
2027,3,Own,2.05,
2027,4,Acquired from Panthers,0.98,Jun 25 2026 The Florida Panthers acquire Garnet Hathaway (50% retained) and a 2026 6th round pick (#181) from the Philadelphia Flyers for a 2026 5th round pick (#136) and a 2027 4th round pick
2027,4,Own,0.98,
2027,5,Own,0.54,
2027,6,Traded Away,0.29,"Mar 7 2025 | Traded Away The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
2027,7,Own,0.14,
2028,1,Acquired from Maple Leafs,68.02,"Mar 7 2025 The Toronto Maple Leafs acquired Scott Laughton, a 2025 4th round pick, a 2027 6th round pick from the Philadelphia Flyers for a 2027 1st round pick and Nikita Grebenkin"
2028,1,Own,14.49,
2028,2,Own,5.71,
2028,3,Own,2.05,
2028,4,Own,0.98,
2028,5,Own,0.54,
2028,6,Own,0.29,
2028,7,Acquired from Flames,0.14,"Jan 30 2025 The Calgary Flames acquired Joel Farabee and Morgan Frost from the Philadelphia Flyers for Andrei Kuzmenko, Jakob Pelletier, a 2025 2nd round pick, and 2028 7th round pick"
2028,7,Own,0.14,
2029,1,Own,14.49,
2029,2,Own,5.71,
2029,3,Own,2.05,
2029,4,Own,0.98,
2029,5,Own,0.54,
2029,6,Own,0.29,
2029,7,Own,0.14,
2030,1,Own,14.49,
2030,2,Own,5.71,
2030,3,Own,2.05,
2030,4,Own,0.98,
2030,5,Own,0.54,
2030,6,Own,0.29,
2030,7,Own,0.14,
2031,1,Own,14.49,
2031,2,Own,5.71,
2031,3,Own,2.05,
2031,4,Own,0.98,
2031,5,Own,0.54,
2031,6,Own,0.29,
2031,7,Own,0.14,
