Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes
1,Matvei Michkov,R,39,88,--,Playmaker,X-Factor,Russia,21,89,90,85,92,88,77,82,66,80,79,87,81,92,87,85,88,86,83,82,86,89,90,87,92,88,80,,82,86,65,86,2023
2,Travis Konecny,R,11,88,MED,2 Way Forward,X-Factor,Canada,29,91,91,87,93,91,80,87,67,84,82,88,82,93,88,88,90,88,86,87,89,89,89,88,90,88,82,,84,90,65,87,2066
3,Travis Sanheim,D,6,88,MED,2 Way D-Man,X-Factor,Canada,30,86,87,85,86,86,80,89,55,86,89,86,83,86,88,89,90,91,86,88,90,88,87,92,84,89,84,,83,90,75,88,2053
4,Joseph Woll,G,,85,MED,Hybrid,,United States,28,21,,,84,,,,,,,31,,,93,51,,86,,84,87,,,,,,34,87,,84,,,605
5,Sean Couturier,C,14,85,MED,2 Way Forward,X-Factor,United States,33,85,85,84,86,85,86,90,84,82,87,85,82,88,86,84,84,83,84,84,83,87,85,88,86,88,82,,83,86,70,89,2032
6,Cam York,D,8,84,MED,Offensive D-man,,United States,25,86,86,85,86,85,78,87,55,87,83,84,82,88,82,86,85,85,86,86,86,87,83,88,87,88,80,,83,84,65,86,1998
7,David Jiricek,D,5,84,MED,2 Way D-Man,,Czechia,,83,82,80,85,84,82,86,65,87,88,81,80,83,80,85,85,85,87,85,85,84,81,88,81,87,82,,87,80,75,87,1993
8,Owen Tippett,R,74,84,MED,Sniper,X-Factor,Canada,27,85,85,84,84,86,77,81,65,83,80,86,87,85,85,88,94,87,84,85,91,89,86,92,87,92,82,,85,85,70,87,2030
9,Noah Cates,L,27,83,MED,2 Way Forward,,United States,27,84,83,83,83,85,85,89,78,84,89,84,87,84,81,85,81,85,89,87,81,85,83,87,84,87,82,,85,84,75,84,2018
10,Trevor Zegras,C,46,83,MED,Playmaker,X-Factor,United States,25,86,88,83,88,86,79,82,70,80,82,85,81,88,85,84,88,84,82,79,85,86,85,87,86,87,78,,83,81,65,83,1988
11,Dan Vladar,G,80,82,MED,Hybrid,,Czechia,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12,Jamie Drysdale,D,9,82,MED,,,Canada,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
13,Nick Seeler,D,24,82,MED,Defensive D-man,,United States,33,80,80,79,80,81,79,87,55,89,86,81,81,82,81,81,81,81,82,80,82,85,82,86,85,86,84,,87,82,80,87,1962
14,Rasmus Ristolainen,D,55,81,MED,,,Finland,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
15,Tyson Foerster,R,71,81,MED,,,Canada,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
16,Christian Dvorak,L,22,80,MED,,,United States,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
17,Carl Grundstrom,R,91,79,MED,,,Sweden,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
18,Luke Glendening,C,41,79,HIGH,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
19,Porter Martone,R,94,79,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
20,Simon Benoit,D,,79,LOW,2 Way D-Man,,Canada,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
21,Denver Barkey,C,52,78,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
22,Noel Acciari,C,,78,LOW,,,United States,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
23,Alex Bump,L,20,77,LOW,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
24,Anthony Richard,C,90,77,EXACT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
25,Helge Grans,D,3,77,MED,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,Nikita Grebenkin,R,29,77,MED,,,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
27,Jett Luchanko,C,17,75,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
28,Oliver Bonk,D,59,75,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
29,Jacob Gaucher,C,78,74,MED,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
30,Garrett Wilson,L,10,73,EXACT,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
31,Danila Klimovich,R,,72,MED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
32,Hunter McDonald,D,75,71,MED,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
33,Oscar Eklind,L,43,70,EXACT,,,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
34,Aleksei Kolosov,G,35,--,--,,,Belarus,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
35,Carson Bjarnason,G,64,--,--,,,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
