Rank,Player,Position,Number,OVR,POT,PlayerStyle,ZoneAbility,Nationality,Age,PuckSkills,Deking,HandEye,Passing,PuckControl,Defense,DefensiveAwareness,Faceoffs,ShotBlocking,StickChecking,Senses,Discipline,OffensiveAwareness,Poise,Skating,Acceleration,Agility,Balance,Endurance,Speed,Shooting,SlapShotAccuracy,SlapShotPower,WristShotAccuracy,WristShotPower,Physical,Aggressiveness,BodyChecking,Durability,FightingSkill,Strength,TotalAttributes,AttributeSource,GloveLow,StickLow,FiveHole,GloveHigh,StickHigh,PokeCheck,ReboundControl,Vision,Breakaway,Angles,Recover,Potential,Confidence
1,Matvei Michkov,R,39,88,--,Playmaker,X-Factor,Russia,21,89,90,85,92,88,77,82,66,80,79,87,81,92,87,85,88,86,83,82,86,89,90,87,92,88,80,,82,86,65,86,2023,Site,,,,,,,,,,,,5,HIGH
2,Travis Konecny,R,11,88,MED,2 Way Forward,X-Factor,Canada,29,91,91,87,93,91,80,87,67,84,82,88,82,93,88,88,90,88,86,87,89,89,89,88,90,88,82,,84,90,65,87,2066,Site,,,,,,,,,,,,4.5,HIGH
3,Travis Sanheim,D,6,88,MED,2 Way D-Man,X-Factor,Canada,30,86,87,85,86,86,80,89,55,86,89,86,83,86,88,89,90,91,86,88,90,88,87,92,84,89,84,,83,90,75,88,2053,Site,,,,,,,,,,,,4,EXACT
4,Joseph Woll,G,,85,MED,Hybrid,,United States,28,,,,84,,,,,,,,,,,,,86,,84,87,,,,,,,,,84,,,1363,Goalie: site OVR + estimated attribute profile,88,86,82,90,83,84,90,84,86,84,81,4,HIGH
5,Sean Couturier,C,14,85,MED,2 Way Forward,X-Factor,United States,33,85,85,84,86,85,86,90,84,82,87,85,82,88,86,84,84,83,84,84,83,87,85,88,86,88,82,,83,86,70,89,2032,Site,,,,,,,,,,,,3.5,EXACT
6,Cam York,D,8,84,MED,Offensive D-man,,United States,25,86,86,85,86,85,78,87,55,87,83,84,82,88,82,86,85,85,86,86,86,87,83,88,87,88,80,,83,84,65,86,1998,Site,,,,,,,,,,,,4,HIGH
7,David Jiricek,D,5,84,MED,2 Way D-Man,,Czechia,22,83,82,80,85,84,82,86,65,87,88,81,80,83,80,85,85,85,87,85,85,84,81,88,81,87,82,,87,80,75,87,1993,Site,,,,,,,,,,,,4.5,HIGH
8,Owen Tippett,R,74,84,MED,Sniper,X-Factor,Canada,27,85,85,84,84,86,77,81,65,83,80,86,87,85,85,88,94,87,84,85,91,89,86,92,87,92,82,,85,85,70,87,2030,Site,,,,,,,,,,,,4,MED
9,Noah Cates,L,27,83,MED,2 Way Forward,,United States,27,84,83,83,83,85,85,89,78,84,89,84,87,84,81,85,81,85,89,87,81,85,83,87,84,87,82,,85,84,75,84,2018,Site,,,,,,,,,,,,3.5,MED
10,Trevor Zegras,C,46,83,MED,Playmaker,X-Factor,United States,25,86,88,83,88,86,79,82,70,80,82,85,81,88,85,84,88,84,82,79,85,86,85,87,86,87,78,,83,81,65,83,1988,Site,,,,,,,,,,,,4,HIGH
