Player,Position,AAV,RemainingYears,ContractStatusAtExpiry
Trevor Zegras,"C,LW","$9,125,000",4,UFA
Travis Konecny,"RW,LW","$8,750,000",7,UFA
Sean Couturier,"C,LW","$7,750,000",4,UFA
Owen Tippett,"RW,LW","$6,200,000",6,UFA
Christian Dvorak,"LW,C","$5,150,000",5,UFA
Noah Cates,C,"$4,000,000",3,UFA
Tyson Foerster,"RW,LW","$7,100,000",9,UFA
Noel Acciari,"C,RW","$2,800,000",2,UFA
Nikita Grebenkin,"LW,RW","$1,100,000",2,RFA then UFA
Carl Grundstrom,"LW,C","$1,000,000",1,UFA
Porter Martone,RW,"$977,917",2,RFA
Alex Bump,LW,"$972,500",2,RFA
Matvei Michkov,"LW,RW","$950,000",1,RFA
Denver Barkey,"C,LW","$925,833",2,RFA
Jamie Drysdale,RD,"$6,500,000",4,UFA
Travis Sanheim,"LD,RD","$6,250,000",5,UFA
Cameron York,LD,"$5,150,000",4,UFA
Rasmus Ristolainen,RD,"$5,100,000",1,UFA
Nick Seeler,LD,"$2,700,000",2,UFA
David Jiricek,RD,"$1,500,000",2,RFA then UFA
Simon Benoit,"LD,RD","$1,350,000",1,UFA
Joseph Woll,G,"$3,666,667",2,UFA
Dan Vladar,G,"$5,500,000",6,UFA
Garnet Hathaway,"RW,LW","$1,200,000",1,
Jack Berglund,"C,LW","$1,075,000",3,RFA
Riley Thompson,,"$1,025,000",1,RFA then UFA
Alex Ciernik,"LW,RW","$1,007,500",3,RFA
Noah Powell,RW,"$985,000",3,RFA
Ilya Pautov,RW,"$985,000",3,RFA
Cole Knuble,C,"$980,000",2,RFA
Devin Kaplan,RW,"$946,667",1,RFA
Jett Luchanko,"C,RW","$941,667",3,RFA
Zach Aston-Reese,LW,"$875,000",2,UFA
Jack Studnicka,"C,RW","$875,000",2,UFA
Nolan Foote,"LW,RW","$850,000",1,UFA-G6 then UFA
Danila Klimovich,"RW,LW","$850,000",1,RFA then UFA
Jacob Gaucher,"C,LW","$850,000",1,RFA then UFA
Ty Murchison,LD,"$935,000",1,RFA then UFA
Spencer Gill,D,"$932,500",3,RFA
Hunter McDonald,LD,"$912,500",2,RFA then UFA
Oliver Bonk,RD,"$909,166",2,RFA
Jackson Edward,D,"$906,667",1,RFA
Cam Dineen,LD,"$875,000",2,UFA
Helge Grans,D,"$837,500",1,UFA-G6 then UFA
Carson Bjarnason,G,"$885,000",2,RFA
Alexei Kolosov,G,"$850,000",1,UFA-G6 then UFA
